week_start	sub-A7801/sub-A7801_ses-20240509T185057_behavior+ecephys.nwb	sub-A7801/sub-A7801_ses-20240509T185458_behavior+ecephys.nwb	sub-A7801/sub-A7801_ses-20240509T185805_behavior+ecephys.nwb	sub-A7801/sub-A7801_ses-20240509T190101_behavior+ecephys.nwb	sub-A7802/sub-A7802_ses-20240509T190545_behavior+ecephys.nwb	sub-A7802/sub-A7802_ses-20240509T190914_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T212028_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T212641_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T213129_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T213653_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T221227_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T221830_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T222731_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T224110_behavior+ecephys.nwb
2024-05-06	415036330	60965486	55764494	59389514	76418928	52468254	12371918	18277710	12328438	47054848	95158106	91391754	1177711192	97619698
2024-05-13	0	0	0	0	0	0	0	0	0	0	0	0	4246208800	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	3791651234	0
2024-05-27	0	0	0	0	0	0	0	0	0	0	0	0	5111381612	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	3596669092	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	551484654	0
2024-06-17	0	0	0	0	17949192	0	0	0	0	0	0	0	0	0
2024-07-01	0	81935718	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	6354276	4389036	5499306	5109624	0	3581366	0	3534826	3939830	0	5502672	7927980	294615438	0
2024-07-22	9105612	0	4389036	0	0	55354260	11987964	0	0	224101086	133822162	10088232	8450532	11529408
2024-07-29	0	0	0	0	90737982	84971030	0	0	0	0	0	315928348	0	0
2024-09-02	13167108	0	22080838	0	90737982	0	0	20443114	0	89998438	0	72452774	88191688	0
2024-09-16	9433152	10895870	9953850	0	0	3712382	6550800	6419784	8066834	11466084	4327954	3538944	4127004	6747324
2024-09-23	87847140	46091642	112319116	56243786	97589884	44606902	18663374	20443114	20192758	38570178	69863954	72452774	44313334	71536370
2024-10-21	11791440	0	0	0	0	27513360	9105612	10284756	0	12249996	10022724	8843580	0	10939836
2024-10-28	117323890	72306042	84995398	92943946	90737982	70821302	23906254	20443114	20192758	70027458	27920914	156338854	0	0
2024-11-11	234647780	0	169990796	92943946	90737982	70821302	0	0	0	0	0	0	0	0
2024-11-18	160326428	39536082	2161764	91645388	105386904	74203064	32278712	8778072	16585618	83818556	65599270	95746332	126306312	59605290
2024-11-25	20700528	0	0	0	65376984	0	0	0	0	0	0	0	0	0
2025-03-03	1238376	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	1238368	0	0	0	0	0	0	0	0	0	0	0	0	0
