week_start	Microscopy	Miscellaneous
2023-12-11	13863611744	31878
2023-12-18	333327556	0
2024-01-15	0	276
2024-01-22	7606567247	5278
2024-01-29	7598928	6648
2024-02-12	1910842770	2639
2024-02-26	0	2739
2024-03-04	173048040	0
2024-03-11	50312570070	276
2024-03-25	258411824	0
2024-04-01	443409328	0
2024-04-15	2393193870	4218
2024-04-22	4122365111	2639
2024-04-29	57515920	0
2024-05-06	1469	0
2024-05-13	160580781	1579
2024-05-20	225737674	6316
2024-05-27	25883711	452
2024-06-03	649310397	0
2024-06-10	21800028	0
2024-06-17	22200299	0
2024-06-24	142228913	0
2024-07-01	17584009	0
2024-07-08	17900606	2851
2024-07-15	382061	0
2024-07-22	911422	1060
2024-07-29	2154899143	3158
2024-08-05	470162	1216
2024-08-12	222052478	0
2024-08-19	16812798	332
2024-08-26	4659065405	6857
2024-09-02	13879326068	0
2024-09-09	14102679080	332
2024-09-16	14625157544	0
2024-09-23	2425580413	0
2024-09-30	2388820817	1392
2024-10-07	3527131085	0
2024-10-14	8222121001	452
2024-10-21	2994629928	2639
2024-10-28	3495347031	0
2024-11-04	468678431	0
2024-11-11	2640695	276
2024-11-18	39622148	1104
2024-11-25	65468603	0
2024-12-02	5042582	1060
2024-12-09	220465731	1668
2024-12-16	8503118	0
2024-12-23	5367708	0
2025-01-06	5537227869	4031
2025-01-13	0	608
2025-01-20	8902671	1060
2025-01-27	886818656	0
2025-02-03	0	664
2025-02-10	0	728
2025-02-17	4127004	1579
2025-03-17	11791440	0
2025-03-31	310124720	0
2025-04-07	0	884
2025-04-21	915598068	884
2025-05-05	0	608
2025-05-26	8848	0
2025-06-02	21801883	0
2025-06-09	2212	0
2025-06-23	46906	0
2025-07-14	504	276
2025-07-28	2428471414	1855
2025-08-04	2078810959	2484
2025-08-11	218283327	784
2025-08-25	374873887	332
2025-09-01	0	904
2025-09-08	43605306	884
2025-09-15	5571635393	0
2025-09-22	334904680	2739
2025-09-29	2453356786	1060
2025-10-06	474075042	728
2025-10-20	2106276790	0
2025-11-03	111627510	0
2025-11-17	11769795154	0
2025-11-24	707005800	0
2025-12-01	388773870	0
2025-12-15	1971757722	7917
2025-12-22	1778712513	0
2025-12-29	119239438	2031
2026-01-05	194647075	0
2026-01-12	3260324194	10768
2026-01-19	79194793	0
2026-01-26	370347568	1216
2026-02-02	60315526	0
2026-02-09	1688947	0
2026-02-23	5049415	0
2026-03-02	65545688	664
2026-03-09	2516653	2363
2026-03-16	35401262	4514
2026-03-23	26612509	332
2026-03-30	142173011	1911
2026-04-06	3594651	0
2026-04-13	3975335588	2639
2026-04-20	22818341938	37847
2026-04-27	1264479211	452
2026-05-04	5355150	0
2026-05-11	10538358	0
2026-05-18	49139718	4062
2026-05-25	3231516	0
2026-06-01	15405915	2131
2026-06-08	27236925	608
2026-06-15	117055275	2560
2026-06-22	14442880	5574
2026-06-29	33376529	7013
2026-07-06	11677620	6701
