region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
NLD	4292115496	5210	5107	1
AWS/us-east-1	5034411532	9115	8823	42
USA/TX	39440963596	14880	14377	30
USA	10295848272	392	47	2
GitHub	442588058	17	17	0
CHN	3383746635	55	21	3
CAN/QC	3557426362	6	6	0
USA/MA	130353789216	28801	646	89
USA/NY	1860668661	375	245	3
VPN	2635177214	485	482	3
USA/DC	31318824	9	9	0
AWS/ap-southeast-1	59958195	33	33	0
GBR/ENG	6273426516	1927	1317	5
USA/IL	784918173	343	335	8
GCP/us-central1	4214511594	5305	5305	0
FRA/ARA	3531364624	4487	4483	2
CHN/BJ	24642104	16	16	0
USA/VA	124559695	351	350	1
BRA/RS	4061496	1	1	0
BRA/RN	3799464	1	1	0
GBR	21942201	72	72	0
USA/CA	5874141132	2002	1976	4
CHE/ZH	17900606	63	63	0
GCP/europe-west4	47844	72	72	0
bogon	100912419	9	9	0
USA/CT	17900606	63	63	0
GCP/us-east1	31896	48	48	0
GCP/us-west3	15948	24	24	0
USA/NH	268441032	17	17	0
USA/OH	217999540	10	10	0
USA/WY	155222800	3	3	0
FRA/IDF	65400470	5	5	0
USA/PA	310445600	6	6	0
USA/NV	47866731	87	87	0
USA/NJ	249796137	7	7	0
USA/MS	155222800	3	3	0
PER/LMA	1579	1	1	0
JPN/13	334870255	4	4	0
USA/OR	4550	6	6	0
ECU/P	1579	1	1	0
IND/PY	784	2	2	0
USA/MD	1512	4	4	0
PAK/SD	452	1	1	0
TWN/TXG	728	2	2	0
BRA/SP	3397	2	2	0
AWS/ap-northeast-1	416	1	1	0
USA/WA	886819540	175	3	2
DNK/84	608	2	2	0
USA/NC	664	2	2	0
DEU/NW	608	2	2	0
CHE	608	2	2	0
ITA	332	1	1	0
USA/UT	1216	4	4	0
DEU/BW	608	2	2	0
GBR/SCT	884	3	3	0
ARG/B	608	2	2	0
ZAF	332	1	1	0
USA/FL	3489146965	91	0	4
AWS/us-east-2	11922456	2	2	0
USA/GA	558115012	7	7	0
FRA	221704664	43	0	1
VNM/DN	7991976	1	1	0
VNM/26	6616308	1	1	0
USA/SC	111622892	1	1	0
SGP	111622892	1	1	0
GCP/europe-central2	111622892	1	1	0
GTM/01	111622892	1	1	0
UKR/30	276	1	1	0
PAK/PB	276	1	1	0
JOR	276	1	1	0
ARG	276	1	1	0
BGD	276	1	1	0
ZAF/GP	276	1	1	0
BRA/RJ	276	1	1	0
ECU/G	276	1	1	0
VNM/SG	276	1	1	0
