week_start	Microscopy	Miscellaneous
2026-03-23	0	4325
2026-04-20	20948231397794	6055
2026-04-27	24779155614819	865
2026-05-04	64564155456660	4325
2026-05-11	17238481036837	5190
2026-05-18	58957162544182	16886
2026-05-25	23094765213097	0
2026-06-01	39937802585726	6667
2026-06-08	27571871883638	608155
2026-06-15	53468079401352	193505
2026-06-22	148065346148789	727992
2026-06-29	289368293690510	109104
2026-07-06	190934340259053	361623
2026-07-13	129251515109914	4643
2026-07-20	50518370454669	283426
2026-07-27	122226024264998	10535
2026-08-03	82666214308094	5328
2026-08-10	172575752380659	4033
2026-08-17	98612136535003	111
