asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-04/sub-04_ses-20120829T175200_ecephys+image.nwb	1530772134	431	129	52
sub-02/sub-02_ses-20160302T164800_ecephys.nwb	2535839347	749	168	73
sub-07/sub-07_ses-20160212T171400_ecephys.nwb	1984355239	655	138	54
sub-08/sub-08_ses-20161217T120200_ecephys+image.nwb	1361385659	393	115	48
sub-09/sub-09_ses-20170311T170500_ecephys.nwb	1958185942	882	133	50
sub-09/sub-09_ses-20170311T170500_ecephys+image.nwb	1644783539	991	108	46
sub-03/sub-03_ses-20150304T164400_ecephys.nwb	3772882811	17481	200	125
sub-06/sub-06_ses-20131209T113600_ecephys+image.nwb	1504882230	365	105	47
sub-01/sub-01_ses-20140828T132700_ecephys+image.nwb	10015929523	2407	443	193
sub-04/sub-04_ses-20120829T175200_ecephys.nwb	1652563021	626	145	69
sub-07/sub-07_ses-20160212T171400_ecephys+image.nwb	1449564572	412	92	49
sub-05/sub-05_ses-20121207T173500_ecephys+image.nwb	1235581325	353	103	50
sub-01/sub-01_ses-20140828T132700_ecephys.nwb	3985406979	4214	221	134
sub-06/sub-06_ses-20131209T113600_ecephys.nwb	2014940114	690	133	57
sub-03/sub-03_ses-20150304T164400_ecephys+image.nwb	1281961140	379	100	53
sub-08/sub-08_ses-20161217T120200_ecephys.nwb	1505140472	445	137	57
sub-05/sub-05_ses-20121207T173500_ecephys.nwb	1918603258	505	161	58
sub-04/sub-04_ses-20120829T175200_ecephys+image/fe217a3c-380b-4480-9e79-9383df92ee3c_external_file_0.avi	70874362321	1240	452	30
sub-02/sub-02_ses-20160302T164800_ecephys+image.nwb	1738443062	549	120	58
