week_start	sub-01/sub-01_ses-20140828T132700_ecephys+image.nwb	sub-01/sub-01_ses-20140828T132700_ecephys.nwb	sub-02/sub-02_ses-20160302T164800_ecephys+image.nwb	sub-02/sub-02_ses-20160302T164800_ecephys.nwb	sub-03/sub-03_ses-20150304T164400_ecephys+image.nwb	sub-03/sub-03_ses-20150304T164400_ecephys.nwb	sub-04/sub-04_ses-20120829T175200_ecephys+image.nwb	sub-04/sub-04_ses-20120829T175200_ecephys+image/fe217a3c-380b-4480-9e79-9383df92ee3c_external_file_0.avi	sub-04/sub-04_ses-20120829T175200_ecephys.nwb	sub-05/sub-05_ses-20121207T173500_ecephys+image.nwb	sub-05/sub-05_ses-20121207T173500_ecephys.nwb	sub-06/sub-06_ses-20131209T113600_ecephys+image.nwb	sub-06/sub-06_ses-20131209T113600_ecephys.nwb	sub-07/sub-07_ses-20160212T171400_ecephys+image.nwb	sub-07/sub-07_ses-20160212T171400_ecephys.nwb	sub-08/sub-08_ses-20161217T120200_ecephys+image.nwb	sub-08/sub-08_ses-20161217T120200_ecephys.nwb	sub-09/sub-09_ses-20170311T170500_ecephys+image.nwb	sub-09/sub-09_ses-20170311T170500_ecephys.nwb
2023-07-03	0	21007609	0	21113775	0	14105034	0	0	14243738	0	14062778	0	20790986	0	21032650	0	14061953	0	20788090
2023-07-10	0	375501557	0	15870895	0	42315102	0	0	14243738	0	14062778	0	15548106	0	15789770	0	14061953	0	15545210
2023-07-17	0	300620419	0	42227550	0	28210068	0	0	28487476	0	28125556	0	41581972	0	42065300	0	28123906	0	83152360
2023-07-31	0	26715230	0	0	0	397552	0	0	0	0	60511923	0	6419784	0	0	0	0	0	0
2023-08-07	0	0	0	0	0	993880	0	0	0	0	0	0	14280744	0	0	0	0	0	0
2023-08-14	0	44594034	0	11660424	0	596328	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	0	0	0	0	0	397552	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	0	0	0	43308982	0	0	0	0	42188334	0	0	0	0	0	0	0	0
2023-09-04	0	0	0	0	0	596328	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	0	0	0	0	0	397552	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	20876593	0	0	0	795104	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	0	0	0	0	15098914	0	0	0	0	14062778	0	0	0	0	0	0	0	0
2023-10-02	0	86702462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	27230997	106604224	21113951	0	14105218	0	14243922	837301576	0	14062962	0	20795210	0	21043122	0	14062137	0	20788218	0
2023-10-16	0	0	0	21113775	0	198776	14243922	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	0	0	14303810	0	0	0	0	28125556	0	0	0	0	14062137	0	0	0
2023-10-30	52144403	0	0	0	0	397552	0	29740632	0	0	14062778	0	0	0	0	14062137	0	20788218	0
2023-11-06	62630163	20876593	21113951	21113775	14105218	14701362	28487844	2096267308	14243738	14062962	14062778	20795210	20790986	21043122	21032650	14062137	14061953	20788218	20788090
2023-11-13	20876721	0	0	0	0	117715265	0	0	0	0	14062778	0	10022724	0	0	14062137	0	0	0
2023-11-20	41753442	20876593	21113951	21113775	14105218	140537549	14243922	1869484032	14243738	14062962	14062778	20795210	20790986	21043122	21032650	14062137	14061953	20788218	20788090
2023-11-27	0	0	0	0	0	8653994	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	0	0	596328	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	15633841	15633713	15871071	15870895	14105218	14105034	14243922	0	14243738	14062962	28125556	15552330	15548106	15800242	15789770	28124274	14061953	15545338	15545210
2023-12-25	20876721	0	13756680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	28125556	0	0	0	0	28124274	0	0	0
2024-01-08	20876721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	40436571	36636211	42326109	51062269	42834154	34316826	19647174	0	43876878	13908822	56538132	42162562	38268022	20332696	47362074	37320509	42797119	16736910	44594450
2024-02-05	20876721	0	21113951	0	0	0	0	17949192	0	0	0	0	0	0	0	0	0	0	0
2024-02-12	20876721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	0	1834224	0	0	0	0	0	7795452	0	0	14062778	0	0	0	0	0	0	0	0
2024-02-26	20876721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	671903088	29376120	21113951	21113775	14105218	56420136	14243922	1869484032	14243738	14062962	14062778	20795210	20790986	21043122	21032650	14062137	14061953	20788218	20788090
2024-03-11	56519745	18181177	18396975	18030511	11022202	17742726	22166238	0	15269362	13393134	19414062	14579618	17710114	17145234	13020434	15488565	15089709	23387206	20339526
2024-03-18	68932551	41713172	53366292	37748800	48664366	31832936	51408628	44283408	29799136	47940492	32825804	54229260	30871512	49639912	25352876	49774716	29809136	48722800	32072176
2024-03-25	30379400	25847715	32378026	26821293	29474684	29639406	33733836	0	22382106	33699456	25159794	29684268	23415666	29787044	27416058	27802086	22733523	34403412	18125658
2024-04-01	8528689	8594069	8729027	8831251	8416974	8023742	7613738	0	7286014	8386782	7272962	7591086	7586862	8260662	7763018	8647989	9892457	7752002	10278070
2024-04-08	170524151	20876593	21113951	21113775	14105218	14105034	14243922	1869484032	14243738	14062962	14062778	20795210	20790986	21043122	21032650	14062137	14061953	20788218	20788090
2024-04-15	124658557	326739310	5126087	9289807	8285958	7761710	5255450	0	7810078	7273146	7797026	8377182	5818146	1513338	7763018	7730877	7272137	7686494	7002670
2024-04-22	43476981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-29	137917072	59783539	0	0	0	0	0	0	0	0	0	0	65418770	0	0	0	0	0	0
2024-05-06	62630163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	12053472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	65860386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	20876721	0	0	0	0	0	0	0	14243738	0	0	0	0	0	0	0	0	0	0
2024-06-03	20876721	20876593	0	21113775	0	14105034	0	15852936	14243738	0	23626946	0	20790986	0	21032650	0	14061953	0	20788090
2024-06-10	20876721	0	0	0	0	14105034	14243922	0	0	0	7860960	0	0	0	0	0	0	0	20788090
2024-06-17	20876721	0	0	0	0	0	0	0	0	0	0	0	0	0	24587923	0	0	0	0
2024-06-24	32995701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7860960
2024-07-01	58523490	41753186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	71007027	18837741	8528183	29772798	22571596	8466194	8408222	0	8146006	9210218	8489446	10175242	8532814	29500532	8643518	8816345	9340225	8202562	8857794
2024-07-22	36926181	10088232	13560156	12249996	12577536	13494648	10415772	63739284	10022724	12577536	11529408	12249996	7009356	9760692	9105612	5437164	12118980	10874328	7991976
2024-08-05	53413866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-12	204954306	4478928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	53348358	15328872	11791440	46465371	18342240	34543530	49253880	48737952	12053472	18407748	7926468	8254008	20569512	17425128	15787428	32033412	18211224	17163096	19324860
2024-09-02	501041304	0	0	105711130	0	14105034	56975688	0	0	0	0	20795210	0	0	42065300	14062137	0	0	0
2024-09-09	417534420	20876593	21256382	36984670	31829894	0	32246006	0	73491766	45766088	45765352	0	36158558	0	0	0	14061953	0	0
2024-09-16	234548855	17134517	17764811	18092175	19406214	16196138	16072658	77561472	17186110	18970910	14843722	17577646	14821582	17563022	18797258	19494149	14056801	20321542	19470090
2024-09-23	303015166	27687185	15871071	15870895	14105218	14105034	14243922	0	14243738	14062962	14062778	15552330	15548106	15800242	15789770	14062137	14061953	15545338	25240394
2024-09-30	164443263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-07	266985048	86490707	21113951	37375775	14105218	14129058	14243922	1919474972	28503492	14062962	14062778	20795210	20790986	21067514	21040658	28024092	26137887	20788218	25020761
2024-10-14	73590330	20876593	21113951	21113775	14105218	14105034	14243922	1869484032	14243738	14062962	14062778	20795210	20790986	21043122	21032650	14062137	14061953	20788218	20788090
2024-10-21	124144450	15633713	15871071	15870895	14105218	14105034	14243922	0	28487476	14062962	14062778	15552330	15548106	15800242	15789770	14062137	14061953	15545338	15545210
2024-10-28	42741830	132657614	27730259	21364591	0	28210068	14243922	248728456	56974952	0	0	0	0	0	0	14062137	0	0	52931808
