week_start	Neurophysiology	Video
2023-07-03	161206613	0
2023-07-10	522939109	0
2023-07-17	622594607	0
2023-07-31	94044489	0
2023-08-07	15274624	0
2023-08-14	56850786	0
2023-08-21	397552	0
2023-08-28	85497316	0
2023-09-04	596328	0
2023-09-11	397552	0
2023-09-18	21671697	0
2023-09-25	29161692	0
2023-10-02	86702462	0
2023-10-09	274049961	837301576
2023-10-16	35556473	0
2023-10-23	56491503	0
2023-10-30	101455088	29740632
2023-11-06	378760750	2096267308
2023-11-13	176739625	0
2023-11-20	469476294	1869484032
2023-11-27	8653994	0
2023-12-04	596328	0
2023-12-11	297863173	0
2023-12-25	34633401	0
2024-01-01	56249830	0
2024-01-08	20876721	0
2024-01-22	671157488	0
2024-02-05	41990672	17949192
2024-02-12	20876721	0
2024-02-19	15897002	7795452
2024-02-26	20876721	0
2024-03-04	1024008054	1869484032
2024-03-11	346896538	0
2024-03-18	764704565	44283408
2024-03-25	502883431	0
2024-04-01	149455394	0
2024-04-08	471814488	1869484032
2024-04-15	563160991	0
2024-04-22	43476981	0
2024-04-29	263119381	0
2024-05-06	62630163	0
2024-05-13	12053472	0
2024-05-20	65860386	0
2024-05-27	35120459	0
2024-06-03	191516486	15852936
2024-06-10	77874727	0
2024-06-17	45464644	0
2024-06-24	40856661	0
2024-07-01	100276676	0
2024-07-08	285506463	0
2024-07-22	217990293	63739284
2024-08-05	53413866	0
2024-08-12	209433234	0
2024-08-26	416230047	48737952
2024-09-02	754755803	0
2024-09-09	775971682	0
2024-09-16	532318200	77561472
2024-09-23	578868239	0
2024-09-30	164443263	0
2024-10-07	694738237	1919474972
2024-10-14	374880667	1869484032
2024-10-21	392492605	0
2024-10-28	390917181	248728456
2024-11-04	585923671	346597408
2024-11-11	1027742710	0
2024-11-18	181135056	0
2024-11-25	218658918	0
2024-12-02	139897231	15656412
2024-12-09	250520652	0
2024-12-16	20876721	0
2025-01-06	109626485	0
2025-01-13	67873043	0
2025-01-27	425875224	1869484032
2025-02-10	177560696	0
2025-02-17	343280833	1869484032
2025-02-24	25003725	0
2025-03-03	20876721	0
2025-03-10	20876721	0
2025-03-17	92546860	0
2025-03-24	24880	0
2025-03-31	19652400	0
2025-04-07	30964953	0
2025-04-14	10350264	0
2025-04-21	51579642	0
2025-04-28	96903837	0
2025-05-05	41753314	0
2025-05-12	8516040	0
2025-05-19	62630163	0
2025-05-26	20876721	0
2025-06-02	77172939	0
2025-06-09	135283050	0
2025-06-23	400994464	0
2025-06-30	6565372	0
2025-07-07	20438496	7860960
2025-07-14	411739317	0
2025-07-21	46035501	246239152
2025-07-28	134807600	0
2025-08-04	435108887	1869484032
2025-08-11	100882905	0
2025-08-18	33402728	0
2025-08-25	58958724	0
2025-09-01	63698282	0
2025-09-08	26944163	207720448
2025-09-15	18473256	0
2025-09-22	52234466	0
2025-09-29	59504772	27382344
2025-10-06	66652491	0
2025-10-13	10088232	0
2025-10-20	14427634	0
2025-10-27	20176464	0
2025-11-03	52032988	207720448
2025-11-10	199700253	238509208
2025-11-17	19455876	0
2025-11-24	161531713	0
2025-12-01	198957612	0
2025-12-08	65687901	0
2025-12-15	1292735529	5759710068
2025-12-22	28893610	0
2025-12-29	379652851	1869484032
2026-01-05	459841928	1892739372
2026-01-12	327137655	0
2026-01-19	10765664	0
2026-01-26	149953001	0
2026-02-02	54557483	207720448
2026-02-09	357803410	1869484032
2026-02-16	572126314	1870041088
2026-02-23	507872143	1869484032
2026-03-02	914438204	3739262976
2026-03-09	241797187	1697859548
2026-03-16	916658267	3936038532
2026-03-23	195773802	0
2026-03-30	2075378398	8374110256
2026-04-06	280847843	9629676
2026-04-13	593016009	1869484032
2026-04-20	1945684005	20635020
2026-04-27	557706520	75661740
2026-05-04	594889329	2143410724
2026-05-11	145759142	1454043136
