week_start	sub-monk-g/sub-monk-g_ses-session0.nwb	sub-monk-g/sub-monk-g_ses-session1.nwb	sub-monk-g/sub-monk-g_ses-session2.nwb	sub-monk-g/sub-monk-g_ses-session3.nwb	sub-monk-g/sub-monk-g_ses-session4.nwb	sub-monk-g/sub-monk-g_ses-session5.nwb	sub-monk-g/sub-monk-g_ses-session6.nwb	sub-monk-g/sub-monk-g_ses-session7.nwb	sub-monk-g/sub-monk-g_ses-session8.nwb	sub-monk-j/sub-monk-j_ses-session0.nwb	sub-monk-j/sub-monk-j_ses-session1.nwb	sub-monk-j/sub-monk-j_ses-session2.nwb	sub-monk-j/sub-monk-j_ses-session3.nwb
2025-12-01	39699616	0	0	0	0	0	0	0	0	40404824	0	0	0
2025-12-08	33625836	0	0	0	0	0	0	0	0	32789124	0	0	0
2025-12-15	159063828	77074324	374484964	168946536	230734248	115296068	64742628	50020160	70775484	655794664	263838100	153330280	215400276
2025-12-22	47605112	0	0	0	0	0	0	0	0	0	124483892	0	0
2025-12-29	5680732	0	0	0	0	0	0	16887088	0	5715968	0	0	0
2026-01-05	46297460	0	0	0	0	0	0	0	0	43565980	0	0	0
2026-01-12	142815336	0	0	0	0	0	25525728	0	109190016	583470672	373451676	0	0
2026-01-19	23378008	0	0	0	0	0	0	0	0	21946760	0	0	0
2026-01-26	33953376	30577940	180789944	0	109340388	51457528	0	0	0	227541380	0	0	99151344
2026-02-02	1677228428	1740386488	1576747504	1802859684	1581595096	1608715408	1664397208	1606750168	1645923952	1679269104	1682130496	1717348452	1581791620
2026-02-09	117409088	61155880	361579888	153748680	218680776	102915056	51051456	33774176	36396672	410861700	248967784	142717984	198302688
2026-02-16	25134696	14755852	0	12751044	0	11283928	14493820	12070024	0	23043404	15292960	11087404	15148900
2026-02-23	23115976	6340144	6396856	0	10020952	0	5654240	5346892	0	27597220	0	0	0
2026-03-02	5549716	0	0	7268856	0	6256348	0	0	0	0	6271512	0	4663360
2026-03-09	47605112	30577940	180789944	76874340	109340388	51457528	25525728	50661264	23525276	194490224	124483892	77008188	99151344
2026-03-16	30321856	0	0	0	0	0	16901064	21224592	10481280	18409328	22272720	0	0
2026-03-23	8086064	30577940	17428228	4508544	0	0	0	0	0	26589552	0	8196776	1449452
2026-03-30	2683916	2626528	10355952	6073160	5558132	1928332	28052136	6026800	6072356	11218640	2660296	5341996	1772732
2026-04-06	229725248	122311760	555667956	307497360	337978380	257287640	102102912	67548352	90991680	777960896	373451676	214076976	497333400
2026-04-13	95210224	61155880	205093412	153748680	130237440	102915056	102102912	50661264	72793344	194490224	124483892	71358992	99151344
2026-04-20	153692172	91733820	0	384371700	10022724	102915056	27251328	56846968	54476880	37539244	25613628	0	44414424
2026-04-27	95210224	61155880	9826200	106013892	75661740	94758316	0	16887088	0	59350248	0	859880	4331804
2026-05-04	0	0	0	0	0	0	50506668	0	20569512	0	0	0	0
2026-05-11	2841672	13191936	190968512	251024460	117813976	61374064	13716000	161706864	9851028	204734300	138317720	152700028	217533652
2026-05-18	76312256	13593260	10841924	87734688	14575880	20177148	14379356	43595924	42293668	22519120	178849216	17196200	10710908
2026-05-25	5912972	9108732	8018704	83335196	5560604	5691620	17483484	24871552	5847464	4962756	9342668	5560604	104703672
2026-06-01	51241156	36427636	34097264	32183904	39075872	25520204	3963584	29662548	31907584	3767060	5037800	5813316	3963584
