week_start	sub-20190114001/sub-20190114001_icephys.nwb	sub-20190117001/sub-20190117001_icephys.nwb	sub-20190117002/sub-20190117002_icephys.nwb	sub-20190201001/sub-20190201001_icephys.nwb	sub-20190205001/sub-20190205001_icephys.nwb	sub-20190207001/sub-20190207001_icephys.nwb	sub-20190207002/sub-20190207002_icephys.nwb	sub-20190212001/sub-20190212001_icephys.nwb	sub-20190212002/sub-20190212002_icephys.nwb	sub-20190212003/sub-20190212003_icephys.nwb	sub-20190212004/sub-20190212004_icephys.nwb	sub-20190212005/sub-20190212005_icephys.nwb	sub-20190212006/sub-20190212006_icephys.nwb	sub-20190214001/sub-20190214001_icephys.nwb	sub-20190214002/sub-20190214002_icephys.nwb	sub-20190214003/sub-20190214003_icephys.nwb	sub-20190214004/sub-20190214004_icephys.nwb	sub-20190216001/sub-20190216001_icephys.nwb	sub-20190216002/sub-20190216002_icephys.nwb	sub-20190221001/sub-20190221001_icephys.nwb	sub-20190314001/sub-20190314001_icephys.nwb	sub-20190314002/sub-20190314002_icephys.nwb	sub-20190314003/sub-20190314003_icephys.nwb	sub-20190315001/sub-20190315001_icephys.nwb	sub-20190315002/sub-20190315002_icephys.nwb	sub-20190315003/sub-20190315003_icephys.nwb	sub-20190324001/sub-20190324001_icephys.nwb	sub-20190324002/sub-20190324002_icephys.nwb	sub-20190328001/sub-20190328001_icephys.nwb	sub-20190402001/sub-20190402001_icephys.nwb	sub-20190402002/sub-20190402002_icephys.nwb	sub-20190402003/sub-20190402003_icephys.nwb	sub-20190402004/sub-20190402004_icephys.nwb	sub-20190402005/sub-20190402005_icephys.nwb
2022-02-21	14400336	8388608	24361872	9027928	36028720	67108864	28126904	8025240	4390408	11071040	15861904	16777216	26974408	8388608	16777216	37018016	13413456	18629696	16777216	44856080	42666728	16777216	39239688	12436704	16777216	70516816	33554432	30832160	24148248	30215224	41258912	50331648	36788088	77752400
2022-03-21	28800672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	820800	1779816	811944	699224	1906224	1747480	1349048	1204936	1780800	1187192	1737688	900768	2768784	899792	1169752	2207384	416656	755232	1459936	1569456	2812936	1298816	2221056	798112	1807688	4007112	2425512	791896	1431320	3479184	2628528	2303312	2662200	2658112
2022-05-16	890448	0	0	18055856	26402968	116555656	0	16413848	0	19459648	32639120	30145176	0	0	25533984	62183840	0	0	36611528	26622344	0	29341720	39239688	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	14400336	22181440	12180936	9027928	31834416	79704156	0	16413848	196104	19459648	0	9173656	76853888	0	0	0	13413456	18629696	0	32273168	67911296	37711920	38424756	12436704	41829904	95296836	18270784	19610384	0	37494777	72702076	17495656	58533544	0
2022-07-25	0	0	0	9027928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36611528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	0	0	267980592	153474776	0	0	0	0	0	0	0	0	0	0	0	45406624	0	0	0	18233736	42666728	0	0	0	8388608	0	0	0	0	0	0	0	0	0
2022-08-08	14400336	0	219256848	207642344	0	116555656	28126904	0	21167624	19459648	0	0	0	20548600	0	0	26826912	0	0	0	0	0	0	12436704	0	157810848	0	19610384	0	46992440	0	0	53565304	0
2022-08-15	0	0	133990296	81251352	52805936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-22	0	21576480	48723744	63195496	0	116555656	28126904	16413848	0	19459648	32639120	30145176	60528840	20548600	25533984	0	0	18629696	36611528	0	0	0	39239688	0	94202136	78905424	0	19610384	24148248	93984880	0	0	53565304	47264808
2022-08-29	0	0	133990296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29341720	0	87056928	0	0	39242304	0	0	0	0	0	0	0
2022-09-05	0	0	97447488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124367040	0	0	0	0	0	0	0	0	0	0
2022-11-07	0	21576480	0	0	0	0	28126904	0	21167624	19459648	0	0	60528840	20548600	0	62183840	0	18629696	36611528	0	51055336	0	0	12436704	0	78905424	0	19610384	24148248	46992440	58036128	59438696	53565304	0
2022-11-14	0	0	0	0	0	0	5242880	0	0	0	0	11746428	0	0	0	6470021	0	10883696	0	0	5242880	3127320	7782408	0	0	0	0	0	0	0	0	0	0	0
2022-12-19	0	0	0	0	0	154726259	0	0	10681864	0	12410068	154958064	0	0	0	233696660	0	0	0	0	14732808	0	0	0	0	0	13027904	0	0	0	0	0	0	0
2023-01-02	0	0	0	0	0	74259440	0	0	0	0	0	174997288	0	0	0	226462929	0	0	0	0	0	0	0	0	0	0	0	28735008	0	0	20074765	0	5242880	0
2023-02-20	0	0	0	0	0	319700597	0	0	0	0	0	278589616	0	0	11646413	245308856	0	0	25165824	0	0	0	0	0	25165824	0	0	0	0	0	16093088	5242880	0	0
2023-04-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9987313	0	0	0	0	0	0	0	0	0
2023-04-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62183840	0	0	0	0	51055336	0	0	0	31400712	0	0	0	0	0	0	0	0	0
2023-04-17	0	0	0	0	0	0	0	0	0	8973888	0	0	0	0	0	324709782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-24	0	0	0	0	0	282870453	0	0	0	0	0	256289436	0	0	0	0	0	0	0	0	0	0	0	0	12741888	0	0	0	0	0	0	0	0	0
2023-05-01	0	0	6938056	0	0	0	0	0	0	0	0	233561063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-08	0	0	19118992	0	0	431886594	0	0	11845505	0	0	787151121	0	0	0	53056611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-15	0	0	0	0	0	0	0	0	0	0	0	258014845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-22	8145224	0	0	0	0	193642758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	7458920	0	0	0	0	0	0	0	11842641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7193824	0	0	0	0	0	0	0	0	0	0
