region	bytes_sent
AWS/us-east-2	186355889136
US/California	146770766593
US/Massachusetts	66811405631
US/Pennsylvania	52661182427
NL/North Holland	42047158379
AWS/us-east-1	33446348324
IR/Fars	32435325542
GCP/us-east1	32435325542
GitHub	27277254832
US/New Jersey	8780965808
GB/England	7133471208
VPN	6857852982
CN/Shanghai	6187264550
US/Georgia	5000294710
US/Washington	4787698821
SE/Skåne	3364809607
CA/Quebec	3040768190
PT/Lisbon	1381202248
IN/Punjab	1270996080
HK/Hong Kong	1183481112
US/Maryland	931473688
IN/Tamil Nadu	789769369
JP/Tokyo	719526712
MX/Jalisco	637663940
IN/Maharashtra	508398432
US/Texas	444954688
GCP/us-central1	359528928
AWS/ap-southeast-1	253575427
IN/Delhi	228487504
IL/Jerusalem	228487504
CA/Alberta	125276441
SE/Stockholm	91917824
VN/Ho Chi Minh	90179352
VN/Kiên Giang Province	90030792
RU/Moscow	20074641
US/Rhode Island	594240
US/Virginia	119264
