region	bytes_sent
US/Maryland	19350682436
US/Georgia	11569162820
GitHub	9372689324
AWS/us-east-2	7739006524
GB/England	7017993568
US/New York	6975378038
US/Washington	6965615772
IT/Trentino-Alto Adige	6937911468
US/California	6836011540
CA/Ontario	6827396992
KR/Seoul	6827396992
SE/Stockholm	2537713492
VPN	1720267517
CA/Quebec	1595473468
AWS/us-east-1	1170185832
US/Pennsylvania	1145381540
US/Florida	523830633
GCP/us-central1	376854188
CN/Shanghai	336135248
AWS/ap-southeast-1	316796688
PH/Metro Manila	306134498
MX/Querétaro	299506100
CH/Vaud	232431884
DE/Baden-Wurttemberg	228907568
CN/Guangdong	166550952
US/Wisconsin	137379972
US/Michigan	104639704
ES/Madrid	104591627
CR/San José	78530588
US/Virginia	76265676
HU/Budapest	74636718
US/Massachusetts	54840880
PT/Lisbon	54179726
NG/Lagos	46476178
GCP/us-east1	38504056
IN/Maharashtra	31766096
US/Rhode Island	28663656
NG/Ogun State	21533482
GCP/europe-west4	19252028
DE/North Rhine-Westphalia	11711788
IN/Delhi	11711788
GCP/us-west4	11711788
