region	bytes_sent
AWS/us-east-2	4382123253
AWS/us-east-1	38577145778
US/California	68834898157
GitHub	146973961436
US/Maryland	18512668963
DE/North Rhine-Westphalia	8900805347
HK/Hong Kong	1773930359
AWS/ap-southeast-1	3381121797
US/New Mexico	7575565457
VPN	22730671286
US/Rhode Island	53639770
NL/Flevoland	12569608042
US/Washington	775829610
AU/South Australia	69084280442
DE/State of Berlin	578372409
US/Virginia	10802689930
CA/Quebec	42268284779
US/Tennessee	7740623011
NL/North Holland	15400436004
GCP/us-west1	15400436004
CA/Ontario	21828325203
CN/Shanghai	7033103863
US/Massachusetts	754812149
US/Georgia	234151968
GCP/us-east1	38092936
ES/Catalonia	63695370
US/New Hampshire	63695370
US/Missouri	4911450455
NL/North Brabant	32832599
EG/Damietta	9954600
GCP/us-central1	257384783
UA/Kiev	8385024
GB/Wales	17883684
US/Connecticut	61346128
GB/England	286283769
UA/Kyiv City	14018712
NO/Oslo	708652522
US/Oklahoma	10153692
US/Ohio	9556416
AU/New South Wales	7233676
NZ/Auckland	16126452
PT/Viseu	70930734
NZ/Canterbury	8030044
VN/Da Nang	7698224
IE/Leinster	17387368
NO/Vestland	4127004
US/Texas	10817332
US/Wisconsin	22678850
