region	bytes_sent
GitHub	128864196468
AU/South Australia	69084280442
US/California	64128367246
CA/Quebec	23023892167
CA/Ontario	21815251495
US/Maryland	18512668963
VPN	13786120535
AWS/us-east-1	13752224560
NL/North Holland	11713676962
US/New Mexico	7575565457
CN/Shanghai	7033103863
AWS/us-east-2	4350060488
AWS/ap-southeast-1	1550942825
US/Washington	610772056
US/Massachusetts	520660181
DE/North Rhine-Westphalia	497562391
DE/Hesse	413314855
HK/Hong Kong	396849940
GB/England	276329169
CA/British Columbia	234151968
GCP/us-central1	224985136
US/Tennessee	165057554
PT/Viseu	70930734
ES/Catalonia	63695370
US/Connecticut	61346128
US/Rhode Island	53639770
NL/Gelderland	32832599
US/Wisconsin	22678850
US/Virginia	10485512
