region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-1	1716103629823	204712	90	135
USA/WA	1366265469475	261243	4518	1993
GH-actions	619491959794	144352	1880	1163
GCP/us-east1	598249688842	434153	1027	642
USA/IL	1625399108	311	244	2
ITA/25	3512270248	14994	130	119
DEU/BE	187020155037	44564	1499	441
GCP/us-central1	929702631311	310170	1559	693
VPN	317918664165	59874	312	248
USA/FL	1194925406726	123	122	1
GCP/asia-east1	70137435300	53070	257	223
USA/MA	249864472104	5114	1	53
AWS/us-west-2	259813225233	45100	136	70
GCP/us-east4	422435826522	155026	750	388
GCP/us-west1	595723912534	129537	512	565
GCP/asia-southeast1	57594222405	20447	130	130
GCP/europe-west4	269198016005	84097	379	214
GCP/us-west4	389352116832	31157	165	130
USA/CT	9858336315	34304	103	60
CHN/SH	3471184760	4458	69	58
USA/MI	220379888	147	0	2
CHN/LN	144468796378	7752	191	64
ECU/P	7179099388	4349	87	60
KOR/41	1536075560	4944	36	60
CAN/BC	99127540833	11961	0	60
USA/MD	22619825573	5560	47	41
JPN/22	7744742296	26156	58	20
USA/CA	1600881509619	82954	382	318
GCP/us-west3	88135524697	57575	216	75
CHN/BJ	2729967616	8475	0	60
JPN/23	18989497628	3293	66	28
CHN	315382111540	25805	64	34
USA/TN	484990543878	66849	1827	359
USA/GA	43541265641	579	29	12
AWS/ap-southeast-1	94659060	43	43	0
PRT	14510713895	1424	136	25
USA/NY	10471021578	3287	21	7
USA/VA	74944346004	17509	128	106
CHE/VD	1251270455	2511	118	75
MYS/14	3576487700	1	1	0
JPN/13	111172673434	12632	6	18
BEL/BRU	1480783	130	0	3
ITA/52	17540364	157	2	2
DEU/NI	128134982913	3593	61	3
IND/TS	113363707786	8320	50	27
HKG	29038153828	4	4	0
GBR/ENG	74561818	121	4	3
USA	11661103839	2242	2	2
USA/TX	711441156	204	5	1
USA/LA	4978608	1	1	0
SGP	11409468	65	5	4
MEX/CMX	231664428	1288	31	24
IND/TN	51627017928	2188	12	11
USA/NH	15305380248	66444	211	144
AWS/us-east-2	618988553	3309	17	15
CHE/ZH	41788628	72	10	5
TUR/34	79774462329	6	6	0
USA/DC	39304800	5	5	0
PAK/IS	3995988	1	1	0
IND/CH	27185820	1	1	0
ECU/L	6354276	1	1	0
JPN/26	67108864	16	0	1
IDN/JI	1375668	1	1	0
NLD/ZH	111118172	102	2	1
CHE/GE	6878340	1	1	0
DEU/SN	85451104	1	1	0
GCP/asia-south1	80459016	254	3	2
MYS/10	124493872	2	2	0
USA/VT	1235801080	583	0	3
ZAF/WC	40962808	5	0	1
USA/PA	33558992	186	1	1
DNK/84	17694720	270	0	1
CHN/HB	68599264	79	0	1
DEU/NW	7982712	40	1	1
FRA/IDF	4193212	19	3	3
