region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	1386311256	1812	302	206
GitHub	150009792	43680	43	177
SRB/00	6457880	2	2	0
GBR/ENG	41976220	13	13	0
USA/VT	310175548	396	66	12
USA/MD	19373336	40	8	6
USA/CA	32540733	257	10	7
USA/NY	48230344	298	11	5
USA/PA	23032660	28	7	2
AWS/us-east-1	51690452	17	8	8
USA/CT	25831520	8	8	0
AWS/us-east-2	52990208	2480	0	16
VPN	86302946	87	22	9
IND/MH	40270320	30	12	2
IRN	12915760	4	4	0
USA/IL	18356120	16	6	2
JPN	12915760	4	4	0
USA/WA	6867480	6	2	2
USA/VA	12619924	9	2	3
GCP/us-central1	25831520	8	8	0
MEX/CMX	35320108	64	19	9
USA/MA	66012404	34	7	11
USA/DC	20001396	25	9	3
CAN/QC	9686820	3	0	3
AWS/ap-southeast-1	3228940	1	1	0
USA/RI	9686820	3	0	1
AWS/us-west-2	18900024	34	6	2
GCP/us-east1	6457880	2	2	0
JPN/13	4717080	6	1	1
USA/AZ	6457880	2	2	0
JPN/26	6457880	2	2	0
CHN	6457880	2	2	0
FRA	6457880	2	2	0
CHN/ZJ	6457880	2	2	0
FRA/IDF	15876384	17	6	3
NOR/50	90410320	28	0	3
USA	8775488	8	4	1
CHN/SH	6457880	2	2	0
CHE/VD	3775336	13	3	3
IRQ/NA	1113636	1	1	0
CHN/BJ	1158804	4	1	1
PRY/7	1179144	1	1	0
PRY/14	1375668	1	1	0
BGD	917112	1	1	0
PAK/KP	1113636	1	1	0
USA/TX	9686820	3	3	0
SGP	16144732	7	5	2
USA/MN	3228940	1	1	0
CAN/ON	12915760	4	4	0
AUS/NSW	3228940	1	1	0
USA/TN	3228940	1	1	0
USA/FL	3228940	1	1	0
USA/NC	3228940	1	1	0
EST/37	3228940	1	1	0
BRA/RN	2227272	1	1	0
VNM/SG	917112	1	1	0
CHN/GD	1843200	12	0	1
