region	bytes_sent
US/California	6934446967951
NL/North Holland	2332839701588
US/Georgia	2199073419816
AWS/us-east-1	2030429559727
TW/Taiwan	1996516623953
AWS/us-east-2	1922632724726
US/Virginia	1658596208873
US/Oregon	408573728323
JP/Ibaraki	255751009978
CN/Shanghai	250008288728
VPN	199856649723
US/New Mexico	190485000706
IN/Uttarakhand	120402852334
GitHub	86686476933
CA/Quebec	70949154356
US/Massachusetts	50514594317
HK/Hong Kong	44054541030
CA/British Columbia	25476738854
US/Washington	14265356774
GB/England	13707924588
JP/Shiga	8386498965
CA/Alberta	7401373142
US/Illinois	6977721437
US/Maryland	6574337420
AWS/ap-southeast-1	6277743904
US/New York	6213972891
JP/Osaka	5608390263
US/Tennessee	5565608229
FR/Île-de-France	4234415428
US/Pennsylvania	4217371436
US/Texas	4087760722
JP/Tokyo	3658207689
GCP/us-central1	3532806669
JP/Hyōgo	3339550582
PT/Lisbon	3046205564
JP/Aichi	2338420678
HK/Kwai Tsing	2048969752
IN/Maharashtra	1523102732
US/Rhode Island	1112502964
US/Florida	1031290351
NL/Overijssel	864199227
VN/Ho Chi Minh	761551366
VN/Kiên Giang Province	761551366
KR/Seoul	548521256
SE/Stockholm	476850135
GB/Scotland	476850135
GCP/us-east1	462794296
US/Vermont	86875225
US/New Jersey	26014688
IN/Delhi	11513685
US/New Hampshire	9589129
