week_start	Neurophysiology	Video	Miscellaneous
2022-04-18	382844298582	626947159273	995125720976
2022-04-25	429553033	3658207689	0
2022-05-02	11245059747	0	0
2022-05-09	385072792549	623251290483	995248308029
2022-05-16	955584	0	11310853103
2022-05-23	0	0	59892103
2022-06-13	0	14479636317	3216
2022-06-20	0	11513685	0
2022-06-27	526920366	0	484277333
2022-07-04	4130046179	0	0
2022-07-11	1126916308407	625047226539	1086570340888
2022-07-18	0	636199029	249175030
2022-07-25	14419585237	0	19571207839
2022-08-01	116737138964	156141163110	266901871000
2022-08-08	292049311966	478616614780	717514804236
2022-08-15	9900167758	0	0
2022-08-22	384807738555	558747954372	947556777710
2022-08-29	43290270146	192579196557	273872709520
2022-09-05	10661719124	0	118568554
2022-09-19	6859152883	0	0
2022-09-26	12015943008	3658207689	0
2022-10-03	1922362639	3658207689	0
2022-10-10	14625858774	0	0
2022-10-17	27656172895	0	0
2022-10-24	265828030073	0	0
2022-10-31	193894197428	3658207689	0
2022-11-07	19054117613	0	0
2022-11-14	22413823316	0	0
2022-11-21	29648091461	2862700447	0
2022-11-28	0	86875225	0
2022-12-12	21851842944	2862700447	0
2023-01-16	7521018158	3381434943	0
2023-01-30	18030803203	0	125581714
2023-02-06	21657888482	0	0
2023-02-13	13460632384	0	19715470882
2023-02-20	12863157063	0	15928231004
2023-03-06	6767954942	33049272	0
2023-03-20	716277802	7536426426	132369244
2023-04-10	53310488274	62895553815	74455385306
2023-04-17	18848169286	50843124	0
2023-04-24	0	3731065594	0
2023-05-08	13489250886	0	12810983278
2023-05-22	9659955837	0	0
2023-05-29	6689088	0	0
2023-06-05	60993293100	0	0
2023-06-12	7644672	24587393	0
2023-06-19	2746933437	0	0
2023-06-26	3601774036	0	0
2023-07-03	896687244	25483776	0
2023-07-10	6866016995	0	0
2023-07-17	483714247	58031747	0
2023-07-24	1585317462	0	0
2023-07-31	89835047	0	0
2023-08-07	6156008	7100948	0
2023-08-14	416897549808	623251290483	657169879761
2023-08-21	6864624	0	0
2023-08-28	2293254354	0	0
2023-09-04	33424027439	0	0
2023-09-11	6689088	0	9437116
2023-09-18	6689088	0	0
2023-09-25	1262430211	0	0
2023-10-02	4777920	0	0
2023-10-09	955584	0	0
2023-10-16	13666422479	13073708	20760226367
2023-10-23	2722569441	17727286889	32211714884
2023-10-30	387909488085	660061996370	1044739015484
2023-11-06	0	27573289409	15469775749
2023-11-13	4023391380	0	847697596
2023-11-20	8798172707	0	369428738
2023-11-27	955584	0	0
2023-12-04	56471425991	0	0
2023-12-11	1240312669	0	0
2024-01-01	1523102732	11414608	0
2024-01-08	0	9290960	0
2024-01-15	378135593995	623251290483	995129739475
2024-01-22	1797765206	7830952	0
2024-01-29	992322232	12277340	197510074
2024-02-05	390501614790	19286494392	0
2024-02-12	6844156108	65235812	0
2024-02-19	541886855	7331175449	0
2024-02-26	9622780	0	228900246
2024-03-04	1667722732	0	123926370
2024-03-11	14791151289	0	1521350317
2024-03-18	13471892	0	95895980
2024-03-25	0	9556416	99316179
2024-04-01	7830952	8030044	76251196
2024-04-08	119697671	12808252	59064276
2024-04-15	0	0	114199788
2024-04-22	0	11613700	64800058
2024-04-29	158066663	0	71754292
2024-05-06	70518745714	37163840	51579988
2024-05-13	21634664	26346508	92182840
2024-05-20	21633836	20174656	49374940
2024-05-27	85078648	0	45340049
2024-06-03	72827779264	7830952	512198073
2024-06-10	591195307	35571104	1742934039
2024-06-17	39486580	25218320	1662508796
2024-06-24	1045001091154	7830952	104836676
2024-07-01	99160321501	2726453034	109618772
2024-07-08	1826250792	0	104175988
2024-07-15	0	0	187702303
