region	bytes_sent
HK/Hong Kong	211069139644
IR/Fars	210006646737
US/California	163652444773
GitHub	132273071964
AWS/us-east-1	64570380175
US/New Hampshire	54999676230
ES/Madrid	52749677455
US/Georgia	52744671783
US/New York	52742850395
US/Texas	52741296155
US/Pennsylvania	52741296155
CA/Quebec	52650418282
IN/Karnataka	51404779215
GCP/us-west1	7376540059
CN/Shanghai	7372581539
AWS/ap-southeast-1	3965145209
GCP/us-west4	3218871514
VPN	1722999737
US/Washington	78023190
US/Virginia	72906755
DE/Berlin	68743206
GCP/us-central1	36858357
US/Maryland	32909060
US/Massachusetts	28391112
IT/Lazio	26561269
HU/Budapest	19623692
GB/England	14032108
AWS/us-east-2	8775848
US/Connecticut	6783772
CZ/Moravskoslezský	4440538
PT/Lisbon	3754129
SE/Stockholm	3597394
US/Rhode Island	3424026
DE/Baden-Wurttemberg	2850306
US/Delaware	1885381
CA/Ontario	1885381
DE/Brandenburg	1712013
NL/North Holland	829893
