region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	17319398420	77854	3002	2790
USA	1855909268	374	3	35
VPN	30189962033	1080	977	30
HKG/KKC	609860960	81	0	11
USA/MA	10440461676	359	10	185
NLD/ZH	6483918096	126	126	0
CHN	11919760232	1282	0	146
DEU/BY	11005390616	3873	451	125
USA/VA	7455356464	291	165	3
USA/NY	6489283296	155	130	1
AWS/ap-southeast-1	1523126508	253	253	0
AWS/us-east-1	6375229592	640	640	0
GCP/us-central1	7652707152	153	153	0
USA/NV	934275096	124	124	0
IND/KL	917112	1	1	0
IND/DL	1048128	1	1	0
PRY/11	1375668	1	1	0
AWS/us-east-2	1287000680	3090	17	15
AWS/ap-south-1	70823200	1	1	0
USA/IL	1820481484	83	67	2
VNM/37	1703208	2	2	0
CAN/QC	2310610976	227	29	29
MEX/CMX	89788596	222	51	47
VNM/HN	166193796	16	16	0
NLD	2436328164	110	35	35
MAR/07	1441176	1	1	0
USA/MD	47330264	41	11	10
MEX/NLE	2358288	1	1	0
UKR	1244652	1	1	0
NOR/50	441119752	97	0	8
PAK/IS	6419784	2	2	0
MEX/VER	4323528	1	1	0
ZAF/GP	5830212	3	3	0
LVA/JUR	1113636	1	1	0
BRA/CE	31705872	2	2	0
PHL/01	11660424	1	1	0
IDN/AC	12446520	1	1	0
URY/MO	1375668	1	1	0
BRA/PA	10219248	1	1	0
ZAF/WC	851604	1	1	0
BRA/RS	36422448	6	6	0
RUS/MOS	1244652	1	1	0
BRA/RJ	47296776	7	7	0
ARG/P	3864972	2	2	0
SYC	3209892	1	1	0
BGD	17032080	7	7	0
GBR/ENG	1144136256	37	31	1
KEN/30	851604	1	1	0
KAZ/75	15721920	1	1	0
COL/ANT	3013368	1	1	0
NGA/LA	13953204	1	1	0
ESP/MD	6026736	3	3	0
BRA/SP	17949192	4	4	0
UKR/30	55943832	9	9	0
DZA/23	3471924	2	2	0
KAZ/79	3733956	1	1	0
TUR/31	1113636	1	1	0
MEX/PUE	1048128	1	1	0
TGO/M	2816844	1	1	0
DEU/NW	19914432	1	1	0
IDN	7860960	2	2	0
BRA/PB	3340908	2	2	0
IND/CH	1048128	1	1	0
USA/CA	257984143	45	14	7
SGP	109311620	10	10	0
PAK/PB	1834224	2	2	0
ARG/B	19914432	10	10	0
EST/37	43285888	1	1	0
CHE/VD	4643472	18	2	2
FRA/IDF	12409976	18	6	3
