region	bytes_sent
GitHub	13270234900
DE/Bavaria	11004014948
US/New York	6440628584
AWS/us-east-1	1321492884
GB/England	1125435896
CA/Quebec	925090400
GCP/us-central1	822475216
CN/Shanghai	810432488
AWS/us-east-2	506628600
US/Maryland	434764032
US/California	215636603
AWS/ap-southeast-1	209429076
VPN	109375884
US/Massachusetts	86577680
IN/Maharashtra	86571992
US/Rhode Island	77439736
US/Minnesota	43290832
US/South Dakota	43290832
KR/Incheon	43289512
US/New Hampshire	43289512
GCP/europe-west4	43289512
