date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-08-14	3884666646	464	0	1
2026-08-17	4012733632	479	0	1
2026-08-19	18717068849	2244	0	31
2026-08-20	52895679191	6318	14	12
