region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	2241326540	46370	284	243
VPN	544400160	206	44	17
AWS/ap-southeast-1	106892920	21	21	0
NOR/50	226635064	58	2	6
CAN/QC	39680296	12	0	6
FRA/IDF	109574980	22	14	3
USA/CA	523108958	524	58	16
AWS/us-east-1	508928785	113	23	45
USA/NV	148500092	18	14	2
GBR/ENG	356412536	37	37	0
ROU/B	10338632	709	1	1
USA/TX	68536576	7	7	0
GCP/us-east1	8818688	1	1	0
AWS/us-east-2	356993784	6886	9	28
NLD	60705624	6	6	0
AWS/us-west-2	49898320	5	5	0
IND/MH	39040400	4	4	0
USA/MD	47552048	32	9	7
AUS/VIC	176389137	28	14	3
GCP/us-central1	258786352	26	26	0
PRT/11	127220440	14	14	0
CHN	99797552	19	3	5
USA/MA	304243224	87	0	14
USA/VA	195182640	62	10	4
CHN/GD	49898320	5	5	0
USA/MI	49898320	5	5	0
HKG	8818688	2	0	1
HKG/KKC	19572184	4	0	2
VNM/SG	36134748	5	5	0
USA/CT	49898320	5	5	0
BRA/PR	10875972	2	2	0
USA	39196808	6	3	1
MEX/CMX	16662060	52	16	16
SGP	29571500	4	4	0
USA/IL	22988308	9	4	2
PAK/SD	1061824	1	1	0
JPN	31944268	6	3	1
USA/RI	38269192	57	0	2
JPN/13	8936016	4	1	1
CHE/AG	17588784	6	2	2
USA/PA	89521544	35	11	1
USA/TN	43436896	25	0	1
BHR/13	4910936	1	1	0
VEN/X	5043664	1	1	0
ETH/AA	929096	1	1	0
SWE/AB	8817320	2	0	1
SWE/O	8817320	1	1	0
EST/37	8817320	1	1	0
CHE/VD	2267792	6	2	1
NPL/P3	929096	1	1	0
USA/NY	69215764	244	6	3
EGY/KN	862732	1	1	0
RUS/OMS	1128188	1	1	0
TUR/42	1128188	1	1	0
VNM/22	862732	1	1	0
IDN	862732	1	1	0
CHL/RM	6769128	1	1	0
BEL/BRU	1393644	1	1	0
VNM/39	995460	1	1	0
USA/OR	43254752	10	4	1
USA/IN	10807304	1	1	0
USA/MN	10807304	1	1	0
USA/GA	21639408	5	2	1
IND/TS	10807304	1	1	0
JPN/11	10807304	1	1	0
USA/WA	41138656	23	3	1
