date	bytes_sent	number_of_requests	number_of_downloads
2023-05-19	40412790236	4840	<50
2023-05-23	2485964867	<50	<50
2023-05-25	114256	180	<50
2023-05-26	228512	360	<50
2023-05-27	114256	180	<50
2023-05-28	114256	180	<50
2023-05-29	114256	180	<50
2023-05-30	114256	180	<50
2023-06-01	114256	180	<50
2023-06-04	114256	180	<50
2023-06-05	114256	180	<50
2023-06-06	114256	180	<50
2023-06-08	114256	180	<50
2023-06-14	114256	180	<50
2023-06-17	228512	360	<50
2023-06-18	114256	180	<50
2023-06-19	114256	180	<50
2023-06-20	114256	180	<50
2023-06-22	114256	180	<50
2023-06-24	228512	360	<50
2023-06-25	189227916	220	<50
2023-06-26	267963611	240	<50
2023-06-30	114256	180	<50
2023-07-01	47300176	200	<50
2023-07-02	114256	180	<50
2023-07-03	15842896	180	<50
2023-07-04	114256	180	<50
2023-07-06	114256	180	<50
2023-07-10	114256	180	<50
2023-07-11	114256	180	<50
2023-07-12	114256	180	<50
2023-07-15	114256	180	<50
2023-07-16	114256	180	<50
2023-07-17	114256	180	<50
2023-07-18	114256	180	<50
2023-07-19	114256	180	<50
2023-07-20	114256	180	<50
2023-07-21	114256	180	<50
2023-07-22	114256	180	<50
2023-07-23	114256	180	<50
2023-07-24	114256	180	<50
2023-07-25	114256	180	<50
2023-07-26	114256	180	<50
2023-07-29	114256	180	<50
2023-07-31	2024614430	180	<50
2023-08-02	114256	180	<50
2023-08-04	114256	180	<50
2023-08-07	114256	180	<50
2023-08-08	114256	180	<50
2023-08-09	114256	180	<50
2023-08-12	114256	180	<50
2023-08-13	114256	180	<50
2023-08-16	114256	180	<50
2023-08-18	114256	180	<50
2023-08-19	114256	180	<50
2023-08-22	114256	180	<50
2023-08-24	114256	180	<50
2023-08-25	114256	180	<50
2023-08-29	2024500174	<50	<50
2023-08-30	114256	180	<50
2023-08-31	4049114604	180	<50
2023-09-02	114256	180	<50
2023-09-03	228512	360	<50
2023-09-04	114256	180	<50
2023-09-07	114256	180	<50
2023-09-08	114256	180	<50
2023-09-11	114256	180	<50
2023-09-16	114256	180	<50
2023-09-18	114256	180	<50
2023-09-21	114256	180	<50
2023-09-22	114256	180	<50
2023-09-24	114256	180	<50
2023-09-25	228512	360	<50
2023-09-27	2024614430	180	<50
2023-09-29	114256	180	<50
2023-10-01	114256	180	<50
2023-10-06	114256	180	<50
2023-10-11	114256	180	<50
2023-10-19	114256	180	<50
2023-10-23	2024614430	180	<50
2023-10-24	4929684040	340	<50
2023-10-31	1888604620	220	<50
2023-11-02	1871663171	220	<50
2023-11-03	2024500174	<50	<50
2023-11-05	114256	180	<50
2023-11-08	114256	180	<50
2023-11-18	2024500174	<50	<50
2023-11-19	226462088	80	<50
2023-11-20	40412790236	<50	<50
2023-11-21	233630147	100	<50
2023-11-29	8461459	200	<50
2023-12-02	114256	180	<50
2023-12-06	114256	180	<50
2023-12-11	834289116	180	<50
2023-12-13	2024728686	360	<50
2024-01-04	3035356971	<50	<50
2024-01-05	1013643377	<50	<50
2024-01-11	114256	180	<50
2024-01-22	144591704	100	<50
2024-01-24	2041604930	<50	<50
2024-01-26	113606420	100	<50
2024-03-08	110285470	<50	<50
2024-03-12	270788564	280	60
2024-03-26	183029872	240	<50
2024-03-27	197769172	240	<50
2024-03-28	140973736	240	<50
2024-04-04	219386812	240	<50
2024-04-19	758275451	3460	<50
2024-04-22	384691022	1720	<50
2024-04-23	374478535	1720	<50
2024-04-24	118829400	580	<50
2024-06-07	12118980	<50	<50
2024-06-08	12643044	<50	<50
2024-06-10	9629676	<50	<50
2024-06-12	23779404	<50	<50
2024-06-22	7860960	<50	<50
2024-07-13	227278544	240	<50
2024-07-25	282077448	<50	<50
2024-08-22	8057484	<50	<50
2024-08-26	55008359	<50	<50
2024-08-30	318303372	<50	<50
2024-08-31	4029097996	<50	<50
2024-09-02	3745812199	<50	<50
2024-09-03	1896579006	<50	<50
2024-09-04	9552395657	<50	<50
2024-09-06	13691172	<50	<50
2024-09-08	4648718695	220	<50
2024-09-09	5741035079	280	<50
2024-09-10	5768683452	280	<50
2024-09-11	5694933318	260	<50
2024-09-13	7828414	<50	<50
2024-09-14	300497469	60	<50
2024-09-21	201468392	240	<50
2024-09-28	9957216	<50	<50
2024-09-30	10088232	<50	<50
2024-10-20	264193764	<50	<50
2024-11-12	30854268	<50	<50
2024-11-13	42318168	<50	<50
2024-11-14	18931812	<50	<50
2024-11-20	244410348	<50	<50
2024-12-03	2041061085	240	<50
2025-05-29	40412790236	<50	<50
2025-07-30	4811735159	100	<50
2025-07-31	1023164148	<50	<50
2025-08-01	2097819265	<50	<50
2025-08-02	4849116140	100	<50
2025-08-03	2901372448	60	<50
2025-08-07	989266010	<50	<50
2025-08-09	1888604620	<50	<50
2025-08-10	1885049880	<50	<50
2025-08-11	2064703563	<50	<50
2025-08-13	3229018923	60	<50
2025-08-14	526202394	<50	<50
2025-08-15	5617475370	100	<50
2025-08-17	2879800164	60	<50
2025-08-19	1896579006	<50	<50
2025-08-20	1884444251	<50	<50
2025-08-21	1868438895	<50	<50
2025-08-26	1013643377	<50	<50
2025-08-27	1889877729	<50	<50
2025-08-28	2014213144	<50	<50
2025-08-29	1084175888	<50	<50
2025-09-02	1865870123	<50	<50
2025-09-03	3771099094	80	<50
2025-09-05	1077490511	<50	<50
2025-09-07	1876425314	<50	<50
2025-09-10	1868438895	<50	<50
2025-09-11	1868438895	<50	<50
2025-09-22	15161498	<50	<50
2025-09-24	122471128	160	<50
2025-09-25	63004280	80	<50
2025-09-29	5923407	<50	<50
2025-10-07	127187704	160	<50
2025-10-08	18922070	<50	<50
2025-10-12	63397328	80	<50
2025-10-15	61694120	80	<50
2025-10-16	125812036	160	<50
2025-10-26	61956152	80	<50
2025-10-29	63790376	80	<50
2025-11-04	78165778	100	<50
2025-11-05	30519520	<50	<50
2025-11-06	29209360	<50	<50
2025-11-07	46008558	60	<50
2025-11-08	30978076	<50	<50
2025-11-09	47122194	60	<50
2025-11-10	45812034	60	<50
2025-11-11	31502140	<50	<50
2025-11-12	31371124	<50	<50
2025-11-13	29405884	<50	<50
2025-11-14	15882086	<50	<50
2025-11-15	15423530	<50	<50
2025-11-16	15947594	<50	<50
2025-11-17	15489038	<50	<50
2025-11-18	15161498	<50	<50
2025-11-19	15751070	<50	<50
2025-11-20	15554546	<50	<50
2025-11-21	12934226	<50	<50
2025-11-22	15358022	<50	<50
2025-11-23	16799198	<50	<50
2025-11-24	255968906	<50	<50
2025-11-25	642400598	80	60
2025-11-26	71694902	<50	<50
2025-11-27	13261766	<50	<50
2025-11-28	15358022	<50	<50
2025-11-29	15358022	<50	<50
2025-11-30	15358022	<50	<50
2025-12-01	13785830	<50	<50
2025-12-02	15751070	<50	<50
2025-12-03	15620054	<50	<50
2025-12-04	15227006	<50	<50
2025-12-05	15751070	<50	<50
2025-12-06	15095990	<50	<50
2025-12-07	15554546	<50	<50
2025-12-08	30978076	<50	<50
2025-12-09	30781552	<50	<50
2025-12-10	27964708	<50	<50
2025-12-16	40604393928	100	60
2025-12-17	30912568	<50	<50
2025-12-18	40475401468	120	<50
2025-12-19	165145668	<50	<50
2025-12-24	6632652503	1260	<50
2025-12-26	1023164148	200	<50
2025-12-27	1896579006	360	<50
2025-12-31	1888604620	360	<50
2026-01-03	1885049880	360	<50
2026-01-05	31436632	<50	<50
2026-01-06	31043584	<50	<50
2026-01-07	1887086701	380	<50
2026-01-08	50070054	60	<50
2026-01-09	15423530	<50	<50
2026-01-17	14391182202	<50	<50
2026-01-18	33524562149	<50	<50
2026-01-19	8799280514	<50	<50
2026-01-23	2962949541	600	<50
2026-01-24	1925998893	400	<50
2026-01-27	1026083803	220	<50
2026-01-28	1080236143	240	<50
2026-01-29	2894370745	580	<50
2026-01-30	1108599603	240	<50
2026-01-31	3985548336	760	<50
2026-02-01	1868438895	360	<50
2026-02-03	3734309018	720	<50
2026-02-04	30978076	<50	<50
2026-02-05	4815720547	960	<50
2026-02-10	31043584	<50	<50
2026-02-12	30912568	<50	<50
2026-02-17	32353744	<50	<50
2026-02-20	134925530	60	<50
2026-02-24	31305616	<50	<50
2026-02-25	11017141	<50	<50
2026-02-26	5097099	<50	<50
2026-02-27	15803161	<50	<50
2026-02-28	37181736	<50	<50
