region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/MD	18195372	16	4	2
VPN	8138252164	297	48	13
USA	341811692	64	2	1
USA/MA	6907625312	517	0	14
AWS/us-east-1	705840372	88	4	2
GitHub	122800236	153	10	10
USA/VA	45108	7	0	3
AWS/ap-southeast-1	27513360	6	6	0
USA/IL	715934694	60	7	5
USA/CA	50183616	12	3	2
CHE/ZH	1334240512	4	4	0
USA/WI	49262016	1	1	0
CAN/ON	1386656688	4	4	0
GCP/us-central1	1332046256	4	4	0
EST/37	320456084	1	1	0
MEX/CMX	45373244	86	17	11
CHE/VD	701661324	35	8	4
JPN/13	320456084	1	1	0
BGD	1441176	1	1	0
PER/LMA	12184488	1	1	0
BRA/BA	14149728	1	1	0
ETH/AA	13232616	1	1	0
GCP/asia-south1	10040220	55	5	4
KOR/11	1978004	11	1	1
FRA/IDF	6272916	15	3	3
CAN/BC	84416	8	0	2
CHN	1491489040	78	0	2
CHN/ZJ	49186088	3	0	1
