week_start	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170316T095515_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170316T183021_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170317T094453_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170317T144531_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170318T135856_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170318T185915_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170320T113440_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170321T173346_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170322T111919_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170316T095515_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170316T183021_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170317T094453_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170317T144531_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170318T135856_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170318T185915_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170320T113440_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170321T173346_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170322T111919_behavior+ecephys.nwb
2023-07-03	0	0	0	0	0	0	576759206	334698861	358976071	243450237	474892342	253275861	680946934	384400917	0	0	0	0
2023-07-10	0	0	0	0	0	0	127153424	275941512	299224820	478283692	238644116	445433512	294588968	395793240	190397488	0	0	0
2023-07-17	0	0	0	0	0	0	178181712	178612664	169881976	0	421074062	397218439	427839493	937112194	539131811	0	0	0
2023-07-24	0	0	0	0	0	0	146028878	225433818	245336223	303575083	266342175	295809612	431063679	450333965	259610340	0	0	0
2023-07-31	0	0	0	0	0	0	10950060	41642941	46344697	6370944	2190012	12808252	32783816	28934704	16458272	0	0	0
2023-08-07	0	0	0	0	0	0	351397380	367721268	414098672	594950776	0	126025236	219399384	98616904	6238216	0	0	0
2023-08-14	0	0	0	0	0	0	753627928	593623496	265493692	0	202675656	389156840	328765600	337991852	478814604	0	0	0
2023-08-21	0	0	0	0	0	0	133191720	231077792	172404492	555333124	53090372	531175800	273352488	545177776	227627692	0	0	0
2023-08-28	0	0	0	0	0	0	483195456	589681112	742929580	189933768	618111812	0	24292776	435746024	821051268	0	0	0
2023-09-04	0	0	0	0	0	0	144408064	208913044	1159192	800611984	615126260	323722764	195441980	921195372	257889676	0	0	0
2023-09-11	0	0	0	0	0	0	451605364	206058564	226637080	208049484	0	209909332	724295040	134519828	469989848	0	0	0
2023-09-18	0	0	0	0	0	0	186482012	261671596	977328	361218424	544913148	376549336	496400236	449748000	134387100	0	0	0
2023-09-25	0	0	0	0	0	0	509372684	391301044	430176040	0	192721056	106182400	63712992	0	205529308	0	0	0
2023-10-02	0	0	0	0	0	0	370442192	238908744	467502936	245944156	119853384	246076884	386503108	492884600	370510212	0	0	0
2023-10-09	0	0	0	0	0	0	669411184	0	306558996	454260752	0	522549308	335734648	220394016	150447188	0	0	0
2023-10-16	0	0	0	0	0	0	0	530580180	187477472	176727332	8388608	523770008	8388608	420680568	434882464	0	0	0
2023-10-23	0	0	0	0	0	0	0	243242960	491256	0	0	176261956	24292776	0	0	0	0	0
2023-10-30	0	0	0	0	0	0	325298216	71513484	408815996	383697460	194313792	188138628	24292776	282314600	429076952	0	0	0
2023-11-06	0	0	0	0	0	0	536883932	0	546784	406809664	430169792	260930372	556926688	0	0	0	0	0
2023-11-13	0	0	0	0	0	0	527857600	187477472	217209372	150513552	252712456	0	24292776	162790892	11547336	0	0	0
2023-11-20	0	0	0	0	0	0	0	0	18196360	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	0	0	0	0	0	0	90112	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	0	0	0	0	0	151392	17409208	17390136	13789992	13807016	9757280	0	0	0	0
2023-12-11	0	0	0	0	0	0	0	25503504	0	0	0	0	48585552	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	25503504	0	0	0	0	24292776	0	0	0	0	0
2024-01-22	0	0	0	0	0	0	4040268	31236164	7928272	1722736	3585268	1772372	30196740	1421920	2840096	0	0	0
2024-01-29	0	0	0	0	0	0	90586860	128347976	58267592	76783148	243488688	141752676	219133100	247005980	139361088	0	0	0
2024-02-12	0	0	0	0	0	0	27738406	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	0	0	0	0	0	0	0	7830952	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	0	0	0	0	0	0	93573240	220439404	0	241894296	0	169559192	195705780	344425020	0	0	0
2024-03-11	0	0	0	0	0	0	665957116	5819528	268493072	637818072	175734612	562180384	470915632	12769012	189439552	0	0	0
2024-03-18	0	0	0	0	0	0	134796516	239307756	119919748	0	137506208	0	0	184160100	0	0	0	0
