week_start	sub-BWRat17/sub-BWRat17_ses-BWRat17-121712_ecephys.nwb	sub-BWRat17/sub-BWRat17_ses-BWRat17-121912_ecephys.nwb	sub-BWRat18/sub-BWRat18_ses-BWRat18-020513_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032413_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032513_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101013_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101513_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121113_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121613_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121813_ecephys.nwb	sub-Bogey/sub-Bogey_ses-Bogey-012615_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061814_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061914_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-062014_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072114_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072314_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072414_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022615_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022715_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020515_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020915_ecephys.nwb	sub-Templeton/sub-Templeton_ses-Templeton-032415_ecephys.nwb
2023-06-26	0	914871568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	0	31524112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	1530632945	1473316112	2488291980	3104963309	2312698857	5279870173	5346091709	7572209835	4310782176	4276733437	9149452836	8807934635	11647068450	14960791468	9571390129	7115520367	8346698940	11076844316	10100622892	9575877681	6206050302	10612482660
2023-07-17	0	2866192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	2866192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	1530632945	1473316112	2488291980	3104963309	2312698857	5279870173	5346091709	7572209835	4310782176	4276733437	9149452836	8807934635	11647068450	14960791468	9571390129	7115520367	8346698940	11076844316	10100622892	9575877681	6206050302	10612482660
2023-08-07	534278748	268522276	2765657848	2623667152	279540192	149558704	110429696	2923375904	61320336	46653892	2984644736	1124244828	65434904	26545600	4489974448	44264788	24090132	0	4577405556	0	0	0
2023-08-14	0	2866192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	0	2866192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	4094560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-04	0	3423104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	0	2866192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	2866192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	3275648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-02	0	2047280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	818912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	0	409456	0	0	0	5279870173	0	0	0	0	0	0	0	0	0	0	0	11076844316	0	0	0	0
2023-10-23	1530632945	1470449920	4976583960	3104963309	2312698857	5279870173	1228200572	7572209835	4310782176	4276733437	9149452836	8807934635	23294136900	14960791468	9571390129	7115520367	8346698940	11076844316	10100622892	9575877681	6206050302	10612482660
2023-11-13	0	772018101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-20	1530632945	2261862225	2488291980	3104963309	2312698857	5279870173	9484223866	7572209835	4310782176	4276733437	9149452836	8807934635	11647068450	14960791468	9571390129	7115520367	8346698940	11076844316	10100622892	9575877681	6206050302	10612482660
