region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	18949011696	3611	6	2
USA/MA	68208315491	1448	0	25
AWS/us-east-1	56770481268	6777	18	6
USA/MD	2884266876	67	19	12
VPN	57216374620	76	56	8
MEX/CMX	68500176	127	36	25
USA/CA	18536176	15	4	4
GBR/ENG	123247428	12	6	6
USA/NY	125614814796	337	7	6
CHN	67233248540	7228	0	7
GitHub	93725852	170	48	33
AWS/ap-southeast-1	76120296	12	12	0
ITA/45	18446336	1	0	1
ITA/82	57200152	3	1	1
KEN/30	32818740	13	4	1
KOR/30	67818015156	15	8	7
CHE/VD	2270432	8	2	1
USA/IL	2041068	7	2	2
FRA/IDF	3078108	12	3	3
USA/WA	7210436	12	4	4
AWS/us-west-2	39335020	40	12	4
USA/FL	50179128	1	1	0
CAN/QC	7044428	4	1	1
