region	bytes_sent
US/California	140842382995
AWS/us-east-2	51335565776
VPN	29839732473
NL/North Holland	24619853252
AWS/us-east-1	23066588452
US/New York	22458784764
CA/Ontario	22351569736
US/Massachusetts	22211886496
US/New Mexico	22211886496
GitHub	13533514644
US/Georgia	10571567523
CA/Quebec	3918561256
CN/Shanghai	2688428880
GCP/us-central1	2678102256
FR/Provence-Alpes-Côte d'Azur	2371461200
US/Maryland	2256444732
MX/Mexico City	1702389264
GB/England	1610550728
IT/Lombardy	1306752504
CH/Vaud	610951920
US/Washington	528562832
HK/Hong Kong	513355120
PT/Lisbon	474023856
IN/Telangana	439755288
AWS/ap-southeast-1	397386804
RU/Moscow	357261380
IN/Delhi	279366480
ES/Madrid	219942377
AU/New South Wales	205959216
IN/Maharashtra	167953216
VN/Ho Chi Minh	139726520
US/Louisiana	139683240
US/Rhode Island	112592600
IN/Punjab	83976608
VN/Kiên Giang Province	61214128
DE/North Rhine-Westphalia	50594504
HU/Budapest	35583006
US/Virginia	132728
