week_start	Neurophysiology	Microscopy	Miscellaneous
2021-04-19	0	0	12
2021-05-03	0	0	4
2021-06-28	0	0	8
2021-07-05	0	0	4
2021-07-12	0	0	4
2021-07-26	0	0	6
2021-08-09	0	0	6
2021-08-30	0	0	372
2021-09-20	0	0	12
2021-10-04	0	0	312
2021-10-18	0	0	52
2021-11-01	0	0	52
2022-01-10	0	0	52
2022-01-17	0	0	64
2022-04-11	0	0	8
2022-04-25	0	0	104
2022-05-09	0	0	52
2022-07-11	0	0	154
2022-07-18	0	0	240
2022-08-01	0	0	52
2022-08-08	0	0	62
2022-08-15	0	0	52
2022-08-22	0	0	56
2022-08-29	0	0	138
2022-09-05	0	0	92
2022-09-19	0	0	52
2022-10-10	0	0	52
2023-01-16	18295752	0	0
2023-03-13	0	0	21
2023-04-10	0	0	9
2023-05-08	0	0	9
2023-05-22	21958928	0	26
2023-05-29	3202360	0	0
2023-06-05	3202360	0	0
2023-06-12	3659840	0	0
2023-06-19	380520096	0	0
2023-06-26	316545284	0	0
2023-07-03	16255232	0	0
2023-07-10	3202360	0	0
2023-07-17	3202360	0	0
2023-07-24	3202360	0	0
2023-07-31	3202360	0	0
2023-08-07	3123664	0	0
2023-08-14	3202360	0	0
2023-08-21	39793864	0	52
2023-08-28	4574800	0	0
2023-09-04	3659840	0	0
2023-09-11	3202360	0	16
2023-09-18	3202360	0	0
2023-09-25	3581144	0	24
2023-10-02	1829920	0	0
2023-10-16	457480	0	9
2023-10-23	89166960	0	78
2023-10-30	265303482	0	16
2023-11-13	398489216	0	0
2023-11-20	426666160	0	30
2023-11-27	19210712	0	0
2023-12-04	37963944	0	0
2023-12-11	73183008	0	0
2023-12-18	18295752	0	0
2024-01-01	18295752	0	26
2024-01-08	18295752	0	0
2024-01-15	0	0	8
2024-01-22	104892804	0	52
2024-01-29	0	0	36
2024-02-05	36591504	0	0
2024-02-12	18295752	0	26
2024-03-04	86235880	0	4
2024-03-11	41117308	0	0
2024-03-18	64728552	0	0
2024-03-25	52222744	0	17
2024-04-01	13267032	0	0
2024-04-08	0	0	17
2024-04-15	13267032	0	52
2024-04-22	0	0	4
2024-05-06	18295752	0	86
2024-05-13	18295752	0	32
2024-05-27	36591504	0	34
2024-06-10	0	0	15
2024-06-17	36591504	0	4
2024-07-01	0	0	26
2024-07-08	69830228	0	4
2024-07-15	0	0	110
2024-07-22	8778072	0	0
2024-08-05	18295752	0	0
2024-08-26	31331844	0	104
2024-09-02	0	0	4
2024-09-09	258125220	0	12
2024-09-16	145456052	0	26
2024-09-23	388146852	0	13
2024-09-30	18295752	0	8
2024-10-14	18295752	0	26
2024-10-21	36591504	0	9
2024-10-28	30807780	0	110
2024-11-04	0	0	59
2024-11-11	0	0	44
2024-11-18	184318084	0	30
2024-11-25	0	0	53
2024-12-16	18295752	0	22
2025-01-20	0	0	4
2025-01-27	18295752	0	8
2025-02-17	0	0	9
2025-03-10	27999156	0	0
2025-03-17	18295752	0	0
2025-04-21	0	0	26
2025-04-28	17883684	0	0
2025-07-21	0	0	9
2025-07-28	18295752	0	40
2025-08-04	84313716	0	4
2025-08-11	3332588	0	0
2025-08-18	39952644	0	42
2025-09-01	54887256	24507	122
2025-09-08	18295752	0	18
2025-09-15	33891544	0	4
2025-09-22	79405344	0	4
2025-09-29	19758456	0	8
2025-10-06	123123048	0	0
2025-10-13	55541412	0	0
2025-10-20	32035792	24507	0
2025-10-27	48933424	0	0
2025-11-03	182599868	0	0
2025-11-10	169616076	24507	0
2025-11-17	104387800	0	26
2025-11-24	87598732	0	0
2025-12-01	86616112	0	0
2025-12-08	93857652	0	35
2025-12-15	203148776	0	194
2025-12-22	0	0	8
2025-12-29	6607988	0	4
2026-01-05	108863872	0	0
2026-01-12	0	0	384
2026-01-19	51815776	0	4
2026-01-26	148482876	0	58
2026-02-02	51815776	0	0
2026-02-09	69980512	0	0
2026-02-16	56692972	0	30
2026-02-23	58096224	0	0
2026-03-16	69927556	0	38
2026-03-23	56201924	0	10
2026-03-30	6074948	0	13
2026-04-06	34782384	0	81
2026-04-13	18295752	0	56
2026-04-20	52162336	0	104
2026-04-27	89485424	0	48
2026-05-04	70518517	0	27
2026-05-11	52313324	0	0
2026-05-18	84100048	0	49
2026-05-25	67106516	3418	42
