week_start	123.dat	bar-renamed-3334	baz	sample.json	sample.txt	sub-monk-g/sub-monk-g.nwb	sub-private/sub-private_stain-DAPI_chunk-01_SPIM.ome.zarr	test1234
2021-07-26	6	0	0	0	0	0	0	0
2021-08-09	6	0	0	0	0	0	0	0
2021-08-30	0	0	0	360	12	0	0	0
2021-09-20	0	0	0	0	12	0	0	0
2021-10-04	0	0	0	240	72	0	0	0
2021-10-18	0	0	0	40	12	0	0	0
2021-11-01	0	0	0	40	12	0	0	0
2022-01-10	0	0	0	40	12	0	0	0
2022-01-17	0	0	0	40	24	0	0	0
2022-04-11	0	0	0	0	8	0	0	0
2022-04-25	0	0	0	80	24	0	0	0
2022-05-09	0	0	0	40	12	0	0	0
2022-07-11	6	0	0	120	24	0	0	0
2022-07-18	0	0	0	240	0	0	0	0
2022-08-01	0	0	0	40	12	0	0	0
2022-08-08	6	0	0	40	12	0	0	0
2022-08-15	0	0	0	40	12	0	0	0
2022-08-22	0	0	0	40	12	0	0	0
2022-08-29	138	0	0	0	0	0	0	0
2022-09-05	0	0	0	80	12	0	0	0
2022-09-19	0	0	0	40	12	0	0	0
2022-10-10	0	0	0	40	12	0	0	0
2023-01-16	0	0	0	0	0	18295752	0	0
2023-03-13	0	8	4	0	0	0	0	9
2023-04-10	0	0	0	0	0	0	0	9
2023-05-08	0	0	0	0	0	0	0	9
2023-05-22	0	4	4	0	0	21958928	0	18
2023-05-29	0	0	0	0	0	3202360	0	0
2023-06-05	0	0	0	0	0	3202360	0	0
2023-06-12	0	0	0	0	0	3659840	0	0
2023-06-19	0	0	0	0	0	380520096	0	0
2023-06-26	0	0	0	0	0	316545284	0	0
2023-07-03	0	0	0	0	0	16255232	0	0
2023-07-10	0	0	0	0	0	3202360	0	0
2023-07-17	0	0	0	0	0	3202360	0	0
2023-07-24	0	0	0	0	0	3202360	0	0
2023-07-31	0	0	0	0	0	3202360	0	0
2023-08-07	0	0	0	0	0	3123664	0	0
2023-08-14	0	0	0	0	0	3202360	0	0
2023-08-21	0	8	8	0	0	39793864	0	36
2023-08-28	0	0	0	0	0	4574800	0	0
2023-09-04	0	0	0	0	0	3659840	0	0
2023-09-11	0	16	0	0	0	3202360	0	0
2023-09-18	0	0	0	0	0	3202360	0	0
2023-09-25	0	24	0	0	0	3581144	0	0
2023-10-02	0	0	0	0	0	1829920	0	0
2023-10-16	0	0	0	0	0	457480	0	9
2023-10-23	0	12	12	0	0	89166960	0	54
2023-10-30	0	12	4	0	0	265303482	0	0
2023-11-13	0	0	0	0	0	398489216	0	0
2023-11-20	0	8	4	0	0	426666160	0	18
2023-11-27	0	0	0	0	0	19210712	0	0
2023-12-04	0	0	0	0	0	37963944	0	0
2023-12-11	0	0	0	0	0	73183008	0	0
2023-12-18	0	0	0	0	0	18295752	0	0
2024-01-01	0	4	4	0	0	18295752	0	18
2024-01-08	0	0	0	0	0	18295752	0	0
2024-01-22	0	8	8	0	0	104892804	0	36
2024-01-29	0	0	0	0	0	0	0	36
2024-02-05	0	0	0	0	0	36591504	0	0
2024-02-12	0	4	4	0	0	18295752	0	18
2024-03-04	0	4	0	0	0	86235880	0	0
2024-03-11	0	0	0	0	0	41117308	0	0
2024-03-18	0	0	0	0	0	64728552	0	0
2024-03-25	0	0	8	0	0	52222744	0	9
2024-04-01	0	0	0	0	0	13267032	0	0
2024-04-08	0	4	4	0	0	0	0	9
2024-04-15	0	0	0	40	12	13267032	0	0
2024-04-22	0	4	0	0	0	0	0	0
2024-05-06	0	20	12	0	0	18295752	0	54
2024-05-13	6	4	4	0	0	18295752	0	18
2024-05-27	0	8	8	0	0	36591504	0	18
2024-06-10	6	0	0	0	0	0	0	9
2024-06-17	0	0	4	0	0	36591504	0	0
2024-07-01	0	4	4	0	0	0	0	18
2024-07-08	0	4	0	0	0	69830228	0	0
2024-07-15	24	8	4	40	12	0	0	18
2024-07-22	0	0	0	0	0	8778072	0	0
2024-08-05	0	0	0	0	0	18295752	0	0
2024-08-26	6	28	12	0	0	31331844	0	54
2024-09-02	0	0	4	0	0	0	0	0
2024-09-09	0	0	0	0	12	258125220	0	0
2024-09-16	0	4	4	0	0	145456052	0	18
2024-09-23	0	0	4	0	0	388146852	0	9
2024-09-30	0	8	0	0	0	18295752	0	0
2024-10-14	0	4	4	0	0	18295752	0	18
2024-10-21	0	0	0	0	0	36591504	0	9
2024-10-28	24	8	4	40	12	30807780	0	18
2024-11-04	12	16	4	0	0	0	0	27
2024-11-11	0	4	4	0	0	0	0	36
2024-11-18	0	8	4	0	0	184318084	0	18
2024-11-25	0	0	4	40	0	0	0	9
2024-12-16	0	0	4	0	0	18295752	0	18
2025-01-20	0	0	4	0	0	0	0	0
2025-01-27	0	0	8	0	0	18295752	0	0
2025-02-17	0	0	0	0	0	0	0	9
2025-03-10	0	0	0	0	0	27999156	0	0
2025-03-17	0	0	0	0	0	18295752	0	0
2025-04-21	0	4	4	0	0	0	0	18
2025-04-28	0	0	0	0	0	17883684	0	0
2025-07-21	0	0	0	0	0	0	0	9
2025-07-28	0	0	0	40	0	18295752	0	0
2025-08-04	0	0	4	0	0	84313716	0	0
2025-08-11	0	0	0	0	0	3332588	0	0
2025-08-18	0	8	4	0	12	39952644	0	18
2025-09-01	0	12	12	40	0	54887256	24507	54
2025-09-08	6	0	0	0	12	18295752	0	0
2025-09-15	0	0	0	0	0	33891544	0	0
2025-09-22	0	0	0	0	0	79405344	0	0
2025-09-29	0	0	0	0	0	19758456	0	0
