week_start	123.dat	bar-renamed-3334	baz	sample.json	sample.txt	sub-monk-g/sub-monk-g.nwb	sub-private/sub-private_stain-DAPI_chunk-01_SPIM.ome.zarr	test1234
2025-10-06	0	0	0	0	0	123123048	0	0
2025-10-13	0	0	0	0	0	55541412	0	0
2025-10-20	0	0	0	0	0	32035792	24507	0
2025-10-27	0	0	0	0	0	48933424	0	0
2025-11-03	0	0	0	0	0	182599868	0	0
2025-11-10	0	0	0	0	0	169616076	24507	0
2025-11-17	0	4	4	0	0	104387800	0	18
2025-11-24	0	0	0	0	0	87598732	0	0
2025-12-01	0	0	0	0	0	86616112	0	0
2025-12-08	0	4	4	0	0	93857652	0	27
2025-12-15	90	16	16	0	0	203148776	0	72
2025-12-22	0	4	4	0	0	0	0	0
2025-12-29	0	0	4	0	0	6607988	0	0
2026-01-05	0	0	0	0	0	108863872	0	0
2026-01-12	138	12	12	120	36	0	0	54
2026-01-19	0	0	0	0	0	51815776	0	0
2026-01-26	6	0	0	40	12	148482876	0	0
2026-02-02	0	0	0	0	0	51815776	0	0
2026-02-09	0	0	0	0	0	69980512	0	0
2026-02-16	30	0	0	0	0	56692972	0	0
2026-02-23	0	0	0	0	0	58096224	0	0
2026-03-16	0	8	12	0	0	69927556	0	18
2026-03-23	6	4	0	0	0	56201924	0	0
2026-03-30	0	0	0	0	0	6074948	0	9
2026-04-06	0	16	20	0	0	34782384	0	45
2026-04-13	0	12	4	0	0	18295752	0	36
2026-04-20	0	16	8	0	0	52162336	0	72
2026-04-27	0	4	8	0	0	89485424	0	36
2026-05-04	0	0	0	0	0	70518517	0	27
2026-05-11	0	0	0	0	0	52313324	0	0
2026-05-18	6	8	8	0	0	84100048	0	27
2026-05-25	42	0	0	0	0	87594948	3418	0
2026-06-01	0	0	0	0	0	19315976	0	9
2026-06-08	30	12	0	0	0	28373512	0	27
2026-06-15	30	0	0	0	0	36238873	2867	0
2026-06-22	102	8	0	40	12	101642444	73521	18
2026-06-29	12	8	12	40	12	20774452	0	18
2026-07-06	0	8	4	0	12	96714770	0	37
2026-07-13	6	4	0	0	12	30582664	1709	36
2026-07-20	0	4	0	40	0	35227732	0	9
2026-07-27	6	0	4	40	12	73439640	0	18
2026-08-03	6	4	0	40	12	21030492	0	0
2026-08-10	0	4	0	40	12	8358708	0	0
2026-08-17	0	0	0	40	0	15092592	0	0
