week_start	sub-Godzilla/sub-Godzilla_ecephys.nwb
2024-06-17	191532204
2024-07-08	440372
2024-07-22	165460020
2024-07-29	165460020
2024-08-26	165460020
2024-09-16	7074864
2024-10-21	11987964
2024-11-11	17097588
2024-12-02	83886080
2025-07-28	104857600
2025-10-06	15769244
2025-12-15	173714028
2025-12-22	68157440
2026-01-12	330920040
2026-02-16	391220
2026-03-02	4518224
2026-03-16	12184488
