week_start	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3324um-1000um-20160217-160217-103121_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3324um-1144um-20160219-160219-130435_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3396um-1180um-20160220-160220-141839_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3396um-1180um-20160221-160221-135947_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1216um-20160222-160222-120902_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1216um-20160223-160223-121321_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1216um-20160225-160225-130701_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3468um-1252um-20160226-160226-124132_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3540um-1288um-20160227-160227-121226_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3540um-1288um-20160228-160228-135001_behavior+ecephys.nwb	sub-DT2/sub-DT2_ses-DT2-rPPC-rCCG-3612um-1360um-20160304-160304-150220_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161011-972um-1224um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161014-1296um-1476um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161015-1368um-1476um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161016-1368um-1476um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161018-1552um-2304um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161019-1624um-2340um-161019-095311_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161020-1768um-2376um-161020-102642_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161021-1840um-2412um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161023-1872um-2448um-161023-123504_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161025-1944um-2232um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161026-1944um-2232um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161027-1944um-2232um-161027-194125_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161030-2052um-2232um-161030-111142_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161031-2088um-2232um-161031-104001_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161101-2088um-2232um-merge_behavior+ecephys.nwb	sub-DT5/sub-DT5_ses-20161104-2124um-2232um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170315-288um-0um-170315-191240_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170317-288um-0um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170318-288um-0um-170318-115923_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170320-432um-0um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170321-216um-0um-170321-120259_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170324-576um-144um-170324-123932_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170325-576um-360um-170325-125511_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170401-864um-936um-merge_behavior+ecephys.nwb	sub-DT7/sub-DT7_ses-20170412-1440um-1170um-170412-103153_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170125-0um-0um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170128-0um-72um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170201-72um-432um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170202-72um-576um-170202-092033_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170206-72um-1872um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170207-144um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170211-144um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170214-216um-1944um-170214-102804_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170215-216um-1944um-170215-140739_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170216-216um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170217-216um-1944um-merge_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170218-216um-1944um-170218-114724_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170221-324um-1944um-170221-101929_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170224-324um-2088um-170224-101710_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170305-468um-2088um-170305-135233_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170306-468um-2088um-170306-113628_behavior+ecephys.nwb	sub-DT8/sub-DT8_ses-20170308-612um-2088um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170429-0um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170430-0um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170501-216um-0um-170501-112210_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170502-288um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170504-396um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170505-396um-0um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170506-468um-36um-170506-111835_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170507-468um-36um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170509-468um-36um-170509-103451_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170518-828um-864um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170519-864um-900um-merge_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170521-900um-936um-170521-125602_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170522-900um-936um-170522-151132_behavior+ecephys.nwb	sub-DT9/sub-DT9_ses-20170525-900um-936um-170525-150124_behavior+ecephys.nwb
2022-10-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34116192130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29440708591	0	0	0	0	0	0	0	8187513997	20671917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16738214419	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-14	0	0	0	0	0	4446388	0	0	0	0	0	0	0	0	10053677	0	0	0	0	0	0	0	0	0	0	6735477	0	0	0	0	10053677	0	0	0	0	0	0	0	4446388	0	0	0	6437308	0	0	0	0	0	0	0	0	5242880	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-28	128079847241	0	72969538100	43923639972	0	1613400024	0	27170613181	0	0	0	0	5075895376	0	826172507	8129272178	0	6956160066	0	0	0	7322064372	631177708	6558963698	7335139909	0	5901416953	746951321	8521036478	9555229290	0	0	3424945847	0	2385077697	9155181457	0	4967581984	0	4918445169	7946910830	0	4832362269	0	5538343375	0	5191170654	0	0	0	4067465976	0	0	0	1322706361	0	8993835662	1311335873	3971799393	0	0	0	0	0	0	0	1967727228
2022-12-12	10485760	37860441	26214400	78178404	36700160	136214493	125829120	197967269	129113421	223983460	183500800	146800640	272629760	267679259	174337344	123106956	41943040	10485760	47715026	89920406	146800640	125829120	158443263	79173616	23094672	58765721	47185920	77810438	103295151	125829120	156721465	89128960	297746205	159874472	129113421	120586240	178257920	131072000	93175482	110100480	110100480	114048421	80500896	22994657	62914560	47185920	41943040	111027026	26214400	5242880	83584051	57671680	94371840	95632508	65335881	99614720	0	0	0	13703697	5242880	0	10485760	10485760	67324871	83517687	73197988
2023-01-02	68157440	57671680	92346897	57671680	0	47185920	61088709	26214400	40316281	15728640	68157440	41943040	62914560	146595262	0	114876634	7719822	52428800	23392841	138896155	31457280	73400320	149749455	136314880	99614720	141557760	132099677	221452916	72402930	95333153	5242880	39984461	106379740	59396896	52428800	31457280	36700160	47185920	89821384	26214400	95299254	10485760	65136665	62914560	108739177	38491740	16955657	91746823	41943040	20971520	96291405	87668580	57671680	68157440	100541390	89128960	141557760	162529280	146800640	169131657	99614720	80036348	57671680	83886080	37329281	0	126554272
2023-02-06	0	0	0	0	0	0	0	0	0	0	0	0	0	34815745	24011867	0	39177102	35558466	0	40962810	44148342	0	33489388	0	32654602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41970959	32957881	0	38996622	42015204	35822392	32970417	41850334	0	33953157	35639547	41273528	38766719	27861628
2023-02-13	0	1006632960	1048576000	1048576000	1061284237	0	802160640	1058663328	524288000	1572864000	74591260	42106551	91944039	28171049	31720171	42638401	40645660	37526497	547216293	7929146	59163037	6403657	24554680	33479231	579831854	44462942	31754705	26278323	14101881	49472072	554382667	35371074	590351072	53388431	37394707	40181995	78041250	8527305	88759505	93535837	49307514	590616473	76948589	56938436	79999457	70143934	88492228	28768325	37826542	138046033	98746818	101502331	25317397	592939213	26677390	1572864000	24919213	732940880	642146712	106046913	74226727	535602593	9655493	69978493	59493919	68519423	49372995
2023-02-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5554089654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-03	26214400	0	9954600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195667274	0	0	0	0	0	0	242255685	0	111256018	197624543	0	0	0	150578040	0	0	0	0	0	116300565	0	0	0	0	0	0	0	0	0	0	165340857	0	0	215676434	0	89128960	0	175692593	0	0	0	0	241290124	0	0	0	0
2023-04-10	0	0	0	0	48210693906	3661979752	0	0	6403657	0	8657359315	0	0	0	0	0	0	0	0	0	0	188834541	0	6558963698	8316405002	0	0	0	0	0	0	0	0	9785726811	0	0	158538906	0	0	0	193179976	0	0	0	0	0	0	0	4849207414	0	0	0	0	0	0	0	151038836	0	0	128211496	0	0	0	0	0	1873774719	0
2023-04-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67455778	0	0	0	0	0	0	0	0	0	57171179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143208822	0	174366251	0	0	0	0	169258154	0	0	0	125820571	119385084	219789236	232165543	0	0	0	0	0	0	0	0	0	0	110825066	249521191
2023-04-24	0	0	0	12774601	0	0	0	0	0	6437308	0	0	0	0	0	106909645	0	189861776	0	92341285	0	0	0	0	0	110791415	0	0	0	0	118257834	0	0	45623843	205754602	0	0	107075031	75851238	117261436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111024158	0	1967727228
2023-05-01	0	0	0	0	0	0	0	0	0	0	21368270	0	126983293	28469218	0	0	0	0	0	0	0	227321909	126285119	127977925	0	0	139989754	55477490	0	0	0	185217234	127281462	0	0	0	0	0	0	0	0	124495112	0	164509900	0	192714490	170318047	0	0	0	48510208	0	0	0	0	0	0	9821872	115934211	42736595	0	0	0	0	0	0	0
2023-05-08	0	0	0	0	0	0	0	545259520	6403657	0	0	0	0	0	826172507	0	222113742	0	133817847	0	0	0	147752576	0	0	0	0	746951321	90751363	205721834	0	0	0	0	0	182660868	0	0	0	131396085	0	0	0	0	0	0	0	0	121307874	0	166569005	0	0	0	0	0	68419408	0	0	0	0	0	30725594	168229981	0	0	108634116
2023-05-15	0	0	0	0	5242880	0	0	0	0	0	0	107969593	0	215843751	0	0	0	0	0	0	174995412	64933063	244644789	0	17984644	0	0	0	133319813	0	0	278952218	107540517	0	0	0	0	0	0	0	105381397	366087157	57634789	0	0	318336852	0	0	0	0	0	107839624	0	0	0	0	0	0	0	0	0	0	0	0	0	102529566	0
2023-05-22	0	0	0	0	0	0	0	0	8229136	0	0	239431987	0	165306158	210168277	0	125456976	0	85374003	0	0	0	0	0	0	0	157077960	0	0	0	0	0	0	0	0	0	0	8428228	0	0	0	0	0	0	132391545	0	31654690	84442203	255062061	0	0	0	0	285918617	0	0	0	226060993	0	0	0	0	0	0	252609407	0	1732216
