week_start	Neurophysiology
2025-03-03	36263830
2025-03-10	5783592
2025-03-24	156639312
2025-03-31	749899408
2025-04-07	65381872
2025-04-14	33019232
2025-04-21	1113068
2025-04-28	28983392
2025-05-05	48766464
2025-05-12	82115104
2025-05-19	29857376
2025-06-02	1645280
2025-06-09	1952320
2025-06-23	739200
2025-07-14	1191072
2025-07-21	36310128
2025-07-28	252414896
2025-08-04	140314542
2025-08-11	172177952
2025-08-18	79000096
2025-08-25	83691424
2025-09-01	116765776
2025-09-08	86002496
2025-09-29	1048576
2025-10-06	2504128
2025-10-13	5663280
2025-12-08	59110576
2025-12-15	178535504
2025-12-22	84865200
2025-12-29	105470896
2026-01-05	102500096
2026-01-12	2322021120
2026-01-19	144214768
2026-01-26	173520720
2026-02-02	246416
2026-02-16	7994640
2026-02-23	38625136
2026-03-02	51161344
2026-03-09	7975392
2026-03-16	583805840
2026-03-23	57016448
2026-03-30	40012128
2026-04-06	81976256
2026-04-13	119809664
2026-04-20	678324784
2026-04-27	89422840
2026-05-04	2259360
2026-05-11	77518796
2026-05-18	692064264
2026-05-25	77591648
2026-06-01	421192772
2026-06-08	399715860
2026-06-15	121144976
2026-06-22	578415952
