date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2023-03-16	30061696364	3589	1	8
2023-03-22	916385701	175	0	1
2023-04-15	3891727790	1	1	0
2023-05-03	30206731076	14	14	0
2023-05-23	6055232	14566	0	1
2023-05-25	6055232	14566	0	2
2023-05-26	6055232	14566	0	2
2023-05-27	3027512	7282	0	1
2023-05-28	3027616	7283	0	1
2023-05-29	3027616	7283	0	1
2023-05-30	2132192	5169	0	1
2023-05-31	3027616	7283	0	1
2023-06-01	3024488	7275	0	1
2023-06-02	3027616	7283	0	1
2023-06-03	3027616	7283	0	1
2023-06-04	3027616	7283	0	1
2023-06-05	3027616	7283	0	1
2023-06-06	3027616	7283	0	1
2023-06-07	3027616	7283	0	1
2023-06-08	3027616	7283	0	1
2023-06-09	3027616	7283	0	1
2023-06-10	3027616	7283	0	1
2023-06-11	3027616	7283	0	1
2023-06-12	3027616	7283	0	1
2023-06-13	3027616	7283	0	1
2023-06-14	3027616	7283	0	1
2023-06-15	3027616	7283	0	1
2023-06-16	3119368	7132	0	1
2023-06-17	6055232	14566	0	2
2023-06-18	2568776	6170	0	1
2023-06-19	1841864	4377	0	1
2023-06-20	3027616	7283	0	1
2023-06-21	3027616	7283	0	1
2023-06-22	2446144	5886	0	1
2023-06-23	3028128	7284	0	1
2023-06-24	6138856	14395	0	2
2023-06-25	2587497599	7785	0	2
2023-06-26	4924625022	8223	0	1
2023-06-27	3027616	7283	0	1
2023-06-28	3022416	7270	0	1
2023-06-29	3027616	7283	0	1
2023-06-30	3027616	7283	0	1
2023-07-01	480899380	7375	0	4
2023-07-02	3027616	7283	0	1
2023-07-03	159195717	7313	0	2
2023-07-04	3027616	7283	0	1
2023-07-05	3027616	7283	0	1
2023-07-06	3027616	7283	0	1
2023-07-07	3111000	7129	0	1
2023-07-08	3027616	7283	0	1
2023-07-09	3027616	7283	0	1
2023-07-10	3027616	7283	0	1
2023-07-11	3027616	7283	0	1
2023-07-12	3027616	7283	0	1
2023-07-13	3027616	7283	0	1
2023-07-14	3119368	7132	0	1
2023-07-15	3028160	7284	0	1
2023-07-16	3027616	7283	0	1
2023-07-17	3027616	7283	0	1
2023-07-18	3024240	7275	0	1
2023-07-19	3027616	7283	0	1
2023-07-20	3027096	7281	0	1
2023-07-21	2901920	6977	0	1
2023-07-22	3027616	7283	0	1
2023-07-23	3027616	7283	0	1
2023-07-24	3027616	7283	0	1
2023-07-25	3161296	7249	0	1
2023-07-26	3027616	7283	0	1
2023-07-27	3027616	7283	0	1
2023-07-28	3027616	7283	0	1
2023-07-29	3027616	7283	0	1
2023-07-30	3115272	7131	0	1
2023-07-31	3027616	7283	0	1
2023-08-01	3027616	7283	0	1
2023-08-02	3027616	7283	0	1
2023-08-03	3027616	7283	0	1
2023-08-04	3027616	7283	0	1
2023-08-05	3027616	7283	0	1
2023-08-06	3027616	7283	0	1
2023-08-07	3027616	7283	0	1
2023-08-08	3027616	7283	0	1
2023-08-09	3027616	7283	0	1
2023-08-10	3027616	7283	0	1
2023-08-11	2568864	6169	0	1
2023-08-12	3027616	7283	0	1
2023-08-13	3027616	7283	0	1
2023-08-14	2679960	6389	0	1
2023-08-15	3027616	7283	0	1
2023-08-16	3027616	7283	0	1
2023-08-17	3027616	7283	0	1
2023-08-18	3027616	7283	0	1
2023-08-19	3107640	7122	0	1
2023-08-20	3027512	7282	0	1
2023-08-21	3111688	7131	0	1
2023-08-22	3027616	7283	0	1
2023-08-23	3027616	7283	0	1
2023-08-24	2949168	7081	0	1
2023-08-25	3027616	7283	0	1
2023-08-26	3027616	7283	0	1
2023-08-27	3119368	7132	0	1
2023-08-28	3119368	7132	0	1
2023-08-29	3027616	7283	0	1
2023-08-30	3027616	7283	0	1
2023-08-31	3027616	7283	0	1
2023-09-01	3027616	7283	0	1
2023-09-02	3027616	7283	0	1
2023-09-03	9082848	21849	0	4
2023-09-04	3027616	7283	0	1
2023-09-05	3027616	7283	0	1
2023-09-06	3119368	7132	0	1
2023-09-07	6055232	14566	0	2
2023-09-08	2781624	6695	0	1
2023-09-09	3027616	7283	0	1
2023-09-10	3027616	7283	0	1
2023-09-11	3027616	7283	0	1
2023-09-12	3027616	7283	0	1
2023-09-13	3027616	7283	0	1
2023-09-14	2962512	7122	0	1
2023-09-15	3027616	7283	0	1
2023-09-16	3027616	7283	0	1
2023-09-17	1864400	4358	0	1
2023-09-18	3027616	7283	0	1
2023-09-19	3028128	7284	0	1
2023-09-20	3027616	7283	0	1
2023-09-21	3027616	7283	0	1
2023-09-22	3027616	7283	0	1
2023-09-23	3154600	7233	0	1
2023-09-24	3027616	7283	0	1
2023-09-25	6055232	14566	0	2
2023-09-26	3027616	7283	0	1
2023-09-27	3027616	7283	0	1
2023-09-28	1612880	3769	0	1
2023-09-29	3027616	7283	0	1
2023-09-30	3027616	7283	0	1
2023-10-01	3413392	8183	0	1
2023-10-02	3027616	7283	0	1
2023-10-03	3119368	7132	0	1
2023-10-10	3027616	7283	0	1
2023-10-12	3027616	7283	0	1
2023-10-17	2396864	5772	0	1
2023-10-19	3119368	7132	0	1
2023-10-22	3119368	7132	0	1
2023-10-27	3027616	7283	0	1
2023-10-29	3027616	7283	0	1
2023-10-30	3027616	7283	0	1
2023-11-03	30057962408	8	8	0
2023-11-04	30057962408	8	8	0
2023-11-05	3027616	7283	0	1
2023-11-06	4356200844	520	0	1
2023-11-08	3027616	7283	0	1
2023-11-11	3027616	7283	0	1
2023-11-16	3111000	7129	0	1
2023-11-19	7949810160	1702	0	1
2023-11-21	8035434205	2042	1	2
2023-11-22	3119352	7131	0	1
2023-11-24	71550861	7587	1	3
2023-11-27	3027792	7284	0	1
2023-12-02	3027616	7283	0	1
2023-12-07	3114248	7120	0	1
2023-12-08	816770981	156	0	1
2023-12-09	6590831528	1260	0	8
2023-12-11	3027616	7283	0	1
2023-12-14	3027616	7283	0	1
2024-01-22	136898817	612	2	2
2024-01-23	206967943	922	3	3
2024-01-24	201895412	901	3	3
2024-01-26	134298837	613	2	2
2024-01-27	135800999	614	2	2
2024-01-28	128795029	606	2	2
2024-01-29	130468567	605	2	2
2024-03-08	2606481044	498	0	2
2024-03-12	242085292	935	16	8
2024-03-13	606474020	1871	33	16
2024-03-14	302352652	935	16	8
2024-03-15	273267100	935	16	8
2024-03-16	247391440	935	16	8
2024-03-17	290102656	935	16	8
2024-03-18	297636076	936	17	8
2024-03-26	1090675640	3959	8	8
2024-03-27	828792963	2975	6	6
2024-03-28	1087138208	3959	8	8
2024-04-04	831216759	2975	6	6
2024-04-05	261358613	984	2	2
2024-04-19	4090228172	17922	6	6
2024-04-22	6506218871	28171	6	6
2024-04-23	2044540149	9139	2	2
2024-06-11	20831544	1	1	0
2024-06-17	7795452	1	1	0
2024-07-09	12315504	1	1	0
2024-07-11	8247928634	2	2	0
2024-07-13	8251370027	26814	6	6
