region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/MA	317954322972	4766	160	386
USA/VA	750683970956	53948	2163	357
CAN/QC	231860118184	611	399	112
AWS/us-east-1	188430534416	22903	690	304
ITA	1446187024	3493	152	152
CHN	316481640100	23342	11	300
GH-actions	15704381652	66438	3011	2446
USA	66647715596	12772	0	113
JPN/13	285013292656	4461	475	5
CAN/ON	92638664576	154	154	0
AWS/ap-southeast-1	3414080436	635	635	0
VPN	125374351803	11703	1273	358
GCP/us-west1	1133240176	2	2	0
AWS/us-east-2	11023346312	2685	126	6
MEX/CMX	2001313540	2178	85	115
USA/RI	3597469136	3229	82	77
AWS/us-west-2	12189581860	135	23	2
GBR/ENG	3819243404	12250	1560	443
USA/NY	2480857872	4552	84	11
USA/PA	1153305696	1388	61	5
USA/NM	204529348	44	4	1
JPN/23	126443652	3	3	0
DNK/84	27665928	2	0	1
GCP/us-central1	805942732	6	6	0
JPN	290376	219	0	2
USA/SC	11987964	1	1	0
USA/NJ	2121543960	20	20	0
MEX/MEX	15197856	2	2	0
USA/CA	159543040228	9556	287	259
USA/NC	213147952	2	2	0
USA/DC	1107019692	152	152	0
DEU/BW	96056503108	16316	286	305
USA/MD	1613485472	1648	335	173
ITA/57	13494648	1	1	0
VNM	52471908	4	4	0
BRA/ES	3995988	1	1	0
ISR/HA	2843690948	734	171	152
bogon	17212634320	308	56	3
CAN/BC	2306174332	2782	13	79
USA/NH	8951263348	28557	1250	960
USA/OR	1225609148	21	3	1
USA/WA	8320003424	61	15	4
CHE/VD	3115690264	30	9	2
ARG/P	7402404	1	1	0
NPL	13101600	1	1	0
FRA/IDF	50434120	223	13	13
USA/VT	634070220	1980	85	25
FRA/PAC	1834224	1	1	0
VNM/SG	66097572	7	7	0
USA/IL	17076260	47	2	2
COL/CES	7991976	1	1	0
VNM/HN	50572176	6	6	0
MAR/06	31771380	2	2	0
SEN/DK	7205880	1	1	0
VNM/56	9695184	1	1	0
NGA	6223260	1	1	0
USA/TX	14215236	1	1	0
ZAF/GP	917112	1	1	0
VNM/22	7860960	1	1	0
ISR/Z	1637700	1	1	0
IND/TN	33343572	1	1	0
HKG	153382900	5	5	0
VNM/CT	10481280	1	1	0
IND/KA	10546788	1	1	0
COL/ANT	4389036	1	1	0
IRQ	3995988	1	1	0
VNM/DN	13756680	1	1	0
TWN/TNN	12643044	1	1	0
MEX/MIC	6943848	1	1	0
BGD	32622984	6	6	0
KEN/30	11070852	1	1	0
SGP	44799896	21	9	3
VNM/26	67407732	2	2	0
CIV/AB	31181808	2	2	0
PAK/SD	17687160	2	2	0
CHN/SH	187970848	2	2	0
GCP/asia-south1	14653164	78	6	6
ARE/DU	10481280	1	1	0
NOR/03	754627244	24	2	1
DZA/31	6288768	1	1	0
ALB/03	22403736	2	2	0
ARG/H	6943848	1	1	0
IDN/BT	12053472	1	1	0
VNM/39	36618972	1	1	0
BRA/RS	14935824	2	2	0
USA/GA	93289060	1	1	0
GCP/asia-east1	93289060	1	1	0
PRT	160	20	0	1
GBR/SCT	171164240	2	2	0
KOR/26	114579160	3	3	0
USA/LA	279867180	3	3	0
PHL/01	6223260	1	1	0
IRQ/BG	1768716	1	1	0
BRA/MG	5699196	1	1	0
UKR/12	4258020	1	1	0
TUR/35	9695184	1	1	0
BRA/SC	7598928	1	1	0
VEN/A	4323528	1	1	0
USA/MN	13101600	1	1	0
VNM/20	11267376	1	1	0
COL/DC	4454544	1	1	0
PAK/PB	1703209	2	1	1
CHN/BJ	1048128	1	1	0
VEN/P	1	1	0	1
ITA/52	2423796	1	1	0
ARG/S	2096256	1	1	0
JPN/40	89719124	1	1	0
EST/37	89719124	1	1	0
UZB/TK	24434484	2	2	0
CHL/CO	9891708	1	1	0
PHL/10	3668448	1	1	0
PHL/00	7926468	1	1	0
IRQ/KI	5240640	1	1	0
LBN/BA	4520052	1	1	0
