region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	25682126282	29647	5351	4850
USA/MA	631765214763	12423	0	83
AWS/us-east-1	447847671666	53465	103	50
USA	147113240470	28021	50	17
CHN	490669943914	57509	0	51
AWS/us-west-2	18046453	32	6	2
VPN	450120756457	528	458	26
USA/VT	746802988	857	155	105
GitHub	1337780574	3393	514	424
USA/WA	2281295	8	2	2
GCP/us-west1	21951442640	1	1	0
HUN/SO	67108864	32	0	32
AWS/ap-southeast-1	507293952	95	95	0
USA/CA	357791535	432	103	103
MEX/CMX	65267707	232	47	47
AWS/us-east-2	974396039	2	2	0
GCP/us-east1	7926468	1	1	0
COL/CAU	3995988	1	1	0
VNM/DN	8974596	1	1	0
USA/PA	6026736	1	1	0
VNM/SG	31378332	3	3	0
KEN/30	1048128	1	1	0
SGP	19259352	4	4	0
NPL	917112	1	1	0
HKG	9105612	2	2	0
USA/MD	45674844	44	10	5
USA/IL	2787676	10	2	2
USA/NY	1439657977	30	4	2
EST/37	390540191	1	1	0
CHE/VD	8325802	8	2	1
USA/AZ	14084220	1	1	0
FRA/OCC	13167108	1	1	0
VEN/A	1113636	1	1	0
BRA/MG	14215236	1	1	0
TUN/51	8974596	1	1	0
IRQ/BG	25744644	2	2	0
IDN/YO	15721920	3	3	0
ARG/B	9957216	2	2	0
VNM/22	2030748	1	1	0
TUN/12	3668448	1	1	0
UZB/TK	917112	1	1	0
PAK/SD	851604	1	1	0
JAM/01	10022724	1	1	0
PAK/IS	5502672	1	1	0
IRQ/AR	3668448	1	1	0
COL/RIS	1703208	1	1	0
VNM/52	9891708	1	1	0
SEN/DK	5371656	1	1	0
BRA/SP	16245984	2	2	0
URY/MO	16114968	2	2	0
BGD	3733956	1	1	0
VNM/56	9564168	1	1	0
HUN	4454544	1	1	0
PRY/10	7205880	1	1	0
BRA/RJ	5109624	1	1	0
ETH/AA	10219248	1	1	0
QAT/DA	30526728	1	1	0
USA/NV	13887696	1	1	0
FRA/IDF	3679230	12	3	3
PAK/PB	8057484	1	1	0
ECU/T	8581548	1	1	0
