region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
SWE/AB	2892110900	586	8	11
USA	677262221	130	0	1
GCP/asia-southeast1	1566654465	225	0	2
GitHub	120285662	253	6	145
USA/NY	4438367152	132	12	7
USA/CA	873025264	39	6	2
GCP/europe-west4	3679045984	487	0	1
GCP/us-east1	1503010407	208	0	2
VPN	3930991903	227	22	14
USA/VA	677550221	10	1	3
AWS/us-east-1	727990202	92	5	2
GCP/us-west1	252741812	47	1	4
GCP/us-west4	37999375	6	0	1
NLD	697888281	33	1	1
USA/NH	44535386	10	0	1
USA/TX	74764740	18	0	1
USA/MA	2747671158	270	0	6
USA/MD	69477334	65	5	4
KEN/30	223196198	33	0	1
AWS/us-east-2	27145101	6	0	1
GCP/us-central1	1373031548	4	4	0
IND	677262221	1	1	0
HUN/BU	20253606	4	2	2
USA/GA	42514692	1	1	0
HKG	73630992	2	2	0
MEX/MEX	16410760	4	0	1
USA/PA	732232256	45	4	4
MEX/CMX	22784417	78	9	6
GBR/ENG	24921580	6	0	2
AWS/ap-southeast-1	28692504	6	6	0
USA/CO	19324860	1	1	0
USA/MI	8043017	15	1	1
TWN/TPE	677262221	1	1	0
FRA/IDF	1357588851	17	3	1
ITA/45	58602381	12	0	1
USA/IL	11980388	16	2	1
CHE/VD	42901112	19	1	1
KOR/30	677262221	1	1	0
CHN/GD	12162524	14	1	1
USA/DC	4378219	24	2	1
