date	bytes_sent	number_of_requests	number_of_downloads
2025-07-25	6816020167020	813080	400
2025-07-26	173138213156	5000	120
2025-07-27	183334836260	4560	80
2025-07-28	538944821140	9400	<50
2025-07-29	231267488712	4420	<50
2025-07-30	295323911096	5640	<50
2025-07-31	618407125976	11820	<50
2025-08-01	257821482852	4920	<50
2025-08-02	251162096876	4800	<50
2025-08-03	355568567508	6800	<50
2025-08-04	333528609728	6360	<50
2025-08-05	323658933796	6180	<50
2025-08-06	213837003760	4080	<50
2025-08-07	263889819684	5040	<50
2025-08-08	44560043608	840	<50
2025-08-09	127656004608	2440	<50
2025-08-10	340873814376	6500	<50
2025-08-11	330340994960	6300	<50
2025-08-12	211542964088	4040	<50
2025-08-13	212580319172	4060	<50
2025-08-14	270500638128	5160	<50
2025-08-15	289221294504	5520	<50
2025-08-16	171808928544	3280	<50
2025-08-17	211665374336	4040	<50
2025-08-18	238337793392	4560	<50
2025-08-19	111197943656	2120	<50
2025-08-20	68515597976	1300	<50
2025-08-21	61751500884	1180	<50
2025-08-22	76342457168	1460	<50
2025-08-23	123669531648	2360	<50
2025-08-24	130184856392	2480	<50
2025-08-26	92153884848	1760	<50
2025-08-27	319532749060	6100	<50
2025-08-28	240233831032	4580	<50
2025-08-29	295576647784	5640	<50
2025-08-30	77659614992	1480	<50
2025-08-31	87269073584	1660	<50
2025-09-01	125725196892	2400	<50
2025-09-02	176078481416	3360	<50
2025-09-03	161114363736	3080	<50
2025-09-04	269125375084	5140	<50
2025-09-05	116585522056	2220	<50
2025-09-06	92208838480	1760	<50
2025-09-07	154526555492	2960	<50
2025-09-08	271696319532	5180	<50
2025-09-09	61335896080	1180	<50
2025-09-10	54955709512	1040	<50
2025-09-11	99561313856	1900	<50
2025-09-12	104970083752	1880	<50
2025-09-13	175503584960	3360	<50
2025-10-08	13153216	<50	<50
2025-12-11	44217746776	<50	<50
2025-12-12	100171653464	9560	<50
2025-12-13	63444709936	12100	<50
2025-12-14	44560043608	8500	<50
2025-12-15	43755575640	8340	<50
2025-12-16	71105789848	13500	200
2025-12-17	109850398792	20960	<50
2025-12-18	87324704800	16660	<50
2025-12-19	476048842652	30660	220
2025-12-20	44831655064	8560	<50
2025-12-21	48890777208	9320	<50
2025-12-22	69171470360	13200	<50
2025-12-24	89790145136	17120	<50
2025-12-25	114214408400	21780	<50
2025-12-26	20480	<50	<50
2025-12-28	44451985624	8480	<50
2025-12-29	6676519486712	30440	180
2025-12-30	20271792824	3860	<50
2025-12-31	88151544448	16820	<50
2026-01-02	85493100192	16300	<50
2026-01-03	81950283272	15640	<50
2026-01-04	129353902840	24680	<50
2026-01-05	65253290864	12440	<50
2026-01-06	45518075928	8680	<50
2026-01-07	102859453832	19620	<50
2026-01-08	131125093264	25020	<50
2026-01-09	18799032248	3580	<50
2026-01-10	169512316728	28600	<50
2026-01-11	103817223920	19800	<50
2026-01-16	274351253208	8640	<50
2026-01-17	342911109436	140	<50
2026-01-18	296209837996	120	<50
2026-01-19	86725205276	<50	<50
2026-01-22	17941883384	3420	<50
2026-01-23	466724791464	89020	<50
2026-01-24	132043189768	25180	<50
2026-01-26	89419223152	17060	<50
2026-01-27	445715610104	77760	<50
2026-01-28	487988434496	93080	<50
2026-01-29	186314169184	35540	<50
2026-01-30	290036201920	53560	<50
2026-01-31	494856235256	94400	<50
2026-02-01	721846388640	135920	<50
2026-02-02	76039829044	14500	<50
2026-02-03	66503519152	12680	<50
2026-02-04	559264710104	106680	<50
2026-02-05	426663122448	77940	<50
2026-02-09	1196624028	<50	<50
2026-02-19	2798055404	60	<50
2026-02-20	117540004	60	<50
2026-02-22	44560043608	840	<50
2026-02-24	42709029976	820	<50
2026-02-25	77087460	160	<50
2026-02-26	149538788	280	<50
2026-02-27	110720016	260	<50
2026-02-28	68348692	160	<50
2026-03-01	84554448	200	<50
2026-03-02	51617080	120	<50
2026-03-03	80991580	180	<50
2026-03-04	102199800	240	<50
2026-03-05	114484044	260	<50
2026-03-06	83663976	180	<50
2026-03-07	115150516	260	<50
2026-03-08	110771768	260	<50
2026-03-09	2192035392	380	<50
2026-03-10	56750488	120	<50
2026-03-19	1379598480	140	140
2026-03-25	25417104	<50	<50
2026-03-26	42327222312	<50	<50
2026-03-27	42450512212	<50	<50
2026-03-29	172344048058	80	<50
2026-03-30	11337576	<50	<50
2026-03-31	45256591724	<50	<50
2026-04-05	41794104	<50	<50
2026-04-06	35963892	<50	<50
2026-04-07	16901064	<50	<50
2026-04-08	18669780	<50	<50
2026-04-09	6223260	<50	<50
2026-04-10	128069105044	<50	<50
2026-04-11	17818176	<50	<50
2026-04-12	8188500	<50	<50
2026-04-13	23255340	<50	<50
2026-04-14	5240640	<50	<50
2026-04-15	32164428	<50	<50
2026-04-16	82998636	<50	<50
2026-04-17	55354260	<50	<50
2026-04-18	22796784	<50	<50
2026-04-19	23779404	<50	<50
2026-04-20	19455876	<50	<50
2026-04-21	1601736108	140	140
2026-04-22	88304784	<50	<50
2026-04-23	38060148	<50	<50
2026-04-24	16639032	<50	<50
2026-04-25	44545440	<50	<50
2026-04-26	57319500	<50	<50
2026-04-27	9695184	<50	<50
2026-04-28	7533420	<50	<50
2026-04-30	30199188	<50	<50
2026-05-01	122368944	<50	<50
2026-05-02	6550800	<50	<50
2026-05-03	917112	<50	<50
2026-05-05	128	<50	<50
2026-05-09	68439600240	<50	<50
2026-05-13	42319271016	<50	<50
2026-05-14	41344896	100	<50
2026-05-15	25756556716	640	<50
2026-05-16	208880821988	4200	<50
2026-05-17	406540495340	8020	<50
2026-05-18	822732484	320	140
2026-05-19	62575420	160	<50
2026-05-20	31687100	80	<50
2026-05-21	34272216	120	<50
2026-05-22	81934960	220	<50
2026-05-23	23632080	80	<50
2026-05-24	40584864	120	<50
2026-05-25	61377432	180	<50
2026-05-26	42628948	220	<50
2026-05-27	87009052	420	<50
2026-05-28	34807592	140	<50
2026-05-29	22856788	120	<50
2026-05-30	41146596	200	<50
2026-05-31	31937376	180	<50
2026-06-01	12763260	60	<50
2026-06-02	14035020	80	<50
2026-06-03	390903672	120	<50
2026-06-04	271461652	160	<50
2026-06-05	127379948	100	<50
2026-06-06	159839520	<50	<50
2026-06-07	187352880	<50	<50
2026-06-08	56074848	<50	<50
2026-06-09	103044084	<50	<50
2026-06-10	167917004	620	40
2026-06-11	100723824	180	<50
2026-06-12	188890724	680	60
2026-06-13	120675064	360	<50
2026-06-14	30141584	120	<50
2026-06-15	60892504	260	<50
2026-06-16	36433980	160	<50
2026-06-17	47551432	180	<50
2026-06-18	40695512	200	<50
2026-06-19	43988684	180	<50
2026-06-20	57247588	200	<50
2026-06-21	47857956	260	<50
2026-06-22	504956800600	58140	220
2026-06-23	54602116	200	<50
2026-06-24	107793556	420	<50
2026-06-25	38080096	200	<50
2026-06-26	323829008	380	140
2026-06-27	41612116	220	<50
2026-06-28	53823324	320	<50
2026-06-29	64367152	340	<50
2026-06-30	22330688	120	<50
2026-07-01	49290144	260	<50
2026-07-02	60145712	320	<50
2026-07-03	51533984	260	<50
2026-07-04	47311932	260	<50
2026-07-05	45411560	220	<50
2026-07-06	24498756	140	<50
2026-07-07	1642585124	180	<50
2026-07-08	23719372	120	<50
2026-07-09	220547164	360	140
2026-07-10	37567060	200	<50
2026-07-11	53394484	260	<50
2026-07-12	63454144	360	<50
2026-07-13	26476300	140	<50
2026-07-14	62382476	320	<50
2026-07-15	52888320	280	<50
2026-07-16	68254768	340	<50
2026-07-17	45504276	240	<50
2026-07-18	45704848	220	<50
2026-07-19	76117628	440	<50
2026-07-20	36541136	200	<50
2026-07-22	16276884	80	<50
2026-07-24	11592876	60	<50
