week_start	Neurophysiology	Video
2024-09-23	40004687067	6156446093
2024-10-07	888538858	63899289
2024-10-14	3439845980	722782616
2024-10-21	0	542381748
2024-11-04	328457112	321251232
2024-11-11	0	101799432
2024-11-18	1559125620	73106928
2024-11-25	5072331006	168235289
2024-12-02	20059960604	4675921778
2024-12-09	6256239642	325175578
2025-02-17	3095357028	420457303
2025-03-31	19521384	25089564
2025-04-07	66396693671	3966345113
2025-04-14	1759553740	0
2025-04-21	15435020	0
2025-05-05	48063429872	5477605033
2025-05-12	616465067	0
2025-05-19	279397840	0
2025-05-26	315687238	0
2025-06-09	132687794	0
2025-07-21	4291039448	291475804
2025-07-28	20355686228	2187722938
2025-08-04	16097020748	1630010294
2025-08-11	14282674351	1307676992
2025-08-18	4920731221	283774507
2025-08-25	8206028884	468524053
2025-09-01	10798982266	835263239
2025-09-08	5424195440	710534984
2025-10-06	53196672	0
2025-11-24	63873416498	6113157629
2025-12-08	211833436	0
2025-12-15	72981469623	7958946724
2025-12-22	5597177744	843551734
2025-12-29	4067514230	791289136
2026-01-05	8945440415	589468726
2026-01-12	50729207560	6999174303
2026-01-19	10071809319	140927453
2026-01-26	23696373844	1881061003
2026-02-02	11514853295	692658498
2026-02-16	194858382	10780672
2026-02-23	2747004041	7467912
2026-03-02	2488940784	6488064
2026-03-09	3111914502	696393955
2026-03-16	1501246836	1013387167
2026-03-23	832026215	458687016
2026-03-30	12024979268	150406368
2026-04-06	2896799635	156236580
2026-04-13	1656632987	155909040
2026-04-20	67157212957	6758542445
2026-04-27	107872217978	7138140255
2026-05-04	63954266418	6139819385
2026-05-11	6677960630	305707488
2026-05-18	7444379267	2240938569
2026-05-25	1755450365	33933144
2026-06-01	7491522027	460869464
