date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-08-18	146408483	5434	5434	0
2026-08-19	739362152	18176	18176	0
2026-08-21	328066	3	3	0
2026-08-22	244506	179	179	0
2026-08-25	52488	1	1	0
2026-08-27	69091862	3349	3349	0
2026-08-30	1517384	13	13	0
2026-08-31	137789	1	1	0
2026-09-03	4136258	39	39	0
2026-09-06	313	1	1	0
2026-09-08	76902043	771	770	1
2026-09-10	6917301	186	186	0
2026-09-13	46437697	1016	1016	0
