region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	4987899908	224	16	5
CAN/ON	9991931768	370	30	6
VPN	76491996284	6108	872	235
AWS/us-east-1	4538973864	508	30	15
GitHub	7106306260	1542	144	109
USA/MA	11440903613	454	1	48
CHN	8695969580	610	5	19
USA/OR	5082916384	20	20	0
USA/WA	673454864	11	5	2
CHN/BJ	5688375764	437	20	11
AWS/ap-southeast-1	127347552	24	24	0
USA/DC	21327964592	5828	928	39
FRA/PAC	4002170665	21	16	2
USA/CA	5119016876	39	26	3
USA/NY	8527559670	699	116	14
MEX/CMX	156512324	472	86	50
CHE/VD	450193756	205	15	15
USA/MD	5849142256	919	197	28
AWS/us-east-2	753967432	3	3	0
GCP/us-central1	4733329408	18	18	0
AWS/ap-northeast-3	3934384704	15	15	0
ITA/25	3934384704	15	15	0
USA/VA	338492864	17	14	1
JPN/26	33239144	154	17	15
GCP/us-east4	3935301816	16	16	0
USA/MI	3934384704	15	15	0
SGP	1437344676	333	2	5
CAN/BC	32457304	143	16	15
VNM/SG	172670940	5	4	1
THA/50	12446520	1	1	0
UZB/TK	11791440	1	1	0
FRA/ARA	74199592	15	0	1
AWS/us-west-2	30865028	48	6	2
GCP/us-east1	376429408	18	0	1
GCP/asia-east1	481287008	20	0	2
GCP/us-west4	1328517664	58	0	1
USA/PA	195948408	24	2	2
USA/NH	97259568	7	0	1
GCP/us-west1	261086048	16	0	2
CHE/ZH	20766036	1	1	0
HKG	480072156	17	6	1
VNM/HN	917112	1	1	0
GCP/asia-south1	9444632	44	5	3
USA/AZ	7467912	1	1	0
USA/IL	2669976	14	2	2
PAK/PB	1703208	1	1	0
PRY/ASU	7074864	1	1	0
COL/NSA	6878340	1	1	0
BRA/RS	1637700	1	1	0
PAK/SD	851604	1	1	0
UKR/51	4323528	1	1	0
IRL/L	4192512	1	1	0
FRA/IDF	15047200	17	3	3
EGY/C	15001332	2	2	0
COL/ANT	2358288	1	1	0
ZAF	1113636	1	1	0
SEN/DK	4323528	1	1	0
VNM/HP	917112	1	1	0
COL/VAC	5437164	1	1	0
AZE/BA	8516040	1	1	0
USA/UT	280872912	1	1	0
CAN/QC	280872912	1	1	0
COL/ATL	982620	1	1	0
JPN/13	721053988	20	3	1
USA/TX	3864972	3	3	0
EST/37	202314336	1	1	0
CHN/SH	466100440	2	2	0
BRA/RJ	15787428	1	1	0
BGD/H	10677804	1	1	0
SLV/SS	4913100	1	1	0
TWN/TPE	202314336	1	1	0
GCP/us-west2	606943008	3	3	0
KOR/11	284231400	1	1	0
VNM/43	9891708	1	1	0
ARG/B	7467912	1	1	0
IND/GJ	21421116	1	1	0
