date	bytes_sent	number_of_requests	number_of_downloads
2026-06-16	6964031247	4460	<50
2026-06-17	1552760720	5600	60
2026-06-18	172818374	540	<50
2026-06-19	528343568	420	<50
2026-06-20	1190489095	<50	<50
2026-06-22	1669699663	<50	<50
2026-06-23	542653439	<50	<50
2026-06-24	427239317	<50	<50
2026-06-25	1140371424	220	<50
2026-06-26	126233916	60	60
2026-06-27	304729473	<50	<50
2026-06-29	6753826629	840	140
2026-07-06	280895713	80	<50
2026-07-07	622454219	1460	<50
2026-07-08	366736473	1280	<50
2026-07-09	579343619	1800	80
2026-07-10	409676082	1620	<50
2026-07-11	656387488	2540	<50
2026-07-12	32047766	120	<50
