week_start	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250101T111740.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250101T112404.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T110520.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T111022.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T111455.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250113T120811.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250113T121303.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250115T110633.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250115T111328.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250119T113543.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250119T114045.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250120T115044.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250120T115537.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250101T111740.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250101T112404.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T110520.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T111022.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T111455.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250113T120811.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250113T121303.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250115T110633.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250115T111328.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250119T113543.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250119T114045.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250120T115044.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250120T115537.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250126T113454.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250126T114029.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250127T120333.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250127T120826.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250129T112555.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250129T113059.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250202T113958.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250202T114452.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250203T113515.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250203T114018.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250206T112219.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250206T112712.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250209T111826.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250209T112327.nwb
2024-07-29	5158319	3090448	5801669	3308274	3151141	0	5567825	0	6858862	6153697	5997093	6725140	6144273	925980	1015480	1024284	1067820	0	984848	922184	1106836	0	1067268	1021356	1109660	0	1472872	1431320	1505958	1415291	0	1254631	1381886	1271944	1206269	1172811	1363294	0	0	1384702
2024-08-05	5158319	6180896	5801669	3308274	6302282	11706504	5567825	11889622	13717724	12307394	5997093	13450280	6144273	925980	2030960	2048568	1067820	2039208	2954544	922184	2213672	1111248	2134536	2042712	2219320	0	2945744	1431320	3011916	2830582	2703970	1254631	1381886	1271944	2412538	0	2726588	2720724	0	1384702
2024-08-12	10316638	3090448	5801669	0	0	5853252	5567825	0	6858862	0	5997093	0	6196049	0	1015480	1024284	1067820	0	984848	922184	1106836	0	0	1021356	1109660	1044752	1472872	1431320	1505958	1415291	0	1254631	1381886	1271944	1206269	1172811	0	1360362	0	1384702
2024-08-19	5158319	3090448	5801669	6616548	22057987	5853252	5567825	5944811	6858862	12307394	5997093	6725140	6144273	925980	1015480	1024284	1067820	1019604	1969696	922184	1106836	2222496	1067268	1021356	1109660	1044752	1472872	1431320	3011916	1415291	1351985	2509262	1381886	2543888	1206269	1172811	1363294	1360362	1509485	1384702
2024-08-26	5158319	0	0	0	3151141	0	0	0	0	0	5997093	0	0	0	1015480	0	0	0	0	0	1106836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-02	1556984	3090448	0	9924822	15755705	0	5567825	5944811	6858862	6153697	11994186	6725140	0	925980	1015480	3072852	3203460	1019604	1969696	3688736	3320508	1111248	1067268	2042712	2219320	2089504	1472872	1431320	3011916	1415291	1351985	1254631	0	1271944	1206269	1172811	1363294	0	3018970	1384702
2024-09-09	18588933	3090448	0	0	591141	5853252	5567825	5944811	6858862	0	5997093	13450280	12288546	0	2030960	0	1067820	0	0	922184	1106836	1111248	1067268	1021356	0	0	1472872	22901120	1505958	1415291	1351985	1254631	1381886	1271944	0	1172811	1363294	0	1509485	1384702
2024-09-16	6384478	600080	7050319	0	0	5130480	5107197	4389036	4716576	6933442	754213	7181176	770321	925980	1015480	2024276	0	1514920	1445408	1451152	0	1567136	2134536	497068	1563960	1565216	1472872	2076208	1505958	2044150	2179682	1853902	1381886	1888528	1888250	1172811	1940156	1934292	1183962	1982972
2024-09-23	5158319	3090448	5801669	3308274	0	5853252	5567825	5944811	6858862	6153697	5997093	13450280	12288546	925980	1015480	2048568	2135640	2039208	984848	922184	2213672	2222496	2134536	2042712	2219320	2089504	2945744	2862640	3011916	2830582	2703970	2509262	2763772	2543888	2412538	2345622	2726588	2720724	3018970	2769404
2024-09-30	10316638	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	1024284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1172811	0	0	0	0
2024-10-07	5158319	0	5801669	0	0	5853252	0	5944811	6858862	6153697	0	6725140	6144273	925980	0	0	0	0	0	922184	0	1111248	1067268	0	0	0	0	1431320	0	1415291	1351985	0	0	1271944	1206269	1172811	0	1360362	1509485	1384702
2024-10-14	5158319	3090448	5801669	3308274	6302282	5853252	0	0	6858862	12307394	11994186	13450280	12288546	1851960	2030960	2048568	2135640	2039208	1969696	1844368	2213672	1111248	1067268	1021356	2219320	2089504	1472872	1431320	3011916	1415291	2703970	1254631	2763772	1271944	0	1172811	2726588	1360362	1509485	2769404
2024-10-21	5158319	0	0	3308274	0	0	5567825	0	0	6153697	5997093	0	0	0	0	1024284	0	0	984848	922184	0	1111248	1067268	1021356	1109660	0	1472872	1431320	1505958	0	0	1254631	1381886	0	1206269	0	1363294	1360362	1509485	0
