week_start	sub-619293/sub-619293_ses-1184980079_ogen.nwb	sub-619296/sub-619296_ses-1187930705_ogen.nwb	sub-619296/sub-619296_ses-1187930705_probe-0_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-1_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-2_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-3_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-4_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-5_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_ogen.nwb	sub-620333/sub-620333_ses-1188137866_probe-0_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-1_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-2_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-3_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-4_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-5_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_ogen.nwb	sub-620334/sub-620334_ses-1189887297_probe-0_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-1_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-2_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-3_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-4_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-5_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_ogen.nwb	sub-625545/sub-625545_ses-1182865981_probe-0_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-1_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-2_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-3_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-4_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-5_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_ogen.nwb	sub-625554/sub-625554_ses-1181330601_probe-0_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-1_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-2_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-3_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-4_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-5_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_ogen.nwb	sub-625555/sub-625555_ses-1183070926_probe-0_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-1_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-2_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-3_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-4_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-5_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_ogen.nwb	sub-630506/sub-630506_ses-1192952695_probe-0_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-1_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-2_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-3_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-4_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-5_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_ogen.nwb	sub-631510/sub-631510_ses-1196157974_probe-0_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-1_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-2_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-3_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-4_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-5_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_ogen.nwb	sub-631570/sub-631570_ses-1194857009_probe-0_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-1_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-2_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-3_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-4_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-5_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_ogen.nwb	sub-633229/sub-633229_ses-1199247593_probe-0_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-1_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-2_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-3_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-4_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-5_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_ogen.nwb	sub-637484/sub-637484_ses-1208667752_probe-0_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-1_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-2_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-3_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-4_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-5_ecephys.nwb
2024-04-01	6354276	0	5830212	131016	673816	623874	6886125	794007	12750174	6998344	533420	6812832	0	6909700	6962094	21888280	669368	0	6972388	558701	545920	546963	17086906	6903887	7052409	4389036	601421	6616308	641777	6747324	6354276	0	6987132	15213647	562530	13408458	0	2816844	617062	7009356	0	6233320	7049442	22555462	4637468	5895720	8132840	533514	12708552	6878340	15452184	6506654	131016	6681816	0	627307	185896926	6354276	0	0	10230737	6485292	0	0	5568180	6747324	6943848	8314984	0	799331	10612296	4389036	8516040	9498660	8036279	529967	6354276	0
2024-04-08	144776516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742054916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452	0
2024-04-15	2492760108	5895720	66484116	58820136	45348216	26346404	40309205	69104771	6072015548	83541152	49486096	76545828	34099200	57797024	26899784	2737268980	20480000	79645047	28262400	23086701	39867520	20221056	5615646359	45708011	26407409	64890093	43645828	68349472	69266778	3619691457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556165932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-22	2453451408	0	0	0	0	0	0	0	9108023322	0	0	0	0	0	0	5435740008	0	0	0	0	0	0	5607102906	0	0	0	0	0	0	3626569797	36954789	74159678	87065816	18838039	20480000	49484674	20739770	56335884	54792138	57619784	67859784	61212156	49479934	16004662	35932588	85574984	61211944	40544986	26195048	67990800	11783736	41150258	40960000	25221196	36454400	29811307	604941640	5830212	43742784	78966413	69356917	45218020	40730782	80691200	21439748	46135132	39424000	50593420	16524280	93685912	49790385	2355200	37074276	0	0	0	0	42537629
2024-04-29	9956539696	87753644	0	0	0	0	0	0	21336938386	0	0	0	0	0	0	2792926948	0	0	0	0	0	0	25311645291	0	0	0	0	0	0	10945161407	0	0	0	0	0	0	103627704	0	0	0	0	0	0	101875354	0	0	0	0	0	0	97588868	0	0	0	0	0	2138526204	73495332	0	0	0	0	0	0	3553864964	0	0	0	0	0	0	56570304	0	23373016	84795599	64621291	40960000	0
2024-05-06	2478539848	2476282292	0	0	0	0	0	0	12164805650	0	0	0	0	0	0	24266908	0	0	0	0	0	0	11230678318	0	0	0	0	0	0	7336896	0	0	0	0	0	0	0	0	0	0	0	0	0	27279614	0	0	0	0	0	0	10350136	0	0	0	0	0	401997702	2121158010	0	0	0	0	0	0	82450468	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	296014324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9126652	0	0	0	0	0	0	2803551453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578721964	0	0	0	0	0	0	0	11039828	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	11746720	0	0	2098849816	2449110274	0	0	12144031096	0	0	2243944228	0	0	0	0	0	0	0	0	0	0	8410654359	2546008811	0	0	0	0	0	11013057	0	0	0	0	0	0	12063398	0	0	0	0	0	0	237880056	0	0	0	0	0	0	20831416	0	0	0	0	0	871298010	22500837	0	0	0	0	0	0	62567060	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	13412850	25423169	37267806	22266643	26143826	26178171	10444630	0	9629676	15459888	39968866	14608284	27293815	0	56579344	39996445	48046482	25684310	0	31519815	1049345	25527835	33504934	15459888	9535710	44697979	36177989	14239484	28068992	31170713	73483353	31733490	28324526	41063208	22816697	21902180	52208724	66924550	20786188	14170555	25619622	24442872	31402498	39588884	55363347	28704250	20948938	13715142	66968484	24861737	0	27189378	33064513	0	38778004	14215236	631228634	25204300	0	36618972	0	12446520	78103136	13232616	23998991	0	0	0	21708358	0	0	11856948	24767198	25465342	11594916	7902608	0	13849894
2024-06-03	62034466	1797241970	1679612074	1287786912	1044633093	1855678852	2394359717	276713200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379335204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	932273718	2469141920	4382459468	0	0	0	0	693395643	1544016066	1830354584	2121798271	2044114125	358679302	1661318871	1260333498	1690522994	1831930495	1759576357	1047306382	1026724957	1486510705	1583191376	2527481127	1037591842	1531869574	1383173684	2630091284	1906731081	1581813508	2020791953	1463943636	312238408	1774465048	1811743339	1952010744	1907626074	1638718142	1380717134	954384540	2058290186	1751292873	965820535	1858565325	1731133859	1804071598	1476610912	1656597041	2439676041	934046950	2364751055	23736181	1060877090	946127904	1112242832	1327382876	867339670	1169627164	1120515516	912086623	898134539	1075890553	395315421	1842897711	1249920044	2091088892	670586185	1770910239	735191109	1318521820	1519526491	1287857757	1619749685	1014723749	1715936962	1436627285	979028254	1192839540	1867645456
