region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	180193080	576	131	109
VPN	100707752	134	86	23
USA/NY	56441272	155	27	17
USA	19926392	20	20	0
AWS/ap-southeast-1	31268880	36	36	0
USA/MA	179445150	394	1	45
CHN	32535896	33	33	0
AWS/us-east-1	44877088	43	43	0
CHL/RM	2800584	5	5	0
USA/CA	36994812	91	30	30
MEX/CMX	46579052	144	46	33
GCP/us-central1	5173312	5	5	0
KOR/30	13784384	13	13	0
AWS/us-east-2	3848064	4	4	0
DEU/NW	2795804	10	3	3
CHE/VD	9493116	32	6	6
USA/MI	753312	4	1	1
USA/MD	8421096	61	4	6
USA/WA	97304	3	0	1
USA/VA	2326552	2	2	0
USA/RI	94504	3	0	1
USA/IL	6745988	12	7	2
EST/37	376656	1	1	0
DEU/BW	2879416	4	2	2
FRA/IDF	2051568	9	3	3
USA/PA	27736408	16	1	1
PHL/07	1375668	1	1	0
