week_start	sub-BH560/sub-BH560_ses-20240621T182500_ecephys.nwb	sub-BH560/sub-BH560_ses-20240621T184200_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T160400_obj-1057uzf_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T160400_obj-1atot55_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T162700_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T165500_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T171800_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T180300_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T182600_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T184800_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T200800_ecephys.nwb	sub-BH589/sub-BH589_ses-20240827T203000_ecephys.nwb	sub-BH589/sub-BH589_ses-20240919T202300_ecephys.nwb
2024-09-30	2636592	6116480	2531840	2521144	36668744	3257080	2577200	7316336	2496440	1930528	3656704	3315512	1259352
2024-10-07	0	0	0	1015144	1949896	1391528	1077520	0	0	0	0	0	0
2024-10-21	376656	1325248	506368	1015144	1949896	1391528	1077520	1656296	1050600	482632	1078016	1454696	419784
2024-11-18	1506624	5300992	2025472	4060576	7799584	5566112	4310080	6792048	4202400	1930528	4312064	5818784	1679136
2024-12-16	94504	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	191792	0	0	0	3521504	0	0	0	0	0	0	0	0
2025-01-20	0	0	0	0	0	0	0	0	0	0	0	0	461280
2025-02-03	0	0	0	0	0	0	0	0	0	0	0	1265560	0
2025-02-10	0	0	0	1015144	0	0	0	0	0	0	0	0	0
2025-07-07	0	1325248	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	376656	0	0	0	1949896	0	0	0	0	0	0	0	0
2025-07-21	0	0	0	1015144	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	0	1050600	0	1078016	1454696	0
2025-08-04	376656	0	0	0	0	1391528	0	0	0	482632	0	0	419784
2025-08-11	0	1325248	506368	1015144	0	0	1077520	0	0	0	0	0	0
2025-08-18	0	0	0	0	1949896	0	0	1656296	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	1078016	0	0
2025-09-01	0	0	0	0	0	0	1077520	0	0	0	0	0	0
2025-10-06	1506624	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	1136872	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	97304	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	1015144	0	0	0	0	0	0	0	0	0
2025-12-15	1506624	3975744	2025472	3045432	5849688	4174584	3232560	4968888	3151800	1447896	3234048	4364088	1259352
2025-12-22	0	0	0	0	1949896	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	1391528	0	0	0	482632	0	0	419784
2026-01-12	1129968	0	1519104	6090864	5849688	0	3232560	0	0	1447896	0	4364088	1259352
2026-01-19	0	1325248	0	0	0	0	0	1656296	1050600	0	0	0	0
2026-01-26	0	0	0	0	0	0	0	0	0	0	1078016	1454696	0
2026-02-02	0	0	0	0	0	0	1077520	0	0	0	0	0	0
2026-02-16	1744368	3264896	2133504	3659832	4514192	3397456	2769440	3926992	2715600	2062296	0	0	419784
2026-02-23	0	0	0	1415888	0	0	1438240	0	0	0	1439232	0	0
2026-03-02	0	1933696	910336	0	2261392	0	0	2186192	1384400	862864	1439232	1782992	737168
2026-03-09	753312	0	0	0	0	1759056	0	0	0	0	0	0	0
2026-03-16	753312	0	1012736	2030288	3899792	2783056	0	3312592	0	482632	0	0	839568
2026-03-23	683856	1632448	0	0	2257096	0	0	0	0	0	0	0	0
2026-04-06	0	0	0	0	0	1391528	0	0	0	482632	0	1454696	0
2026-04-13	753312	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	753312	0	1012736	2030288	3899792	2783056	0	0	0	0	0	0	839568
2026-05-04	376656	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-11	1129968	0	0	0	0	2112116	3232560	0	0	0	0	0	839568
2026-05-18	3250992	2660236	3146240	7720408	9069064	4118044	2543524	8895880	2715600	2544928	2413004	2789684	2293536
2026-05-25	2735424	4662528	4267008	4438692	4307676	4569708	4242168	5127120	6736416	3159328	6826868	6613976	2907936
2026-06-01	753312	3235580	813568	0	2801500	0	0	0	0	0	0	0	726984
2026-06-08	2190480	1158804	2736640	1224312	962280	0	0	0	2825576	789832	0	0	0
2026-06-15	753312	0	1012736	0	2867008	2308640	4808540	3926292	3087608	0	6022848	0	0
2026-06-22	1129968	1325248	1519104	3045432	5340968	2439656	0	0	2825576	0	0	0	839568
2026-06-29	2259936	5027660	1012736	2030288	3899792	1391528	1077520	5779112	3810668	2310760	3958424	1454696	3470856
2026-07-06	17326219	58310955	24709674	45681522	4504708	7081064	1077520	1656296	1050600	482632	1078016	1454696	1259352
2026-07-13	1506624	0	0	0	3899092	0	3010432	0	0	0	0	3224168	0
2026-07-20	0	0	0	3151620	0	0	0	0	0	0	0	0	0
2026-07-27	2190480	962280	813568	1158804	962280	2246920	7463972	2474796	1027788	789832	8890492	1027788	726984
2026-08-03	683856	0	0	0	0	0	0	1279100	0	0	0	0	0
2026-08-10	376657	1325249	506369	11909441	1375668	0	0	0	0	0	5860000	0	0
2026-08-17	2804882	2650498	1012738	1015145	3899793	0	0	0	1050600	0	0	0	0
