date	bytes_sent
2021-09-02	3772274247
2021-09-10	826851504
2021-09-28	3400158611
2021-09-29	3619781184
2021-10-26	62025920
2021-11-02	99276784
2021-11-09	3316208
2021-12-07	41528
2021-12-10	96608
2022-01-28	1003457584
2022-02-11	31317016
2022-02-17	62583256
2022-02-18	63335576
2022-04-13	7317921456
2022-04-26	41944
2022-05-17	41944
2022-07-12	333136081
2022-07-13	1656254990
2022-07-14	1869889923
2022-07-15	400513684
2022-07-26	31313992
2022-07-31	357890720
2022-08-01	279282856
2022-08-02	255548168
2022-08-03	117232656
2022-08-07	297830352
2022-08-08	608207112
2022-08-09	526049144
2022-08-11	243416240
2022-08-12	1073335600
2022-08-13	485050248
2022-08-14	319122440
2022-08-16	27092080
2022-08-18	31313992
2022-08-19	31313992
2022-08-21	116812144
2022-08-22	31313992
2022-08-24	106661808
2022-08-25	698559936
2022-08-26	1038950520
2022-08-27	265127848
2022-08-28	855202120
2022-08-29	1142110800
2022-08-30	122745680
2022-08-31	704840080
2022-09-01	91434712
2022-09-05	60117696
2022-09-06	62631008
2022-09-10	62627984
2022-09-11	156579032
2022-09-30	6295739392
2022-10-02	76798008
2022-10-03	3672083128
2022-10-04	406433592
2022-10-05	200108680
2022-10-06	555104
2022-10-12	3187800
2022-10-13	54777760
2022-11-17	596561074
2022-11-29	780810480
2022-11-30	558954899
2022-12-01	1477219784
2022-12-02	4410321687
2022-12-17	3969539746
2023-01-05	3679107802
2023-01-20	5105706648
2023-01-22	99276784
2023-01-27	523683136
2023-02-07	1357333320
2023-02-08	1735465600
2023-02-13	2276439200
2023-02-16	124442608
2023-02-18	41943040
2023-02-20	250325328
2023-02-22	92274688
2023-02-23	9191912
2023-03-12	702577889
2023-04-05	866651441
2023-04-06	293219587
2023-04-07	762493447
2023-04-08	521337927
2023-04-09	646362958
2023-04-10	390043623
2023-04-11	775494020
2023-04-13	171550424
2023-04-17	276167689
2023-04-18	522136171
2023-04-19	72103079
2023-04-20	83716779
2023-04-21	75121234
2023-04-25	3316082882
2023-04-26	57534829
2023-04-27	28237413
2023-04-28	243047363
2023-04-29	483945924
2023-04-30	438488460
2023-05-01	545193495
2023-05-02	468048628
2023-05-03	294547758
2023-05-04	525062643
2023-05-05	75485822
2023-05-06	705063323
2023-05-07	88991365
2023-05-08	121987148
2023-05-09	730382651
2023-05-10	696666870
2023-05-11	267670283
2023-05-12	336322544
2023-05-13	477743290
2023-05-14	618061995
2023-05-15	99408582
2023-05-16	808719366
2023-05-17	4489569408
2023-05-18	239335779
2023-05-19	82654017
2023-05-20	83616764
2023-05-21	704964301
2023-05-22	72499387
2023-05-23	8776592
2023-05-24	766681883
2023-05-25	354016392
2023-05-26	45218429
2023-05-27	511381693
2023-05-28	30291902
2023-05-29	437405851
2023-05-30	809261104
2023-05-31	786169603
2023-06-01	403019521
2023-06-02	569711619
2023-06-03	234576754
2023-06-04	170631401
2023-06-05	40687191
2023-06-06	114215565
2023-06-07	20572840
2023-06-08	29331950
2023-06-09	359733685
2023-06-10	292268356
2023-06-11	79287771
2023-06-12	31820131
2023-06-13	63243016
2023-06-14	362952808
2023-06-15	33115636
2023-06-16	62038731
2023-06-17	81728
2023-06-18	67544
2023-06-21	90480
2023-06-24	43096
2023-06-25	225840
2023-06-26	141537805
2023-06-27	368316558
2023-06-28	75753209
2023-06-29	542740035
2023-06-30	418216204
2023-07-01	252523746
2023-07-02	110834371
2023-07-03	606849238
2023-07-04	362640467
2023-07-05	249089356
2023-07-06	88419707
2023-07-07	238348831
2023-07-08	418102248
2023-07-09	385555105
2023-07-10	223242832
2023-07-11	375473264
2023-07-12	34667436
2023-07-13	13272800
2023-07-14	248599544
2023-07-15	557238708
2023-07-16	768816552
2023-07-17	552614144
2023-07-18	268042540
2023-07-19	659984682
2023-07-20	352093766
2023-07-21	458068873
2023-07-22	421436860
2023-07-23	273787889
2023-07-24	5766740563
2023-07-25	349311876
2023-07-26	90326525
2023-07-27	78538511
2023-07-28	76950354
2023-07-29	46828524
2023-07-30	469838635
2023-07-31	68903912
2023-08-01	44894777
2023-08-02	17123092
2023-08-03	30228333
2023-08-04	36649109
2023-08-05	20285296
2023-08-06	39022032
2023-08-07	28230128
2023-08-08	39445644
2023-08-09	127351688
2023-08-10	46902860
2023-08-11	281782724
2023-08-12	348464028
2023-08-13	365238428
2023-08-14	787312556
2023-08-15	251519560
2023-08-16	265709368
2023-08-17	303800973
2023-08-18	343682820
2023-08-19	711464700
2023-08-20	313345444
2023-08-21	317070660
2023-08-22	12741888
2023-08-23	137415748
2023-08-24	380064972
2023-08-25	78532384
2023-08-26	277386444
2023-08-27	49665628
2023-08-28	211339388
2023-08-29	182676692
2023-08-30	301291732
2023-08-31	462927488
2023-09-01	48752256
2023-09-02	100424412
2023-09-03	181110628
2023-09-04	66404648
2023-09-05	327754268
2023-09-06	588181648
2023-09-07	353766558
2023-09-08	10910924
2023-09-09	55636012
2023-09-10	77573852
2023-09-11	36267608
2023-09-12	352459204
2023-09-13	330689328
2023-09-14	677639492
2023-09-15	290683072
2023-09-16	19794356
2023-09-17	178519160
2023-09-18	322436132
2023-09-19	407798752
2023-09-20	264857896
2023-09-21	267615232
2023-09-22	57125156
2023-09-23	331685616
2023-09-24	334034612
2023-09-25	192663628
2023-09-26	99479636
2023-09-27	340604648
2023-09-29	77234276
2023-09-30	48767628
2023-10-01	49614556
2023-10-02	157549540
2023-10-03	26571028
2023-10-04	353306176
2023-10-05	281847080
2023-10-06	370243100
2023-10-07	194775856
2023-10-08	123105220
2023-10-09	69814928
2023-10-10	250656000
2023-10-11	112221524
2023-10-12	341640216
2023-10-13	369182104
2023-10-14	53621284
2023-10-15	412068928
2023-10-16	289876296
2023-10-17	18980104
2023-10-18	84945920
2023-10-19	49441180
2023-10-20	245731360
2023-10-21	516163360
2023-10-22	525004776
2023-10-23	175068232
2023-10-24	119309712
2023-10-25	4565092848
2023-10-27	163584
2023-10-29	46286564
2023-10-30	7963680
2023-10-31	92973756
2023-11-01	236898756
2023-11-02	282671900
2023-11-03	194312964
2023-11-04	4286602680
2023-11-05	146299464
2023-11-06	73069852
2023-11-07	238577752
2023-11-08	301425288
2023-11-09	201214820
2023-11-10	128281612
2023-11-11	33646548
2023-11-12	14334624
2023-11-13	119587928
2023-11-14	26081052
2023-11-15	86405928
2023-11-16	8428228
2023-11-17	255897100
2023-11-18	49440352
2023-11-21	409600
2023-11-23	82776
2023-11-24	1507460
2023-11-26	1163736528
2023-11-29	782152
2023-12-02	264880
2023-12-03	52944
2023-12-04	52944
2023-12-06	91792
2023-12-07	41054400
2023-12-08	1563056920
2023-12-12	31313992
2023-12-13	222483380
2023-12-14	132440
2023-12-20	221139108
2023-12-27	99276784
2024-01-06	2770536
2024-01-08	6370944
2024-01-09	2245843688
2024-01-10	5450462900
2024-01-11	3371078032
2024-01-18	12857864
2024-01-22	33305532
2024-01-23	275397932
2024-01-24	45446732
2024-01-25	48784748
2024-01-26	29942688
2024-01-27	37975804
2024-01-28	19913636
2024-01-29	46977604
2024-01-30	21152448
2024-03-02	7830952
2024-03-06	46587528
2024-03-07	241696032
2024-03-08	9597120
2024-03-09	324120948
2024-03-10	120317104
2024-03-11	458507220
2024-03-12	536200000
2024-03-13	317019172
2024-03-14	60257684
2024-03-15	362214712
2024-03-16	49109360
2024-03-17	44596608
2024-03-18	647777348
2024-03-19	15794632
2024-03-21	10020964
2024-03-26	55098628
2024-03-27	118744204
2024-03-28	191527804
2024-03-29	75124048
2024-04-01	36734500
2024-04-02	119625768
2024-04-04	121489472
2024-04-05	89834856
2024-04-08	28685448
2024-04-09	320023952
2024-04-10	190774256
2024-04-11	43301896
