region	bytes_sent
TW/Taiwan	2398936939420
AWS/us-east-1	2144940281944
US/California	2135918328908
CN/Shanghai	235594830872
GitHub	70549932940
VPN	20324221088
US/Ohio	18943452200
AWS/us-east-2	10815868252
DE/Bavaria	10435120676
CA/Quebec	9526162636
HK/Hong Kong	9064781792
GB/England	7751483664
CA/British Columbia	4459078400
IN/Maharashtra	767911696
US/Maryland	699360974
US/Florida	574796720
GCP/us-central1	345944756
AWS/ap-southeast-1	342082776
US/Massachusetts	101000290
US/Washington	42765744
US/Rhode Island	35133984
US/Indiana	635990
