region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GCP/us-west4	172897589228	7095	11	15
AWS/us-east-2	6685080652534	1591560	97	207
GCP/us-central1	1807306346832	99997	133	144
GCP/us-east1	599685844746	15394	74	68
GCP/asia-east1	241145013120	6375	17	21
GCP/us-west1	412211582757	67724	69	104
NLD	335701419405	15647	9	17
ITA/25	315357171799	205	24	1
USA/MA	1895883868691	12852	138	105
USA/NH	16087685094	47526	2394	2121
IRN	557469435032	69539	231	153
GCP/europe-west4	272926600092	8401	11	10
USA/CA	2657907016213	95883	348	167
AWS/us-east-1	371499262280	44978	124	112
VPN	2536372814853	305609	736	1616
USA	384755474692	27671	55	37
GH-actions	118686726803	189770	1611	1476
CHN/GD	838978249059	4079	95	37
ESP/VC	369254219982	33	33	0
USA/VT	1764505600	2832	164	88
USA/NM	3767439761	763	43	34
USA/MD	66090263115	14067	198	163
TUR/06	36729756775	3493	59	36
CHE/BE	626437506985	49	49	0
USA/PA	16395948821	7123	482	47
GBR/ENG	1137143504377	163	109	24
USA/NY	961223887639	22714	696	146
CAN/QC	109817752700	330	5	33
USA/VA	175323196819	12959	364	86
CHN	957525486935	53569	30	67
DEU/HE	107865999440	410	30	44
ITA/45	458865690669	824	27	20
NZL/AUK	1693844802	555	64	45
AWS/us-west-2	396520920	1109	31	32
USA/IN	361539594964	238	28	1
AWS/ap-southeast-1	3305730736	429	55	2
CHN/SH	276877496857	13725	534	51
DEU/BY	362557648815	19183	28	26
JPN/26	574013247545	79	79	0
POL/30	15338493167	406	1	24
FRA/PAC	362320806274	6728	32	2
DNK/84	361482309556	24	24	0
MEX/CMX	1537464785	2009	78	71
CAN/ON	364614115610	655	33	29
CHE/VD	4323267539	406	29	24
AUT/7	66387807276	6837	72	85
BRA/MG	4651068	4	4	0
ARM/ER	1441176	1	1	0
ARG/B	274586511047	26270	558	94
KHM/12	917112	1	1	0
BRA/ES	12708552	2	2	0
BRA/PR	8450532	2	2	0
KEN/30	22403736	6	6	0
KOR/11	936911449	1094	34	48
CHN/BJ	262768802407	5041	103	69
SWE/W	376588312675	459	30	34
KOR/30	401072340114	34	34	0
USA/MO	11625744880	2502	406	24
USA/WA	26105198295	4408	160	43
BGD/D	917112	1	1	0
VNM/SG	26465232	5	5	0
USA/TX	9506347937	29	19	5
USA/IL	2411743493	2378	175	93
ITA/52	396914958079	6036	124	59
VNM/HN	16770048	5	5	0
CAN/AB	3887527577	35258	3	40
KOR/27	28858282342	5612	33	72
AUT	65253992	59	0	14
NLD/GE	392540535181	67388	8	58
NLD/NB	1627725924	7461	5	5
ARG	27718405735	2944	98	24
ESP/MD	2116377525	1040	4	20
CAN/BC	11342408818	59124	79	69
GCP/asia-southeast1	58938793034	11244	5	12
USA/NJ	81260263576	77	33	5
GCP/us-west3	13686065332	56	2	2
IND/UP	10397550832	3	2	1
NLD/NH	349760050	7	3	4
KOR/41	29988723531	1583	25	46
NOR/50	705795520	153	0	5
SAU/02	3733956	2	2	0
BRA/RS	3799464	3	3	0
BIH/BIH	1375668	1	1	0
NGA/LA	851604	1	1	0
HKG	57751749	101	23	12
CHN/ZJ	60221198908	7	1	6
PRT/11	82740804	74	6	2
USA/MN	14089192138	180	11	4
USA/AR	156181941943	256	9	9
USA/AK	33081540	1	1	0
VEN/V	3275400	1	1	0
FRA/IDF	666104480	410	20	6
GCP/us-east4	315140225258	18558	28	12
AZE/SM	1244652	1	1	0
BRA/SP	5502672	3	3	0
SLV/SS	3864972	1	1	0
JPN/13	1522982934	22	8	2
CHE/ZH	23908111068	3	3	0
CHE/GE	6767752598	9	9	0
IDN/JK	3488136834	8	8	0
PAK/PB	6288768	4	4	0
TUN/51	5371656	1	1	0
PAK/SD	1506684	1	1	0
ARE/DU	2292780	2	2	0
BRA/RJ	24303468	1	1	0
SGP	53819138595	45	18	4
TUR/34	15950692946	19	10	2
CHN/AH	699840198	2216	0	5
IRN/23	31554341815	2027	12	16
RUS/NIZ	2358288	1	1	0
GEO/TB	19717908	1	1	0
COL/DC	18211224	2	2	0
JOR	4323528	1	1	0
PAN/8	13494648	1	1	0
CIV/AB	851604	1	1	0
ESP/CL	2358288	1	1	0
RUS/STA	1113636	1	1	0
ROU/TM	1375668	1	1	0
NLD/ZH	16951292	21	1	1
USA/UT	5568180	1	1	0
IND/MH	933416828	3	3	0
IDN/JI	917112	1	1	0
RUS/TA	2030748	1	1	0
PHL/40	917112	1	1	0
RUS/MOW	1113636	1	1	0
MYS/10	1048128	1	1	0
USA/MI	107191289233	6664	6	16
GCP/asia-south1	103164574	507	3	2
TUN/11	1441176	1	1	0
IRN/30	10535348526	567	0	2
GBR/SCT	450369061	118	5	1
IND/DL	15374242902	6	4	1
ITA/78	45705076879	6	4	2
ZAF/KZN	1113636	1	1	0
PAK	1113636	1	1	0
VNM/DN	851604	1	1	0
AUT/9	784074045	66	1	6
ITA	25127040529	4	3	1
ARG/T	13363632	1	1	0
BGD	29085552	4	4	0
VNM/37	12708552	1	1	0
BRA/BA	2358288	1	1	0
MEX/ROO	917112	1	1	0
USA/NV	7387536	27	2	2
BGD/F	5961228	1	1	0
CAN/SK	3144384	1	1	0
COL/NSA	13232616	1	1	0
ISR/M	6288768	1	1	0
KAZ/75	10415772	1	1	0
BRA/PB	7467912	1	1	0
ZAF/WC	8712564	2	2	0
SAU/01	917112	1	1	0
ITA/21	2423796	1	1	0
USA/SD	312139546	1	1	0
USA/GA	477306152	90	39	10
CAN	57849699	44	4	1
DEU/NW	1294403007	1031	5	1
AWS/eu-west-2	312139546	1	1	0
USA/SC	624279092	2	2	0
FRA/GES	385261656	13	2	1
BEL/VLG	509244954	2	2	0
USA/WI	624279092	2	2	0
KOR/42	333167614	2	2	0
NOR	1367158698	3	3	0
USA/NC	440525290	39	5	1
ESP/CT	312139546	1	1	0
USA/CT	327337402	2	2	0
GBR/WLS	190227068	1	1	0
USA/FL	489947455	42	3	1
USA/OR	312139546	1	1	0
EST/37	312139546	1	1	0
IND/KL	2470116006	15	3	1
FRA/NOR	24027316347	3	3	0
SWE/M	23582880	1	1	0
NOR/03	754611343	6	2	2
USA/RI	56850648	12	0	1
UKR/32	1113636	1	1	0
COL/VAC	1113636	1	1	0
ZAF/GP	2030748	2	2	0
IRQ	1244652	1	1	0
