week_start	Neurophysiology	Miscellaneous
2023-04-17	2884501273149	0
2023-04-24	603707212	0
2023-05-01	240014960	0
2023-05-08	2413715250866	0
2023-05-15	250195560	0
2023-05-22	7061536	0
2023-05-29	5000016	0
2023-06-05	5000016	0
2023-06-12	29958763266	0
2023-06-19	933194993	0
2023-06-26	54241279378	0
2023-07-03	24292034	0
2023-07-10	4113511666480	0
2023-07-17	5157448	0
2023-07-24	1124002028	0
2023-07-31	18819994404	0
2023-08-07	5157448	0
2023-08-14	2619948932	0
2023-08-21	6500742573	0
2023-08-28	7270899249	0
2023-09-04	2940898405	0
2023-09-11	184789633857	0
2023-09-18	281747820	0
2023-09-25	2455031041309	0
2023-10-02	257530685825	0
2023-10-09	317885433212	0
2023-10-16	93602586777	0
2023-10-23	2563138084358	0
2023-10-30	1223295512400	0
2023-11-06	563318027500	0
2023-11-13	49733887076	0
2023-11-20	71037357686	0
2023-11-27	1642841359675	0
2023-12-04	537172744964	0
2023-12-11	3277735134974	0
2023-12-18	47833915518	0
2024-01-01	715074240	0
2024-01-08	47761403385	0
2024-01-15	843317665	0
2024-01-22	1081784965994	0
2024-01-29	48587755935	0
2024-02-05	47302754262	10051
2024-02-12	1987096469	0
2024-02-19	280819997551	437
2024-02-26	886596517694	437
2024-03-04	322283848842	0
2024-03-11	73581292254	0
2024-03-18	177412941895	0
2024-03-25	8363412809	0
2024-04-01	49718522044	0
2024-04-08	4242877284	0
2024-04-15	1666913708	0
2024-04-22	14413849350	0
2024-04-29	424165727895	0
2024-05-06	427035565257	0
2024-05-13	46816855197	437
2024-05-20	326967010686	0
2024-05-27	46132832264	0
2024-06-03	16698861878	1748
2024-06-10	2374501340	0
2024-06-17	281007319650	0
2024-06-24	594530887908	437
2024-07-01	890022479523	0
2024-07-08	115681746051	437
2024-07-15	140353185572	437
2024-07-22	1536293616	0
2024-07-29	33605604	0
2024-08-05	155828809429	0
2024-08-12	5136699074	0
2024-08-19	46339788316	0
2024-08-26	448275485629	874
2024-09-02	1164773588287	0
2024-09-09	1792162905077	874
2024-09-16	7939038364	0
2024-09-23	45850443380	437
2024-09-30	34412484592	0
2024-10-07	24106944	0
2024-10-14	100583169730	0
2024-10-21	5750628717	0
2024-10-28	23442050335	437
2024-11-04	2625446344	0
2024-11-11	235093255497	437
2024-11-18	305740681495	874
2024-11-25	96668213791	0
2024-12-02	4202679410	0
2024-12-09	112071546	0
2024-12-16	46285515653	0
2024-12-30	46103943236	0
2025-01-06	203997628	0
2025-01-13	187454821620	0
2025-01-20	554850531	0
2025-02-03	1055923452	0
2025-02-10	68177899908	0
2025-02-17	183971343287	0
2025-02-24	93849888768	0
2025-03-03	374431556436	0
2025-03-10	1217582156620	0
2025-03-17	187210318788	0
2025-03-24	247632	0
2025-03-31	61553907599	1748
2025-04-07	117632331186	0
2025-04-14	93603627822	0
2025-04-21	994479442	437
2025-04-28	3325828657	0
2025-05-05	732185988	0
2025-05-12	46603564388	0
2025-06-09	4341853686	437
2025-06-16	2612326088	0
2025-06-23	376541952923	0
2025-06-30	95803038513	0
2025-07-07	361763135368	0
2025-07-14	3069115322678	437
2025-07-21	170127814955	0
2025-07-28	995758190696	0
2025-08-04	368728451995	0
2025-08-11	710237850829	0
2025-08-18	158141599144	0
2025-08-25	228844664507	0
2025-09-01	351933502792	0
2025-09-08	502749790597	437
2025-09-15	405650086	0
2025-09-22	364390982	0
2025-09-29	16843036	0
2025-10-06	599085270	0
2025-10-13	1094918270	0
2025-10-20	123880212	0
2025-10-27	856815132	0
2025-11-03	511570788	0
2025-11-10	362297880	0
2025-11-17	2828287001834	437
2025-11-24	215015100	0
2025-12-01	249314828	0
2025-12-08	139637070441	0
2025-12-15	500014498410	1748
2025-12-22	2578397627280	0
2025-12-29	678871996645	0
2026-01-05	150711193033	0
2026-01-12	398472779328	1311
2026-01-19	192315121079	437
2026-01-26	992126678387	0
2026-02-02	592426926720	0
2026-02-09	196705606749	437
2026-02-16	1427530147	0
2026-02-23	470451611934	0
2026-03-02	890181326277	0
2026-03-09	207535682	0
2026-03-16	1051362088	0
2026-03-23	3096525790	0
2026-03-30	5382979959	874
2026-04-06	405223975408	874
2026-04-13	2485928493282	437
2026-04-20	483906020768	0
2026-04-27	449114170227	437
2026-05-04	464954824837	437
2026-05-11	568372221451	437
2026-05-18	1030707650143	0
2026-05-25	94899671219	0
2026-06-01	58910368335	1311
2026-06-08	1201836095	874
