region	bytes_sent
GitHub	8635498660
US/California	7318139134
US/Tennessee	4304262912
AWS/us-east-1	3549330716
NL/North Holland	3477487320
DE/Bavaria	2152038728
CA/Quebec	1062597892
AWS/ap-southeast-1	524525400
CN/Shanghai	353011216
VPN	284677056
AWS/us-east-2	143780552
GCP/us-central1	99842456
HK/Hong Kong	55931152
CA/British Columbia	36811948
ES/Catalonia	33248636
NZ/Waikato Region	25609156
NO/Oslo	9354640
GB/England	6380232
PT/Lisbon	2122448
US/Maryland	1125216
IN/Maharashtra	709392
US/Rhode Island	562608
VN/Ho Chi Minh	353264
VN/Kiên Giang Province	353264
US/Texas	189488
US/New York	187592
IL/Tel Aviv	187536
US/Virginia	187536
US/Oregon	178504
