region	bytes_sent
GitHub	959258208820
AWS/us-east-2	315271995832
US/California	246939029540
GB/England	117907460405
CH/Vaud	93373207700
US/New York	93133975388
US/Massachusetts	92728115437
NL/North Holland	89036428044
CA/British Columbia	81111436460
AWS/us-east-1	80406773898
VPN	63390174339
CA/Ontario	38834652020
CN/Shanghai	31534062432
GCP/us-central1	21513418912
US/Connecticut	20090268732
GCP/asia-southeast1	18834450936
GCP/europe-west4	14798497164
US/Washington	14439762251
GCP/us-west1	12107861316
US/Georgia	10582080309
PT/Lisbon	10501133220
GCP/us-east1	9535711092
US/Michigan	7093992772
GCP/us-west4	6813616344
GCP/us-east4	5423622828
GCP/asia-east1	5381271696
CA/Quebec	5286386968
IN/Maharashtra	5235394976
US/Maryland	4808669803
US/Virginia	3155584080
IT/Lombardy	2749271736
HK/Hong Kong	2653425848
FR/Provence-Alpes-Côte d'Azur	1669035980
PH/Metro Manila	1509960540
US/Oregon	1441768336
TW/Taiwan	1401401156
US/Pennsylvania	1392457628
CN/Beijing	1382548128
US/Florida	1361626937
AU/New South Wales	1345317924
DE/Baden-Wurttemberg	1345317924
IT/Emilia-Romagna	1345317924
CH/Zurich	1345317924
US/Texas	1310092576
US/Wisconsin	561624684
IN/Punjab	502877684
US/Rhode Island	406778976
PL/Subcarpathia	208014496
AWS/ap-southeast-1	133922552
PL/Mazovia	112568204
DE/Lower Saxony	83566253
IT/Sardinia	51332085
ES/Madrid	49936068
IN/Telangana	37628388
HU/Budapest	37236398
MX/México	30261984
RU/Moscow	25019228
RU/St.-Petersburg	12011884
