week_start	sub-L698/sub-L698_ses-Dendrite1.nwb	sub-L698/sub-L698_ses-Dendrite2.nwb	sub-L698/sub-L698_ses-Dendrite2a.nwb	sub-L698/sub-L698_ses-Dendrite2b.nwb	sub-L731/sub-L731_ses-Dendrite1b.nwb	sub-L734/sub-L734_ses-Dendrite1.nwb	sub-L736/sub-L736_ses-Dendrite1.nwb	sub-L831/sub-L831_ses-Dendrite1a.nwb	sub-L831/sub-L831_ses-Dendrite1b.nwb	sub-L831/sub-L831_ses-Dendrite2.nwb	sub-L882/sub-L882_ses-Dendrite1.nwb	sub-L882/sub-L882_ses-Dendrite2a.nwb	sub-L882/sub-L882_ses-Dendrite2b.nwb	sub-L882/sub-L882_ses-Dendrite3b.nwb	sub-L882/sub-L882_ses-Dendrite4a.nwb	sub-L882/sub-L882_ses-Dendrite4b.nwb	sub-L882/sub-L882_ses-Dendrite4c.nwb	sub-L882/sub-L882_ses-Dendrite5.nwb	sub-L882/sub-L882_ses-Dendrite5F2.nwb	sub-L882/sub-L882_ses-Dendrite5F3.nwb	sub-L882/sub-L882_ses-Dendrite6.nwb	sub-L882/sub-L882_ses-Dendrite7a.nwb	sub-L882/sub-L882_ses-Dendrite7b.nwb	sub-L882/sub-L882_ses-Dendrite7c.nwb	sub-L884/sub-L884_ses-Dendrite1a.nwb	sub-L884/sub-L884_ses-Dendrite1b.nwb	sub-L902/sub-L902_ses-Dendrite1.nwb	sub-L902/sub-L902_ses-Dendrite2.nwb	sub-l691/sub-l691_ses-dendrite1a.nwb	sub-l691/sub-l691_ses-dendrite1b.nwb
2025-12-08	0	0	0	0	0	766216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66456520
2025-12-15	649704	1521440	1523016	1380744	1006752	2298648	751360	531280	866272	387976	2594912	1054776	365632	399512	981840	493392	761040	365512	1598528	981480	2628384	0	0	890880	2065120	1357504	468776	0	109331440	216462620
2025-12-29	0	0	507672	0	0	0	0	0	0	0	648728	0	0	0	0	0	0	0	0	327160	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	751360	0	0	0	0	0	0	0	0	0	380520	365512	0	0	0	0	561256	0	0	0	0	0	0	0
2026-01-12	433136	608576	507672	920496	671168	3064864	751360	796920	433136	1163928	1297456	1054776	1096896	399512	654560	1480176	1141560	731024	799264	654320	1971288	874064	1683768	890880	1548840	1357504	468776	937552	0	283255640
2026-01-19	0	0	0	0	0	0	0	0	216568	0	0	0	365632	399512	0	493392	0	0	0	0	0	0	0	0	0	0	0	0	97802032	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50616112	0
2026-02-16	421368	304288	1015344	665048	0	0	0	0	0	0	0	658792	672832	706712	961760	0	0	0	0	0	0	0	0	0	0	0	0	0	11619744	0
2026-02-23	318968	304288	507672	204800	642784	766216	0	0	433136	0	0	0	0	0	0	0	761040	0	0	0	0	0	0	0	0	0	468776	937552	0	0
2026-03-02	0	304288	507672	0	335584	0	0	531280	0	387976	0	351592	365632	399512	654560	986784	0	365512	0	0	0	0	561256	445440	516280	0	0	0	6520852	0
2026-03-09	216568	0	0	0	0	0	751360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1357504	0	0	0	0
2026-03-16	0	0	0	0	0	766216	0	0	0	387976	1297456	351592	0	0	0	0	0	0	0	654320	0	0	0	0	0	678752	0	0	0	20372988
2026-03-23	0	608576	507672	0	0	0	0	0	0	0	648728	351592	0	0	0	0	0	0	0	0	0	0	0	0	0	678752	0	0	10312040	5649760
2026-03-30	1299408	2130016	3553704	2301240	3355840	5317884	3756800	1328200	649704	2327856	3892368	3164328	2559424	1997560	1309120	2466960	1902600	2193072	2397792	1962960	1314192	1748128	5256104	3563520	2581400	4751264	1875104	1875104	304578016	544546039
2026-04-06	1082840	1825728	1523016	2148192	1342336	766216	1502720	633680	649704	775952	1946184	0	1096896	1198536	981840	986784	1141560	2193072	1198896	981480	1169096	1311096	2347424	1198080	1548840	3393760	1875104	775976	108152296	106474768
2026-04-13	0	0	0	460248	0	0	0	0	216568	0	0	0	0	0	327280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
