asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-10uA233uS_ecephys.nwb	8000973135	1102	212	124
sub-BO14/sub-BO14_ses-BO14-W5D1-062524-10uA_ecephys.nwb	130910998074	3788	215	149
sub-SO1/sub-SO1_ses-SO1-230620-PostStim_ecephys.nwb	16426977919	896	185	124
sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-5uA233uS_ecephys.nwb	7229570156	1019	215	131
sub-SO1/sub-SO1_ses-SO1-230705-PreStim_ecephys.nwb	34090143304	1327	180	125
sub-SO1/sub-SO1_ses-SO1-230705-PostStim_ecephys.nwb	16386243558	752	173	119
sub-SO1/sub-SO1_ses-SO1-230615-PreStim_ecephys.nwb	18826498343	1173	209	141
sub-SO1/sub-SO1_ses-SO1-230629-PreStim_ecephys.nwb	17845824027	1080	190	122
sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-50uA233uS_ecephys.nwb	5931427831	922	199	118
sub-SO1/sub-SO1_ses-SO1-230718-WestPostStim_ecephys.nwb	13619546824	829	174	113
sub-SO1/sub-SO1_ses-SO1-230706-PostStim_ecephys.nwb	12393633052	676	171	113
sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-60uA233uS_ecephys.nwb	7200900506	1099	231	127
sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-20uA233uS_ecephys.nwb	6528992512	961	195	121
sub-BO14/sub-BO14_ses-BO14-W5D1-062524-40uA_ecephys.nwb	124789170820	3550	201	142
sub-SO1/sub-SO1_ses-SO1-230622-PreStim_ecephys.nwb	14949101426	1197	186	127
sub-BO14/sub-BO14_ses-BO14-W5D1-062524-50uA_ecephys.nwb	112199040593	3501	206	140
sub-BO14/sub-BO14_ses-BO14-W5D1-062524-30uA_ecephys.nwb	112405313809	3642	201	147
sub-SO1/sub-SO1_ses-SO1-230613-PreStim_ecephys.nwb	15865280615	1119	167	119
sub-SO1/sub-SO1_ses-SO1-230613-PostStim_ecephys.nwb	10701214190	861	199	133
sub-SO1/sub-SO1_ses-SO1-230615-PostStim_ecephys.nwb	13268380972	838	167	118
sub-SO1/sub-SO1_ses-SO1-230620-PreStim_ecephys.nwb	14924313950	1140	177	120
sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-30uA233uS_ecephys.nwb	5969132288	1035	178	120
sub-BO2/sub-BO2_ses-BO2-W1Stim-111723-40uA233uS_ecephys.nwb	5852043052	987	197	130
sub-SO1/sub-SO1_ses-SO1-230622-Full_ecephys.nwb	30138959808	967	177	122
sub-SO1/sub-SO1_ses-SO1-230718-WestPreStim_ecephys.nwb	8786190711	952	190	132
sub-BO14/sub-BO14_ses-BO14-W5D1-062524-20uA_ecephys.nwb	133139103124	3419	174	132
sub-SO1/sub-SO1_ses-SO1-230706-PreStim_ecephys.nwb	11634217590	987	193	130
sub-SO1/sub-SO1_ses-SO1-230622-PostStim_ecephys.nwb	14584819896	952	182	129
sub-BO14/sub-BO14_ses-BO14-W5D1-062524-60uA_ecephys.nwb	125766523012	3564	183	132
sub-SO1/sub-SO1_ses-20230721T111144_ecephys.nwb	7463159498	253	65	21
sub-SO1/sub-SO1_ses-SO1-230629-PostStim_ecephys.nwb	13261379314	722	163	117
sub-BO14/sub-BO14_ses-BO14-W5D1-062524-5uA_ecephys.nwb	149847145373	3604	201	142
