region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	3612713799	28322	28322	0
USA/MA	4617988850	36338	0	10
USA/WA	3606164177	28078	28078	0
SGP	3606164177	28078	28078	0
USA/OR	3606164535	28080	28080	0
AWS/us-east-1	2148	12	0	8
USA/FL	703244071	1600	1600	0
CHN/HB	8111178	120	120	0
USA/NY	331830	1	1	0
USA/CA	918	5	5	0
USA/DC	1057135045	7168	7168	0
ITA/88	1432	8	8	0
GCP/us-central1	571890263	5120	5120	0
PRT/11	358	2	2	0
PRT/13	895	5	5	0
ITA	537	3	3	0
CHE/ZH	179	1	1	0
MEX/CMX	996483	21	21	0
