region	bytes_sent
US/Massachusetts	52713311391
US/North Carolina	41750533608
US/New York	19198995097
US/California	18495281335
GB/Scotland	13415889306
GB/England	12708684846
US/Washington	9063448957
US/Virginia	8108695926
NL/North Holland	6895497976
AWS/us-east-2	6836175465
US/Michigan	6828337531
GCP/us-east1	4486867488
US/New Hampshire	3095400468
AWS/us-east-1	3083072712
US/Pennsylvania	2336692547
US/Rhode Island	1824199595
GCP/us-central1	1292296575
US/Maryland	1269966987
BE/Flanders	1130446328
US/Tennessee	1014424183
GCP/us-east4	921849855
FR/Île-de-France	756585455
US/Texas	676184921
CA/Quebec	622225951
US/Florida	575324809
GCP/asia-east1	437791226
AWS/us-west-2	422601572
IN/Rajasthan	372052674
GCP/us-west4	363881270
US/Utah	346375762
IN/Maharashtra	313622049
IS/Capital Region	207377344
SE/Skåne	115628724
TH/Samut Prakan	111684020
DE/Baden-Wurttemberg	86706189
DE/Brandenburg	81513776
DE/Hesse	75101456
IN/Goa	40990172
GCP/us-west1	35062071
JP/Kanagawa	26246493
KR/Incheon	18781012
CA/Ontario	15187999
UG/Western Region	15097915
AWS/ap-southeast-1	12078585
GitHub	8916116
CM/Centre	893712
US/Georgia	560038
US/New Jersey	554680
VPN	360522
DE/Berlin	16562
BE/Brussels Capital	12904
TH/Bangkok	5903
DE/Saxony	5903
US/Connecticut	5647
IE/Leinster	5358
CL/Santiago Metropolitan	5358
IN/Delhi	144
CN/Shanghai	72
