week_start	dataset_description.json	participants.tsv	sub-S01/anat/sub-S01_T2w.json	sub-S01/anat/sub-S01_T2w.nii.gz
2022-05-02	0	0	0	905969664
2022-05-09	0	0	0	3333315329
2022-05-16	0	0	0	50801173
2022-05-23	0	0	0	3055088659
2022-06-13	526	78	1244	7856643129
2022-07-04	263	52	622	6110177318
2022-07-11	263	0	0	2112747044
2022-08-01	263	0	0	0
2022-08-08	0	0	0	2518217747
2022-08-22	0	26	311	0
2023-03-13	0	0	0	26246493
2023-04-24	263	0	311	15097341
2023-07-24	263	26	311	0
2023-09-18	0	0	0	3055088659
2023-12-11	263	26	0	3055088659
2024-01-29	526	26	311	0
2024-02-12	263	0	0	0
2024-05-06	0	0	0	18781012
2024-05-27	263	0	0	0
2024-07-01	526	26	0	627789592
2024-07-29	263	26	311	27408332
2024-08-26	526	52	622	18847376
2024-09-09	0	0	0	2328763067
2024-09-30	0	26	0	0
2024-10-21	263	26	0	0
2024-11-11	263	26	0	0
2024-12-23	263	26	0	0
2025-02-10	0	0	0	31921084
2025-03-10	0	26	311	3055088659
2025-04-07	263	26	0	0
2025-04-21	0	26	0	0
2025-07-28	0	0	0	1849226259
2025-08-04	0	0	311	3055088659
2025-08-18	0	26	0	0
2025-08-25	0	0	0	1887436800
2025-09-29	0	26	0	0
2025-11-24	526	52	0	0
2025-12-15	263	52	622	3068295095
2025-12-22	263	0	0	0
2026-01-05	0	26	0	0
2026-01-12	526	52	933	7107819419
2026-01-26	0	0	311	1845493760
2026-02-02	263	26	311	664304652
2026-02-23	0	0	0	25948324
2026-03-02	0	26	0	0
2026-03-16	263	0	0	0
