week_start	sub-n026/sub-n026_ses-120218a.nwb	sub-n027/sub-n027_ses-120214a.nwb	sub-n027/sub-n027_ses-120214a_obj-pn7w2.nwb	sub-n027/sub-n027_ses-120215a.nwb	sub-n027/sub-n027_ses-120215e.nwb	sub-n027/sub-n027_ses-120218a.nwb	sub-n027/sub-n027_ses-120220a.nwb	sub-n027/sub-n027_ses-120222a.nwb	sub-n027/sub-n027_ses-120308a.nwb	sub-n028/sub-n028_ses-120222a.nwb	sub-n028/sub-n028_ses-120223a.nwb	sub-n028/sub-n028_ses-120302a.nwb	sub-n040/sub-n040_ses-121024a.nwb	sub-n040/sub-n040_ses-121026c_obj-1rtjd2v.nwb	sub-n040/sub-n040_ses-121026c_obj-pvpi76.nwb	sub-n040/sub-n040_ses-121108a.nwb	sub-n040/sub-n040_ses-121110a.nwb	sub-n040/sub-n040_ses-121112a.nwb
2026-07-13	0	561256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-07-20	0	7312712	0	0	0	0	0	0	11503608	17990308	0	0	13266888	0	0	0	16030272	0
2026-07-27	0	2567272	0	0	0	0	0	0	3655900	6373288	0	0	8511780	0	0	0	7320564	0
2026-08-03	0	868456	0	0	0	0	0	0	0	6000580	0	0	0	0	0	0	0	0
2026-08-10	8703344	4543193	5969480	5122896	9722488	4593552	4133456	4657224	3976801	6047389	13828940	5135624	4392353	6657416	8480756	20612908	6373896	8396236
2026-08-17	2207906	3727882	624137	1502834	14543693	0	0	0	0	0	0	0	0	0	0	0	0	0
