week_start	sub-L11104/sub-L11104_ses-None_ecephys.nwb
2025-01-13	7470725004
2025-01-20	1541984712
2025-01-27	3359116800
2025-02-03	130231552
2025-02-17	16737178
2025-03-03	246632232
2025-03-24	5040995
2025-07-07	4202434209
2025-07-14	1987928416
2025-07-21	82167072
2025-07-28	7378434120
2025-08-04	7378434120
2025-08-25	7378434120
2025-09-01	65038328
2025-09-08	9073908388
2025-09-15	824578187
2025-10-06	16439228
2025-10-13	65038328
2025-10-20	8763369898
2025-12-15	7393173420
2026-01-26	7378434120
2026-02-02	529189814
2026-02-16	13601536
2026-03-02	4743524
2026-03-23	4630728
2026-03-30	811972116
2026-04-20	5149336
2026-05-18	1533632
2026-06-01	22334440
2026-06-08	3529856
2026-06-15	485475394
2026-06-29	28250787722
2026-07-06	1533632
