region	bytes_sent
AWS/us-east-2	777446122464
AWS/us-east-1	775024646998
CA/Ontario	713810922857
US/California	387454872321
US/Massachusetts	194460492689
TW/Taiwan	48733031368
DE/Hesse	46454516733
US/Maryland	41552516458
US/Illinois	28155472768
US/District of Columbia	24250233589
CN/Shanghai	17436321394
SG/Singapore	5294137326
VPN	2233039472
GitHub	1913012613
US/Washington	1311949420
GCP/us-central1	1139779240
CA/Quebec	485589171
US/New York	361568749
GB/England	345442824
NG/Lagos	292562664
ES/Madrid	205199084
AWS/ap-southeast-1	103502640
CA/British Columbia	66194768
IN/Maharashtra	51667552
US/Rhode Island	31349464
NG/Anambra	27926088
US/Wisconsin	27926088
US/Missouri	27926088
KR/Incheon	27926088
NG/FCT	21071491
ZA/Western Cape	11725932
IT/Lombardy	6813104
