region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/IL	29032110356	91	70	6
ITA/52	455898847	102	0	30
GitHub	326555330818	1618824	890	809
CAN/ON	713904392449	483	162	13
VPN	453751257240	927	430	66
USA	302788141079	42771	64	23
USA/MA	1219038295215	22036	5	124
USA/NY	936625812812	1449	78	21
AWS/us-east-1	787478972089	94818	256	401
AWS/us-west-2	167698649	239	42	34
CHN	705991800404	107231	7	61
GCP/us-central1	1333936976	22	22	0
USA/DC	6836923083	126	47	13
CAN/QC	73849547587	130	14	35
AWS/us-east-2	777711747968	31977	73	22
NGA/EN	67317836	3	3	0
USA/CA	387766836900	217	71	23
NGA/AN	87448472	3	3	0
HKG/KKC	162336928	22	0	6
USA/VA	41812740630	114	33	5
USA/MN	51758680	2	2	0
ITA/25	6813104	3	1	1
DEU/HE	46454516733	30	30	0
AWS/ap-southeast-1	1058411748	177	177	0
MEX/CMX	250907015	424	117	81
CHE/VD	24344568	91	15	14
CHN/BJ	21918247	72	19	19
VNM/SG	9171120	7	7	0
CHN/GS	163036504	7	7	0
NOR/50	266504987	67	0	9
COL/DC	3078876	2	2	0
NLD	741272214601	34685	21	32
GBR/ENG	636083788	53	29	24
DEU/NW	5162120	15	4	3
ZAF	1048128	1	1	0
USA/IA	2030748	1	1	0
KEN/17	5961228	1	1	0
VNM/06	7467912	1	1	0
BRA/MT	1441176	1	1	0
ESP/CT	205199084	93	7	5
KOR/11	27926088	1	1	0
CHE/AG	11687056	12	2	2
ZAF/WC	12905076	2	2	0
SGP	5448937002	47	18	1
JPN/13	9568160	6	1	1
USA/MO	27926088	1	1	0
CAN/AB	27926088	1	1	0
USA/WI	27926088	1	1	0
NGA/FC	131969272	19	10	4
JPN	24157964	15	3	2
USA/MD	18756753182	5161	27	18
USA/RI	31349464	8	0	1
NGA/LA	54824663	19	5	4
AUS/NSW	2706552780	2	2	0
CHN/SH	154623792	25	2	6
BRA/MG	1768716	1	1	0
JPN/26	488496912	1983	48	28
ARE/DU	917112	1	1	0
PHL/00	917112	1	1	0
USA/VT	296664950	358	60	29
GCP/us-east1	37749252	33	7	2
USA/NH	1408427411	1649	300	209
USA/NJ	3864972	1	1	0
SYC	1048128	1	1	0
OMN/MA	7664436	1	1	0
VNM/21	851604	1	1	0
EST/37	9554584	1	1	0
DZA/09	917112	1	1	0
ARG/S	917112	1	1	0
MEX/SON	1113636	1	1	0
USA/WA	1329712580	17	7	4
PHL/11	1310160	1	1	0
FIN/18	851604	1	1	0
BRA/SP	5175132	2	2	0
NZL/WKO	10415772	1	1	0
VNM/51	851604	1	1	0
CHN/GD	64794812	77	1	2
VNM/20	851604	1	1	0
IND/MH	51667552	4	4	0
ZAF/GP	917112	1	1	0
VNM/52	1048128	1	1	0
IND/HR	4716576	1	1	0
ITA	12706118	11	2	1
UKR/35	1441176	1	1	0
GEO/TB	1375668	1	1	0
ARE/AZ	982620	1	1	0
TUR	1048128	1	1	0
ESP/MD	1441176	1	1	0
ARG/C	1375668	1	1	0
ESP/GA	1768716	1	1	0
IRQ/DA	1113636	1	1	0
CHL/VS	3144384	2	2	0
PAK/KP	1179144	1	1	0
CAN/PE	11594916	1	1	0
NLD/NH	1965240	1	1	0
FRA/IDF	12086576	13	5	3
HKG	5830212	2	2	0
AFG	851604	1	1	0
MAR/07	1375668	1	1	0
UKR/12	1441176	1	1	0
GCP/asia-south1	542897808	2672	8	4
TUR/34	41270040	2	2	0
ECU/P	1113636	1	1	0
TWN/TPE	48733031368	1	1	0
VNM/HN	114995212	4	4	0
TWN/CHA	37623560	1	1	0
PAK/IS	1048128	1	1	0
ZAF/EC	1048128	1	1	0
VNM/DN	851604	1	1	0
IND/KL	917112	1	1	0
BRA/DF	1113636	1	1	0
BRA/RS	2947860	1	1	0
DOM/32	8254008	1	1	0
IDN/JB	1113636	1	1	0
IDN/JK	851604	1	1	0
IND/TN	1048128	1	1	0
MAR/06	851604	1	1	0
DOM/25	4782084	1	1	0
VNM/26	851604	1	1	0
IND/RJ	917112	1	1	0
VNM/56	1113636	1	1	0
RUS	1113636	1	1	0
ESP/VC	1048128	1	1	0
PER/LMA	1113636	1	1	0
