week_start	sub-Injectable/readme/readme.txt	sub-Injectable/sub-Injectable_ses-waveguide1_ecephys.nwb	sub-Injectable/sub-Injectable_ses-waveguide2_ecephys.nwb	sub-Injectable/sub-Injectable_ses-waveguide3_ecephys.nwb	sub-Injectable/sub-Injectable_ses-waveguide4_ecephys.nwb
2026-07-06	938	2593516	972824	1402768	1406338
2026-07-13	0	753868	1945648	1938624	1943384
2026-07-27	0	319556	320006	319128	319723
2026-08-03	0	319556	0	319128	0
2026-08-10	0	217157	217607	216729	217324
2026-08-17	0	0	0	1174112	0
