date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-07-07	2607377	18	10	4
2026-07-09	2580827	14	10	4
2026-07-11	1188180	8	3	1
2026-07-13	1190430	8	3	1
2026-07-16	1737626	12	4	4
2026-07-17	1189015	8	3	1
2026-07-18	1186040	8	3	1
2026-07-19	1278413	8	4	4
2026-07-28	1278413	8	4	4
